[*] Computing DDT
[+] DDT Computed
DDT took 45.146µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=16302558949752642035 [0, 1, 2, 3, 7, 8, 11]
Iter#2 New set #2 of size 7 (1.0 its/hit = 0.000s/hit): seed=12740599841123016682 [0, 4, 5, 6, 7, 12, 15]
Iter#3 New set #3 of size 7 (1.0 its/hit = 0.000s/hit): seed=14965962733419658012 [0, 1, 2, 3, 6, 13, 14]
Iter#4 New set #4 of size 7 (1.0 its/hit = 0.000s/hit): seed=11146305841384493281 [4, 5, 6, 7, 9, 10, 13]
Iter#5 New set #5 of size 7 (1.0 its/hit = 0.000s/hit): seed=10262533657368805 [4, 5, 6, 7, 11, 12, 15]
Iter#6 New set #1 of size 8 (6.0 its/hit = 0.000s/hit): seed=10753656871039221839 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#7 New set #2 of size 8 (3.5 its/hit = 0.000s/hit): seed=18118401126234732725 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#8 New set #3 of size 8 (2.7 its/hit = 0.000s/hit): seed=12898884416955783079 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#11 New set #4 of size 8 (2.8 its/hit = 0.000s/hit): seed=4231299488538019381 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#13 New set #5 of size 8 (2.6 its/hit = 0.000s/hit): seed=13723597983612608495 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#14 New set #6 of size 8 (2.3 its/hit = 0.000s/hit): seed=14362855180749991745 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#20 New set #7 of size 8 (2.9 its/hit = 0.000s/hit): seed=12181811263076789451 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#21 New set #8 of size 8 (2.6 its/hit = 0.000s/hit): seed=4675447612226321388 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#25 New set #9 of size 8 (2.8 its/hit = 0.000s/hit): seed=12146980787955757782 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#29 New set #10 of size 8 (2.9 its/hit = 0.000s/hit): seed=4262490649613888529 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#59 New set #20 of size 8 (3.0 its/hit = 0.000s/hit): seed=16600895020033529512 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#77 New set #30 of size 8 (2.6 its/hit = 0.000s/hit): seed=18188865044392868398 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#94 New set #40 of size 8 (2.3 its/hit = 0.000s/hit): seed=7259675103987998025 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#121 New set #50 of size 8 (2.4 its/hit = 0.000s/hit): seed=1886782147238887026 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#138 New set #60 of size 8 (2.3 its/hit = 0.000s/hit): seed=7156166794976538962 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#168 New set #70 of size 8 (2.4 its/hit = 0.000s/hit): seed=446786448167006693 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#188 New set #80 of size 8 (2.3 its/hit = 0.000s/hit): seed=2200535354244850628 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#207 New set #90 of size 8 (2.3 its/hit = 0.000s/hit): seed=15132025965981981204 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#227 New set #100 of size 8 (2.3 its/hit = 0.000s/hit): seed=13061969419992192007 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#442 New set #200 of size 8 (2.2 its/hit = 0.000s/hit): seed=2359388710721727604 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#662 New set #300 of size 8 (2.2 its/hit = 0.000s/hit): seed=9658087209087939196 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#871 New set #400 of size 8 (2.2 its/hit = 0.000s/hit): seed=15516498714198284579 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#1054 New set #500 of size 8 (2.1 its/hit = 0.000s/hit): seed=12483319763993703383 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#1265 New set #600 of size 8 (2.1 its/hit = 0.000s/hit): seed=8801697447618002441 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#1483 New set #700 of size 8 (2.1 its/hit = 0.000s/hit): seed=4604022372403543954 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#1694 New set #800 of size 8 (2.1 its/hit = 0.000s/hit): seed=16694349881751866464 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#1904 New set #900 of size 8 (2.1 its/hit = 0.000s/hit): seed=14768534194043494705 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#2101 New set #1000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6736716919327915389 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#4204 New set #2000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7059221388956847309 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#6361 New set #3000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15992557631764736495 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#8403 New set #4000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16583747207317253262 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#10511 New set #5000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17813580877108131777 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#12712 New set #6000 of size 8 (2.1 its/hit = 0.000s/hit): seed=8822208801332762337 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#14892 New set #7000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16511477503620909833 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#17062 New set #8000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1508607638568415403 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#19261 New set #9000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16847028057348989722 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#21506 New set #10000 of size 8 (2.2 its/hit = 0.000s/hit): seed=18393102948949928108 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#43156 New set #20000 of size 8 (2.2 its/hit = 0.000s/hit): seed=3192759820187303635 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#64656 New set #30000 of size 8 (2.2 its/hit = 0.000s/hit): seed=4054739280119356428 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#86119 New set #40000 of size 8 (2.2 its/hit = 0.000s/hit): seed=662806878651404636 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#107502 New set #50000 of size 8 (2.2 its/hit = 0.000s/hit): seed=4730125851479642762 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#128880 New set #60000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10823526103009492322 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#150464 New set #70000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4676072850163109633 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#171607 New set #80000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12961033968752397308 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#193145 New set #90000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6494444426253938230 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#214633 New set #100000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12874837291313041994 [0, 1, 2, 3, 8, 11, 13, 14]
Iter#428420 New set #200000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9310669463530947978 [4, 5, 6, 7, 9, 10, 12, 15]
Iter#643018 New set #300000 of size 8 (2.1 its/hit = 0.000s/hit): seed=229516122508290687 [4, 5, 6, 7, 9, 10, 12, 15]
