[*] Computing DDT
[+] DDT Computed
DDT took 338.878505ms
Iter#1 New set #1 of size 26 (1.0 its/hit = 0.000s/hit): seed=6562427055216152549 [33, 236, 395, 450, 475, 519, 835, 870, 1154, 1231, 1571, 1578, 1868, 1890, 2187, 2873, 2971, 3028, 3036, 3080, 3175, 3396, 3544, 3645, 3774, 3789]
Iter#2 New set #1 of size 27 (2.0 its/hit = 0.000s/hit): seed=11598933991975578104 [113, 441, 632, 667, 695, 854, 997, 1057, 1175, 1400, 1607, 1833, 1893, 2123, 2366, 2502, 2628, 2666, 2684, 2753, 2972, 2975, 3258, 3427, 3430, 3704, 3976]
Iter#7 New set #1 of size 28 (7.0 its/hit = 0.000s/hit): seed=2915024460301881498 [32, 263, 516, 623, 823, 928, 959, 1128, 1187, 1284, 1940, 1966, 2026, 2259, 2573, 2707, 2708, 2838, 3046, 3081, 3205, 3312, 3444, 3512, 3582, 3608, 3658, 3733]
Iter#10 New set #2 of size 28 (5.0 its/hit = 0.000s/hit): seed=2602328014389333635 [84, 192, 195, 228, 383, 687, 909, 918, 952, 1175, 1196, 1290, 1391, 1533, 1686, 2188, 2605, 2609, 2640, 2882, 2959, 3134, 3308, 3494, 3549, 3829, 3935, 4070]
Iter#39 New set #3 of size 28 (13.0 its/hit = 0.000s/hit): seed=3411303152278339365 [41, 116, 146, 251, 349, 498, 584, 873, 964, 984, 1018, 1070, 1112, 1192, 1279, 1579, 1758, 1885, 1948, 2112, 2853, 2907, 3032, 3459, 3579, 3672, 3795, 3870]
Iter#44 New set #4 of size 28 (11.0 its/hit = 0.000s/hit): seed=17743826071844677122 [815, 922, 979, 1027, 1427, 1458, 1519, 1771, 1885, 1971, 1995, 2023, 2033, 2045, 2146, 2278, 2609, 2651, 2886, 2899, 3058, 3191, 3430, 3431, 3446, 3456, 3535, 3856]
Iter#50 New set #5 of size 28 (10.0 its/hit = 0.000s/hit): seed=11033699158873745771 [122, 400, 565, 750, 757, 832, 1100, 1110, 1503, 1604, 1840, 1922, 1959, 2030, 2143, 2338, 2385, 2438, 2726, 2800, 2832, 2939, 3225, 3236, 3429, 3582, 3920, 3971]
Iter#58 New set #1 of size 29 (58.0 its/hit = 0.000s/hit): seed=15985742021873002806 [61, 75, 206, 340, 664, 775, 776, 1062, 1102, 1116, 1294, 1300, 1463, 1699, 1734, 1848, 2182, 2187, 2298, 2463, 2545, 3025, 3144, 3249, 3296, 3348, 3648, 3791, 3830]
Iter#301 New set #2 of size 29 (150.5 its/hit = 0.000s/hit): seed=13456312385927714449 [916, 1198, 1274, 1399, 1575, 1576, 1629, 1720, 1750, 1859, 1944, 2069, 2151, 2264, 2343, 2475, 2727, 2867, 2887, 3046, 3303, 3394, 3433, 3460, 3525, 3607, 3774, 3791, 3824]
Iter#515 New set #3 of size 29 (171.7 its/hit = 0.000s/hit): seed=948718694479925688 [91, 138, 196, 333, 502, 651, 703, 1247, 1313, 1368, 1433, 1634, 2049, 2347, 2508, 2618, 2680, 2723, 2754, 2794, 2817, 2931, 2959, 2987, 3120, 3233, 3277, 3519, 3637]
Iter#564 New set #4 of size 29 (141.0 its/hit = 0.000s/hit): seed=7736957194582157763 [436, 695, 857, 898, 935, 963, 1198, 1358, 1762, 1770, 1894, 2013, 2022, 2223, 2282, 2397, 2487, 2519, 2533, 2635, 2712, 2826, 2916, 2995, 3163, 3217, 3278, 3396, 3972]
Iter#849 New set #5 of size 29 (169.8 its/hit = 0.000s/hit): seed=18033676642132256542 [203, 240, 251, 677, 828, 882, 984, 1197, 1266, 1349, 1523, 1933, 2039, 2041, 2085, 2348, 2362, 2723, 2817, 3098, 3214, 3285, 3287, 3596, 3612, 3710, 3965, 3975, 3976]
Iter#901 New set #6 of size 29 (150.2 its/hit = 0.000s/hit): seed=14463017898279462196 [41, 167, 282, 449, 900, 952, 1002, 1045, 1115, 1479, 1555, 1620, 1853, 1865, 1890, 1959, 1962, 2001, 2113, 2272, 2294, 2530, 2588, 2684, 2757, 2997, 3182, 3399, 3893]
Iter#922 New set #7 of size 29 (131.7 its/hit = 0.000s/hit): seed=6306611776844174120 [121, 201, 205, 268, 320, 327, 539, 643, 685, 1475, 1646, 1725, 1875, 1907, 1977, 2233, 2304, 2346, 2457, 2469, 2640, 2679, 2712, 2930, 3262, 3485, 3504, 3810, 4092]
Iter#1052 New set #8 of size 29 (131.5 its/hit = 0.000s/hit): seed=5956745097287738738 [475, 621, 652, 920, 984, 991, 1244, 1373, 1565, 1749, 1753, 1796, 2000, 2383, 2506, 2540, 2700, 2708, 2823, 2857, 2930, 3169, 3197, 3225, 3451, 3521, 3538, 3759, 4070]
Iter#1196 New set #9 of size 29 (132.9 its/hit = 0.000s/hit): seed=7059998918093577213 [70, 136, 229, 350, 407, 437, 555, 669, 769, 1365, 1376, 1402, 1452, 1683, 1818, 2126, 2212, 2226, 2585, 2806, 3081, 3125, 3265, 3333, 3560, 3800, 3815, 3859, 3865]
Iter#1211 New set #10 of size 29 (121.1 its/hit = 0.000s/hit): seed=16296379591128238265 [15, 311, 470, 595, 605, 832, 1067, 1194, 1275, 1408, 1507, 1796, 1959, 1987, 2027, 2451, 2523, 2552, 2694, 2825, 3088, 3248, 3385, 3675, 3712, 3729, 3790, 3930, 4044]
Iter#1364 New set #1 of size 30 (1364.0 its/hit = 0.000s/hit): seed=4565625239571661743 [647, 648, 759, 918, 929, 938, 1086, 1121, 1148, 1239, 1297, 1383, 1524, 1693, 1761, 2061, 2190, 2210, 2311, 2565, 2573, 2946, 3279, 3290, 3322, 3351, 3648, 3772, 3808, 3841]
Iter#4015 New set #2 of size 30 (2007.5 its/hit = 0.500s/hit): seed=13551638681031730288 [70, 140, 576, 584, 666, 692, 755, 788, 824, 951, 1020, 1153, 1181, 1193, 1251, 1258, 1963, 2130, 2348, 2362, 2413, 2568, 2838, 2919, 3237, 3357, 3477, 3492, 3909, 3997]
Iter#4564 New set #1 of size 43 (4564.0 its/hit = 1.000s/hit): seed=8385069061437847307 [226, 339, 349, 649, 657, 661, 674, 680, 798, 907, 955, 1047, 1169, 1224, 1300, 1516, 1633, 1737, 1968, 2091, 2233, 2399, 2416, 2462, 2539, 2694, 2780, 2849, 2861, 2909, 2962, 3068, 3092, 3126, 3158, 3163, 3203, 3316, 3325, 3654, 3680, 3947, 4070]
Iter#5887 New set #2 of size 43 (2943.5 its/hit = 1.000s/hit): seed=11536298357894465356 [71, 158, 246, 331, 413, 538, 564, 730, 876, 912, 1068, 1130, 1213, 1261, 1268, 1279, 1519, 1551, 1627, 1794, 1833, 1854, 1870, 2440, 2445, 2614, 2697, 2761, 2843, 2848, 2938, 2945, 3119, 3213, 3282, 3479, 3489, 3591, 3694, 3735, 3802, 4007, 4043]
Iter#9626 New set #3 of size 43 (3208.7 its/hit = 1.000s/hit): seed=2375737281045825324 [100, 177, 340, 370, 482, 531, 587, 593, 640, 667, 863, 959, 988, 991, 1005, 1087, 1138, 1184, 1392, 1515, 1575, 1586, 1881, 1892, 1904, 1943, 2110, 2125, 2130, 2168, 2196, 2267, 2621, 2664, 2822, 2872, 3069, 3136, 3169, 3402, 3556, 3571, 4042]
Iter#12510 New set #4 of size 43 (3127.5 its/hit = 1.250s/hit): seed=16748617560264190071 [197, 289, 322, 382, 421, 518, 545, 564, 662, 825, 1015, 1311, 1368, 1429, 1431, 1459, 1637, 1881, 1945, 1960, 2113, 2175, 2308, 2312, 2559, 2588, 2661, 2724, 2738, 2758, 2917, 2942, 2956, 2961, 3320, 3405, 3520, 3662, 3691, 3763, 3857, 3917, 4005]
Iter#18986 New set #5 of size 43 (3797.2 its/hit = 1.400s/hit): seed=1269325613099731016 [7, 45, 64, 267, 319, 395, 432, 579, 627, 669, 1118, 1396, 1471, 1709, 1773, 1791, 1833, 1843, 1923, 1924, 1996, 2198, 2247, 2333, 2360, 2443, 2556, 2568, 2577, 2683, 3033, 3060, 3089, 3226, 3250, 3276, 3481, 3498, 3563, 3677, 3767, 3779, 3932]
Iter#27390 New set #6 of size 43 (4565.0 its/hit = 1.667s/hit): seed=9217802144329385477 [276, 392, 497, 498, 517, 524, 612, 670, 703, 769, 813, 916, 1204, 1206, 1251, 1315, 1510, 1610, 1633, 1683, 1702, 1760, 1881, 2134, 2269, 2297, 2439, 2478, 2490, 2610, 2633, 2686, 2785, 2869, 3073, 3141, 3166, 3215, 3329, 3379, 3425, 3695, 3784]
Iter#32520 New set #7 of size 43 (4645.7 its/hit = 1.714s/hit): seed=7153426470482511129 [133, 236, 462, 479, 611, 654, 665, 824, 844, 872, 990, 1109, 1134, 1222, 1420, 1425, 1510, 1732, 1819, 1846, 1896, 2013, 2155, 2310, 2403, 2500, 2662, 2667, 2821, 2887, 2900, 2941, 3130, 3188, 3252, 3317, 3665, 3733, 3743, 3750, 3776, 3909, 4001]
Iter#36714 New set #1 of size 66 (36714.0 its/hit = 13.000s/hit): seed=8577099035438431885 [55, 58, 137, 161, 270, 292, 303, 321, 391, 416, 507, 563, 578, 671, 684, 716, 765, 876, 882, 904, 942, 989, 1041, 1074, 1097, 1233, 1292, 1321, 1381, 1630, 1681, 1747, 1880, 1972, 1996, 2024, 2051, 2107, 2141, 2262, 2389, 2407, 2414, 2415, 2558, 2661, 2841, 2933, 3001, 3026, 3119, 3122, 3170, 3173, 3220, 3222, 3287, 3685, 3689, 3702, 3708, 3757, 3852, 3899, 4014, 4069]
Iter#38721 New set #2 of size 66 (19360.5 its/hit = 7.000s/hit): seed=8285642602284427791 [80, 94, 206, 260, 304, 352, 524, 571, 652, 680, 723, 775, 932, 951, 992, 1064, 1167, 1257, 1288, 1470, 1569, 1573, 1648, 1673, 1705, 1939, 1951, 2026, 2063, 2119, 2133, 2228, 2649, 2668, 2891, 2925, 2965, 2975, 2989, 2992, 3024, 3126, 3136, 3141, 3143, 3153, 3243, 3355, 3368, 3392, 3420, 3427, 3463, 3533, 3557, 3558, 3592, 3598, 3625, 3635, 3685, 3729, 3852, 3928, 3958, 4054]
Iter#93875 New set #3 of size 66 (31291.7 its/hit = 13.333s/hit): seed=10499231407128758213 [84, 99, 174, 175, 211, 224, 226, 380, 427, 611, 619, 626, 628, 645, 661, 742, 773, 807, 946, 1052, 1147, 1159, 1190, 1205, 1235, 1241, 1244, 1260, 1319, 1378, 1533, 1582, 1942, 2014, 2016, 2046, 2073, 2078, 2172, 2327, 2368, 2412, 2433, 2453, 2561, 2579, 2615, 2624, 2730, 2785, 2812, 2851, 2879, 2917, 2988, 3051, 3069, 3204, 3263, 3362, 3462, 3526, 3594, 3690, 3857, 3900]
Iter#110672 New set #4 of size 66 (27668.0 its/hit = 12.000s/hit): seed=6775451653834062529 [27, 33, 188, 236, 283, 402, 605, 651, 692, 718, 841, 856, 1000, 1043, 1125, 1138, 1177, 1189, 1201, 1206, 1214, 1279, 1281, 1357, 1410, 1414, 1481, 1593, 1646, 1676, 1680, 1714, 1816, 1957, 2093, 2133, 2136, 2221, 2332, 2372, 2445, 2550, 2580, 2631, 2660, 2803, 2858, 2940, 2978, 3136, 3238, 3352, 3370, 3434, 3436, 3627, 3636, 3730, 3748, 3762, 3820, 3822, 3830, 3949, 4011, 4072]
Iter#111410 New set #5 of size 66 (22282.0 its/hit = 9.600s/hit): seed=7647333878169475183 [14, 18, 71, 215, 243, 302, 305, 626, 698, 722, 1153, 1194, 1220, 1259, 1300, 1450, 1506, 1667, 1724, 1743, 1795, 1849, 1895, 1906, 1907, 2012, 2041, 2042, 2101, 2259, 2263, 2265, 2274, 2299, 2319, 2400, 2476, 2569, 2671, 2719, 2722, 2777, 2785, 2903, 2963, 2965, 3011, 3022, 3083, 3135, 3141, 3145, 3154, 3219, 3312, 3320, 3451, 3488, 3552, 3649, 3765, 3817, 3942, 3980, 3988, 4085]
Iter#204616 New set #6 of size 66 (34102.7 its/hit = 15.333s/hit): seed=18001977284432216945 [4, 13, 147, 272, 301, 427, 449, 618, 663, 837, 909, 915, 974, 1054, 1060, 1179, 1191, 1385, 1407, 1456, 1608, 1680, 1701, 1720, 1745, 1794, 1805, 1862, 2052, 2055, 2096, 2318, 2526, 2546, 2559, 2586, 2604, 2627, 2847, 2848, 2879, 2930, 2938, 2949, 3035, 3124, 3149, 3159, 3164, 3230, 3252, 3320, 3358, 3381, 3387, 3406, 3496, 3516, 3550, 3552, 3774, 3846, 3956, 4011, 4039, 4065]
Iter#222291 New set #7 of size 66 (31755.9 its/hit = 14.286s/hit): seed=15869278767145652031 [1, 50, 232, 450, 465, 554, 565, 628, 636, 694, 699, 700, 782, 1069, 1205, 1245, 1338, 1418, 1476, 1535, 1560, 1584, 1590, 1716, 1732, 1748, 1774, 1886, 1887, 1919, 2054, 2091, 2099, 2106, 2114, 2172, 2182, 2280, 2374, 2431, 2524, 2532, 2583, 2622, 2794, 2878, 2915, 2927, 2990, 2994, 3019, 3265, 3317, 3334, 3445, 3562, 3581, 3622, 3647, 3673, 3709, 3790, 3864, 3931, 3989, 4002]
Iter#229274 New set #8 of size 66 (28659.2 its/hit = 12.875s/hit): seed=15161767666966375692 [124, 130, 147, 162, 216, 247, 267, 353, 377, 390, 411, 473, 506, 513, 681, 745, 812, 855, 873, 906, 930, 958, 1039, 1093, 1148, 1217, 1221, 1283, 1288, 1336, 1386, 1595, 1596, 1612, 1767, 1960, 2088, 2120, 2156, 2204, 2317, 2390, 2420, 2444, 2458, 2716, 2765, 2802, 2852, 2923, 2925, 3003, 3191, 3409, 3448, 3484, 3515, 3606, 3653, 3674, 3753, 3860, 3985, 3995, 4039, 4084]
Iter#233739 New set #9 of size 66 (25971.0 its/hit = 11.778s/hit): seed=8838075968478977469 [54, 66, 97, 150, 402, 504, 743, 859, 899, 917, 1014, 1033, 1052, 1137, 1156, 1159, 1285, 1452, 1535, 1539, 1571, 1744, 1758, 1762, 1815, 1816, 1833, 1899, 1943, 1998, 2122, 2161, 2234, 2272, 2424, 2512, 2569, 2605, 2612, 2630, 2652, 2672, 2734, 2859, 3024, 3063, 3067, 3094, 3095, 3107, 3192, 3200, 3217, 3219, 3385, 3488, 3568, 3640, 3709, 3721, 3882, 3954, 3960, 4051, 4052, 4076]
Iter#245651 New set #10 of size 66 (24565.1 its/hit = 11.100s/hit): seed=2338223404823782189 [16, 177, 308, 370, 417, 426, 435, 483, 528, 549, 604, 608, 610, 631, 648, 773, 795, 817, 842, 849, 911, 946, 956, 957, 1045, 1046, 1128, 1136, 1219, 1305, 1408, 1448, 1472, 1586, 1742, 1777, 1860, 1869, 1898, 1924, 2249, 2254, 2303, 2417, 2444, 2515, 2670, 2709, 2809, 2834, 2864, 2905, 2948, 3017, 3283, 3286, 3487, 3653, 3751, 3807, 3878, 3915, 3944, 4025, 4045, 4055]
Iter#673727 New set #20 of size 66 (33686.4 its/hit = 15.300s/hit): seed=9101195231268861633 [47, 108, 214, 225, 265, 301, 331, 338, 442, 513, 626, 649, 670, 897, 949, 1047, 1051, 1098, 1215, 1222, 1242, 1354, 1379, 1438, 1547, 1586, 1680, 1704, 1800, 1846, 1863, 1870, 1887, 1906, 1948, 2034, 2059, 2090, 2091, 2370, 2372, 2412, 2458, 2464, 2480, 2496, 2638, 2699, 2736, 2814, 2905, 2985, 3009, 3194, 3328, 3336, 3393, 3422, 3522, 3528, 3535, 3749, 3766, 3910, 3957, 3996]
Iter#1155013 New set #30 of size 66 (38500.4 its/hit = 17.533s/hit): seed=13464329194885070877 [88, 145, 382, 561, 602, 751, 764, 794, 839, 944, 1084, 1113, 1128, 1146, 1151, 1205, 1302, 1315, 1416, 1455, 1474, 1478, 1616, 1628, 1777, 1791, 1945, 1946, 2006, 2014, 2064, 2092, 2130, 2170, 2280, 2354, 2507, 2525, 2528, 2576, 2602, 2609, 2717, 2731, 2733, 2762, 2774, 2803, 2932, 2943, 3073, 3136, 3177, 3182, 3249, 3264, 3413, 3450, 3489, 3525, 3852, 3892, 3899, 4030, 4036, 4041]
Iter#1293078 New set #40 of size 66 (32326.9 its/hit = 14.725s/hit): seed=15714249232023917735 [34, 44, 51, 93, 230, 305, 309, 339, 425, 427, 525, 560, 670, 710, 796, 820, 931, 1041, 1052, 1053, 1059, 1075, 1080, 1136, 1182, 1337, 1354, 1500, 1503, 1510, 1535, 1624, 1632, 1723, 1748, 1791, 1862, 1937, 1992, 2020, 2051, 2253, 2326, 2349, 2375, 2381, 2387, 2400, 2463, 2489, 2555, 2609, 2650, 2747, 2831, 2834, 2962, 3082, 3241, 3274, 3644, 3686, 3849, 3893, 3913, 4057]
Iter#1556314 New set #50 of size 66 (31126.3 its/hit = 14.180s/hit): seed=6323502765693675534 [11, 36, 98, 167, 211, 241, 300, 308, 386, 464, 520, 668, 774, 866, 884, 885, 971, 975, 977, 1287, 1399, 1492, 1506, 1583, 1733, 1742, 1842, 1879, 1897, 1985, 2082, 2178, 2210, 2212, 2216, 2233, 2284, 2327, 2479, 2544, 2698, 2718, 2975, 3039, 3070, 3091, 3145, 3181, 3185, 3192, 3214, 3276, 3350, 3361, 3419, 3513, 3532, 3541, 3568, 3603, 3682, 3832, 3840, 3958, 3975, 3976]
