[*] Computing DDT
[+] DDT Computed
DDT took 33.391µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=18363344325372943173 [0, 3, 5, 9, 10, 14]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=6143986884224524861 [0, 3, 5, 8, 13, 15]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=11226998874225662035 [0, 1, 5, 6, 7, 8, 13]
Iter#5 New set #2 of size 7 (2.5 its/hit = 0.000s/hit): seed=11865297591225534319 [0, 1, 2, 6, 7, 12, 14]
Iter#7 New set #3 of size 7 (2.3 its/hit = 0.000s/hit): seed=11727921933922648850 [0, 2, 3, 9, 10, 12, 14]
Iter#8 New set #4 of size 7 (2.0 its/hit = 0.000s/hit): seed=13301686006628450552 [0, 2, 4, 11, 12, 14, 15]
Iter#9 New set #5 of size 7 (1.8 its/hit = 0.000s/hit): seed=2413944065783327660 [0, 3, 4, 9, 10, 11, 15]
Iter#13 New set #6 of size 7 (2.2 its/hit = 0.000s/hit): seed=13453618624433898469 [0, 1, 4, 6, 7, 11, 15]
Iter#14 New set #7 of size 7 (2.0 its/hit = 0.000s/hit): seed=17564541095453073156 [0, 1, 4, 6, 7, 11, 15]
Iter#15 New set #8 of size 7 (1.9 its/hit = 0.000s/hit): seed=2786905304803254295 [0, 1, 3, 6, 7, 9, 10]
Iter#16 New set #9 of size 7 (1.8 its/hit = 0.000s/hit): seed=15402841309612556309 [0, 2, 3, 9, 10, 12, 14]
Iter#18 New set #10 of size 7 (1.8 its/hit = 0.000s/hit): seed=4094988938869875207 [0, 3, 4, 9, 10, 11, 15]
Iter#42 New set #20 of size 7 (2.1 its/hit = 0.000s/hit): seed=9922936780289151320 [0, 1, 4, 6, 7, 11, 15]
Iter#63 New set #30 of size 7 (2.1 its/hit = 0.000s/hit): seed=7503280267099820534 [0, 1, 3, 6, 7, 9, 10]
Iter#82 New set #40 of size 7 (2.0 its/hit = 0.000s/hit): seed=9274806081309515134 [0, 3, 4, 9, 10, 11, 15]
Iter#103 New set #50 of size 7 (2.1 its/hit = 0.000s/hit): seed=11922478124241870445 [0, 1, 2, 6, 7, 12, 14]
Iter#129 New set #60 of size 7 (2.2 its/hit = 0.000s/hit): seed=11969575552274254735 [0, 1, 3, 6, 7, 9, 10]
Iter#146 New set #70 of size 7 (2.1 its/hit = 0.000s/hit): seed=8300592009080336595 [0, 2, 4, 11, 12, 14, 15]
Iter#161 New set #80 of size 7 (2.0 its/hit = 0.000s/hit): seed=8501201501700892838 [0, 1, 4, 6, 7, 11, 15]
Iter#184 New set #90 of size 7 (2.0 its/hit = 0.000s/hit): seed=13143266059790901898 [0, 1, 5, 6, 7, 8, 13]
Iter#201 New set #100 of size 7 (2.0 its/hit = 0.000s/hit): seed=5536707570395215990 [0, 4, 5, 8, 11, 13, 15]
Iter#404 New set #200 of size 7 (2.0 its/hit = 0.000s/hit): seed=4397297829992617164 [0, 1, 5, 6, 7, 8, 13]
Iter#590 New set #300 of size 7 (2.0 its/hit = 0.000s/hit): seed=4293949378181448924 [0, 1, 2, 6, 7, 12, 14]
Iter#789 New set #400 of size 7 (2.0 its/hit = 0.000s/hit): seed=2151446789062848445 [0, 1, 4, 6, 7, 11, 15]
Iter#968 New set #500 of size 7 (1.9 its/hit = 0.000s/hit): seed=18174851667708037408 [0, 2, 3, 9, 10, 12, 14]
Iter#1180 New set #600 of size 7 (2.0 its/hit = 0.000s/hit): seed=12046435003741890425 [0, 2, 3, 9, 10, 12, 14]
Iter#1375 New set #700 of size 7 (2.0 its/hit = 0.000s/hit): seed=8187216720272071842 [0, 3, 5, 8, 9, 10, 13]
Iter#1586 New set #800 of size 7 (2.0 its/hit = 0.000s/hit): seed=14592026522981997977 [0, 3, 5, 8, 9, 10, 13]
Iter#1782 New set #900 of size 7 (2.0 its/hit = 0.000s/hit): seed=16643960852245061626 [0, 2, 4, 11, 12, 14, 15]
Iter#1956 New set #1000 of size 7 (2.0 its/hit = 0.000s/hit): seed=5582027519892288220 [0, 3, 5, 8, 9, 10, 13]
Iter#3851 New set #2000 of size 7 (1.9 its/hit = 0.000s/hit): seed=15963773646371747469 [0, 3, 4, 9, 10, 11, 15]
Iter#5759 New set #3000 of size 7 (1.9 its/hit = 0.000s/hit): seed=3513328265419388502 [0, 3, 5, 8, 9, 10, 13]
Iter#7701 New set #4000 of size 7 (1.9 its/hit = 0.000s/hit): seed=14778210366667800164 [0, 3, 4, 9, 10, 11, 15]
Iter#9622 New set #5000 of size 7 (1.9 its/hit = 0.000s/hit): seed=2222738064177577063 [0, 1, 2, 6, 7, 12, 14]
Iter#11514 New set #6000 of size 7 (1.9 its/hit = 0.000s/hit): seed=13739132767883119347 [0, 1, 4, 6, 7, 11, 15]
Iter#13427 New set #7000 of size 7 (1.9 its/hit = 0.000s/hit): seed=783473698086548165 [0, 1, 3, 6, 7, 9, 10]
Iter#15379 New set #8000 of size 7 (1.9 its/hit = 0.000s/hit): seed=14998658450592296023 [0, 4, 5, 8, 11, 13, 15]
Iter#17281 New set #9000 of size 7 (1.9 its/hit = 0.000s/hit): seed=6132697706214923324 [0, 1, 2, 6, 7, 12, 14]
Iter#19134 New set #10000 of size 7 (1.9 its/hit = 0.000s/hit): seed=9050501891873912491 [0, 1, 5, 6, 7, 8, 13]
Iter#38424 New set #20000 of size 7 (1.9 its/hit = 0.000s/hit): seed=1953945990061989858 [0, 3, 4, 9, 10, 11, 15]
Iter#57471 New set #30000 of size 7 (1.9 its/hit = 0.000s/hit): seed=1445231945348913459 [0, 2, 3, 9, 10, 12, 14]
Iter#76628 New set #40000 of size 7 (1.9 its/hit = 0.000s/hit): seed=1112953706604857726 [0, 2, 5, 8, 12, 13, 14]
Iter#96044 New set #50000 of size 7 (1.9 its/hit = 0.000s/hit): seed=6726843905501616004 [0, 2, 5, 8, 12, 13, 14]
Iter#115373 New set #60000 of size 7 (1.9 its/hit = 0.000s/hit): seed=402667238198485256 [0, 3, 4, 9, 10, 11, 15]
Iter#134744 New set #70000 of size 7 (1.9 its/hit = 0.000s/hit): seed=3337794644504318746 [0, 2, 3, 9, 10, 12, 14]
Iter#154306 New set #80000 of size 7 (1.9 its/hit = 0.000s/hit): seed=4912561845366999787 [0, 4, 5, 8, 11, 13, 15]
Iter#173635 New set #90000 of size 7 (1.9 its/hit = 0.000s/hit): seed=11787777928185231585 [0, 2, 3, 9, 10, 12, 14]
Iter#193051 New set #100000 of size 7 (1.9 its/hit = 0.000s/hit): seed=7147015118118005720 [0, 2, 4, 11, 12, 14, 15]
Iter#386305 New set #200000 of size 7 (1.9 its/hit = 0.000s/hit): seed=5004038331128221967 [0, 3, 5, 8, 9, 10, 13]
Iter#579666 New set #300000 of size 7 (1.9 its/hit = 0.000s/hit): seed=6257400766378785932 [0, 3, 5, 8, 9, 10, 13]
Iter#773011 New set #400000 of size 7 (1.9 its/hit = 0.000s/hit): seed=7022303301505005581 [0, 3, 5, 8, 9, 10, 13]
Iter#966357 New set #500000 of size 7 (1.9 its/hit = 0.000s/hit): seed=6955003306232253752 [0, 2, 5, 8, 12, 13, 14]
Iter#1159752 New set #600000 of size 7 (1.9 its/hit = 0.000s/hit): seed=16286969655565103604 [0, 1, 3, 6, 7, 9, 10]
Iter#1352649 New set #700000 of size 7 (1.9 its/hit = 0.000s/hit): seed=120739972090957208 [0, 1, 2, 6, 7, 12, 14]
Iter#1546191 New set #800000 of size 7 (1.9 its/hit = 0.000s/hit): seed=16877821652014224778 [0, 2, 3, 9, 10, 12, 14]
Iter#1739533 New set #900000 of size 7 (1.9 its/hit = 0.000s/hit): seed=1399383068502495523 [0, 3, 5, 8, 9, 10, 13]
Iter#1933335 New set #1000000 of size 7 (1.9 its/hit = 0.000s/hit): seed=978925848332494982 [0, 2, 4, 11, 12, 14, 15]
Iter#3864730 New set #2000000 of size 7 (1.9 its/hit = 0.000s/hit): seed=9713641859099260529 [0, 2, 4, 11, 12, 14, 15]
Iter#5794683 New set #3000000 of size 7 (1.9 its/hit = 0.000s/hit): seed=6371704994695666242 [0, 3, 4, 9, 10, 11, 15]
Iter#7726460 New set #4000000 of size 7 (1.9 its/hit = 0.000s/hit): seed=10968150712713656833 [0, 1, 4, 6, 7, 11, 15]
Iter#9656231 New set #5000000 of size 7 (1.9 its/hit = 0.000s/hit): seed=6914361723270511161 [0, 1, 3, 6, 7, 9, 10]
Iter#11585782 New set #6000000 of size 7 (1.9 its/hit = 0.000s/hit): seed=5643552466157583451 [0, 2, 4, 11, 12, 14, 15]
