[*] Computing DDT
[+] DDT Computed
DDT took 57.602µs
Iter#1 New set #1 of size 5 (1.0 its/hit = 0.000s/hit): seed=17789383362562683237 [4, 5, 8, 10, 13]
Iter#2 New set #1 of size 6 (2.0 its/hit = 0.000s/hit): seed=5223818369727741048 [1, 2, 5, 7, 12, 13]
Iter#6 New set #2 of size 6 (3.0 its/hit = 0.000s/hit): seed=9873628380998847802 [0, 1, 2, 4, 10, 13]
Iter#9 New set #3 of size 6 (3.0 its/hit = 0.000s/hit): seed=10015136774697218447 [1, 4, 5, 6, 11, 13]
Iter#10 New set #4 of size 6 (2.5 its/hit = 0.000s/hit): seed=16432142073842993016 [2, 5, 11, 13, 14, 15]
Iter#11 New set #5 of size 6 (2.2 its/hit = 0.000s/hit): seed=12208426349080847719 [0, 6, 8, 9, 11, 12]
Iter#12 New set #6 of size 6 (2.0 its/hit = 0.000s/hit): seed=3449270590827582051 [0, 7, 8, 10, 11, 14]
Iter#15 New set #7 of size 6 (2.1 its/hit = 0.000s/hit): seed=6352046914992124065 [6, 7, 8, 11, 13, 15]
Iter#16 New set #8 of size 6 (2.0 its/hit = 0.000s/hit): seed=3611320124063633171 [1, 2, 3, 7, 9, 14]
Iter#18 New set #9 of size 6 (2.0 its/hit = 0.000s/hit): seed=5804626564221917103 [2, 4, 9, 10, 11, 14]
Iter#19 New set #10 of size 6 (1.9 its/hit = 0.000s/hit): seed=15951892909673942356 [4, 5, 9, 10, 13, 15]
Iter#47 New set #20 of size 6 (2.3 its/hit = 0.000s/hit): seed=10563069268667090961 [0, 1, 2, 5, 9, 15]
Iter#72 New set #30 of size 6 (2.4 its/hit = 0.000s/hit): seed=14211518882256732517 [2, 5, 11, 13, 14, 15]
Iter#94 New set #40 of size 6 (2.3 its/hit = 0.000s/hit): seed=9688838763174756604 [0, 1, 2, 4, 10, 13]
Iter#113 New set #50 of size 6 (2.3 its/hit = 0.000s/hit): seed=18399195267528621534 [0, 7, 8, 10, 11, 14]
Iter#133 New set #60 of size 6 (2.2 its/hit = 0.000s/hit): seed=16628797983844691488 [0, 1, 3, 4, 8, 14]
Iter#163 New set #70 of size 6 (2.3 its/hit = 0.000s/hit): seed=8625666683674773196 [1, 6, 8, 12, 13, 14]
Iter#191 New set #80 of size 6 (2.4 its/hit = 0.000s/hit): seed=7540837863258005197 [3, 5, 9, 12, 13, 14]
Iter#211 New set #90 of size 6 (2.3 its/hit = 0.000s/hit): seed=8005438836587307055 [0, 4, 5, 7, 10, 12]
Iter#233 New set #100 of size 6 (2.3 its/hit = 0.000s/hit): seed=14693755664110628593 [0, 1, 9, 11, 13, 14]
Iter#499 New set #200 of size 6 (2.5 its/hit = 0.000s/hit): seed=4340878835094315350 [2, 4, 9, 10, 11, 14]
Iter#702 New set #300 of size 6 (2.3 its/hit = 0.000s/hit): seed=15458100010612753149 [1, 3, 5, 6, 8, 9]
Iter#960 New set #400 of size 6 (2.4 its/hit = 0.000s/hit): seed=12482251989329997463 [1, 6, 8, 12, 13, 14]
Iter#1202 New set #500 of size 6 (2.4 its/hit = 0.000s/hit): seed=17593044516059896962 [0, 2, 4, 7, 8, 9]
Iter#1416 New set #600 of size 6 (2.4 its/hit = 0.000s/hit): seed=18316547621805630230 [0, 6, 8, 9, 11, 12]
Iter#1652 New set #700 of size 6 (2.4 its/hit = 0.000s/hit): seed=8156516958984114811 [0, 4, 5, 6, 9, 14]
Iter#1896 New set #800 of size 6 (2.4 its/hit = 0.000s/hit): seed=12813981103973527246 [3, 4, 8, 9, 11, 13]
Iter#2119 New set #900 of size 6 (2.4 its/hit = 0.000s/hit): seed=18345986719216271371 [3, 4, 10, 12, 14, 15]
Iter#2337 New set #1000 of size 6 (2.3 its/hit = 0.000s/hit): seed=8951890472544669494 [3, 5, 8, 10, 11, 15]
Iter#4628 New set #2000 of size 6 (2.3 its/hit = 0.000s/hit): seed=10441034286658042299 [0, 1, 2, 4, 10, 13]
Iter#6927 New set #3000 of size 6 (2.3 its/hit = 0.000s/hit): seed=16820757504450000919 [2, 4, 9, 10, 11, 14]
Iter#9322 New set #4000 of size 6 (2.3 its/hit = 0.000s/hit): seed=17527006235350096169 [6, 7, 9, 10, 12, 14]
Iter#11634 New set #5000 of size 6 (2.3 its/hit = 0.000s/hit): seed=7621688885610433875 [0, 7, 8, 10, 11, 14]
Iter#13952 New set #6000 of size 6 (2.3 its/hit = 0.000s/hit): seed=15171105350932617056 [3, 5, 8, 10, 11, 15]
Iter#16150 New set #7000 of size 6 (2.3 its/hit = 0.000s/hit): seed=17148519367073378101 [1, 7, 8, 9, 10, 13]
Iter#18461 New set #8000 of size 6 (2.3 its/hit = 0.000s/hit): seed=8545765759566699411 [0, 1, 9, 11, 13, 14]
Iter#20771 New set #9000 of size 6 (2.3 its/hit = 0.000s/hit): seed=10088348694255108498 [3, 4, 10, 12, 14, 15]
