[*] Computing DDT
[+] DDT Computed
DDT took 37.271µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=2714215334324098719 [0, 3, 4, 8, 14, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=15941594982556660649 [3, 4, 7, 8, 10, 15]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=5592569092827824283 [1, 5, 8, 9, 11, 14]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=7680190153525360691 [1, 5, 10, 11, 12, 13]
Iter#5 New set #5 of size 6 (1.0 its/hit = 0.000s/hit): seed=5906622537122796493 [1, 3, 4, 5, 7, 11]
Iter#6 New set #6 of size 6 (1.0 its/hit = 0.000s/hit): seed=16205916354912117849 [1, 3, 5, 7, 14, 15]
Iter#7 New set #7 of size 6 (1.0 its/hit = 0.000s/hit): seed=8772585275104596606 [1, 2, 10, 11, 12, 13]
Iter#8 New set #1 of size 7 (8.0 its/hit = 0.000s/hit): seed=8150021720176230884 [0, 2, 10, 11, 12, 13, 14]
Iter#9 New set #2 of size 7 (4.5 its/hit = 0.000s/hit): seed=16137446618821504045 [3, 4, 6, 8, 9, 12, 15]
Iter#12 New set #3 of size 7 (4.0 its/hit = 0.000s/hit): seed=6842649316253307437 [3, 4, 6, 8, 9, 12, 15]
Iter#13 New set #4 of size 7 (3.2 its/hit = 0.000s/hit): seed=18229915609205754785 [3, 4, 6, 8, 9, 12, 15]
Iter#17 New set #5 of size 7 (3.4 its/hit = 0.000s/hit): seed=13091020665532089601 [0, 2, 10, 11, 12, 13, 14]
Iter#19 New set #6 of size 7 (3.2 its/hit = 0.000s/hit): seed=15608007367558957467 [1, 3, 4, 5, 7, 8, 15]
Iter#21 New set #7 of size 7 (3.0 its/hit = 0.000s/hit): seed=17826111902301742852 [1, 3, 5, 6, 7, 9, 12]
Iter#24 New set #8 of size 7 (3.0 its/hit = 0.000s/hit): seed=18078937117495349798 [3, 4, 6, 8, 9, 12, 15]
Iter#26 New set #9 of size 7 (2.9 its/hit = 0.000s/hit): seed=75799138880437822 [3, 4, 6, 8, 9, 12, 15]
Iter#29 New set #10 of size 7 (2.9 its/hit = 0.000s/hit): seed=2061382623127145781 [0, 2, 10, 11, 12, 13, 14]
Iter#63 New set #20 of size 7 (3.2 its/hit = 0.000s/hit): seed=16408444539831104166 [3, 4, 6, 8, 9, 12, 15]
Iter#102 New set #30 of size 7 (3.4 its/hit = 0.000s/hit): seed=12318447740673431367 [3, 4, 6, 8, 9, 12, 15]
Iter#130 New set #40 of size 7 (3.2 its/hit = 0.000s/hit): seed=8011221197505617081 [3, 4, 6, 8, 9, 12, 15]
Iter#163 New set #50 of size 7 (3.3 its/hit = 0.000s/hit): seed=303653004811343141 [3, 4, 6, 8, 9, 12, 15]
Iter#200 New set #60 of size 7 (3.3 its/hit = 0.000s/hit): seed=7382659085600930733 [1, 3, 5, 6, 7, 9, 12]
Iter#243 New set #70 of size 7 (3.5 its/hit = 0.000s/hit): seed=5688946051202570283 [1, 3, 4, 5, 7, 8, 15]
Iter#282 New set #80 of size 7 (3.5 its/hit = 0.000s/hit): seed=11771251741144830306 [3, 6, 9, 10, 11, 12, 13]
Iter#326 New set #90 of size 7 (3.6 its/hit = 0.000s/hit): seed=7689394176377657495 [3, 4, 6, 8, 9, 12, 15]
Iter#357 New set #100 of size 7 (3.6 its/hit = 0.000s/hit): seed=14099063103543856960 [3, 4, 6, 8, 9, 12, 15]
Iter#676 New set #200 of size 7 (3.4 its/hit = 0.000s/hit): seed=11599009429190160512 [1, 3, 4, 5, 7, 8, 15]
Iter#1015 New set #300 of size 7 (3.4 its/hit = 0.000s/hit): seed=11124026739884456369 [1, 3, 4, 5, 7, 8, 15]
Iter#1309 New set #400 of size 7 (3.3 its/hit = 0.000s/hit): seed=12242502317083897047 [1, 3, 5, 6, 7, 9, 12]
Iter#1632 New set #500 of size 7 (3.3 its/hit = 0.000s/hit): seed=15429336283032573416 [3, 4, 6, 8, 9, 12, 15]
Iter#1945 New set #600 of size 7 (3.2 its/hit = 0.000s/hit): seed=17229542195684372745 [0, 2, 3, 6, 9, 12, 14]
Iter#2305 New set #700 of size 7 (3.3 its/hit = 0.000s/hit): seed=14692118114903044862 [0, 2, 10, 11, 12, 13, 14]
Iter#2663 New set #800 of size 7 (3.3 its/hit = 0.000s/hit): seed=13875971325256164750 [0, 2, 3, 6, 9, 12, 14]
Iter#2960 New set #900 of size 7 (3.3 its/hit = 0.000s/hit): seed=1447775811190593089 [0, 2, 10, 11, 12, 13, 14]
Iter#3261 New set #1000 of size 7 (3.3 its/hit = 0.000s/hit): seed=13489369153493530558 [1, 3, 5, 6, 7, 9, 12]
Iter#6362 New set #2000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2004657684920309321 [0, 2, 10, 11, 12, 13, 14]
Iter#9411 New set #3000 of size 7 (3.1 its/hit = 0.000s/hit): seed=14327982971606090006 [1, 3, 4, 5, 7, 8, 15]
Iter#12652 New set #4000 of size 7 (3.2 its/hit = 0.000s/hit): seed=7719398831077951478 [1, 3, 4, 5, 7, 8, 15]
Iter#15941 New set #5000 of size 7 (3.2 its/hit = 0.000s/hit): seed=15649489580946725751 [0, 2, 3, 6, 9, 12, 14]
Iter#19168 New set #6000 of size 7 (3.2 its/hit = 0.000s/hit): seed=9326418568367908108 [1, 3, 4, 5, 7, 8, 15]
Iter#22487 New set #7000 of size 7 (3.2 its/hit = 0.000s/hit): seed=4438889802808668454 [1, 3, 5, 6, 7, 9, 12]
Iter#25721 New set #8000 of size 7 (3.2 its/hit = 0.000s/hit): seed=9490747497452432085 [1, 3, 5, 6, 7, 9, 12]
Iter#28982 New set #9000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13240781931939895116 [1, 3, 5, 6, 7, 9, 12]
Iter#32099 New set #10000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2418656104834761305 [3, 6, 9, 10, 11, 12, 13]
