[*] Computing DDT
[+] DDT Computed
DDT took 37.561µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=12747430313994068331 [1, 2, 5, 8, 9, 10, 15]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=3081651459576778227 [4, 5, 6, 7, 9, 11, 14]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=15822329461870476253 [0, 4, 5, 6, 7, 9, 11]
Iter#7 New set #4 of size 7 (1.8 its/hit = 0.000s/hit): seed=1739259437896393234 [2, 4, 5, 6, 7, 8, 15]
Iter#9 New set #1 of size 8 (9.0 its/hit = 0.000s/hit): seed=4331586389177999523 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#17 New set #2 of size 8 (8.5 its/hit = 0.000s/hit): seed=5919138586255046803 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#23 New set #3 of size 8 (7.7 its/hit = 0.000s/hit): seed=8128280625106870617 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#26 New set #4 of size 8 (6.5 its/hit = 0.000s/hit): seed=9444214183210196812 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#27 New set #5 of size 8 (5.4 its/hit = 0.000s/hit): seed=5464942535259593415 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#31 New set #6 of size 8 (5.2 its/hit = 0.000s/hit): seed=1101294613158254728 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#32 New set #7 of size 8 (4.6 its/hit = 0.000s/hit): seed=14584959001664332870 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#40 New set #8 of size 8 (5.0 its/hit = 0.000s/hit): seed=5117520177045310887 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#45 New set #9 of size 8 (5.0 its/hit = 0.000s/hit): seed=10828857006702473875 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#54 New set #10 of size 8 (5.4 its/hit = 0.000s/hit): seed=4644992814215420714 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#103 New set #20 of size 8 (5.2 its/hit = 0.000s/hit): seed=10670253749470744838 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#134 New set #30 of size 8 (4.5 its/hit = 0.000s/hit): seed=12013201318422359183 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#188 New set #40 of size 8 (4.7 its/hit = 0.000s/hit): seed=15347756322164506345 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#223 New set #50 of size 8 (4.5 its/hit = 0.000s/hit): seed=7403569248847265849 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#257 New set #60 of size 8 (4.3 its/hit = 0.000s/hit): seed=1996925017109789794 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#295 New set #70 of size 8 (4.2 its/hit = 0.000s/hit): seed=7632273911024295041 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#347 New set #80 of size 8 (4.3 its/hit = 0.000s/hit): seed=10591522822527022821 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#419 New set #90 of size 8 (4.7 its/hit = 0.000s/hit): seed=5239403309748392663 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#464 New set #100 of size 8 (4.6 its/hit = 0.000s/hit): seed=11127025722001716784 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#920 New set #200 of size 8 (4.6 its/hit = 0.000s/hit): seed=13051526454214269656 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#1353 New set #300 of size 8 (4.5 its/hit = 0.000s/hit): seed=15263728122480659466 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#1875 New set #400 of size 8 (4.7 its/hit = 0.000s/hit): seed=1546374315266942071 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#2326 New set #500 of size 8 (4.7 its/hit = 0.000s/hit): seed=15813787378413004471 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#2845 New set #600 of size 8 (4.7 its/hit = 0.000s/hit): seed=4801654702362262808 [3, 4, 5, 6, 7, 9, 11, 12]
Iter#3387 New set #700 of size 8 (4.8 its/hit = 0.000s/hit): seed=9862686476493931292 [3, 4, 5, 6, 7, 9, 11, 12]
