[*] Computing DDT
[+] DDT Computed
DDT took 40.301µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=15673889260841941165 [2, 4, 5, 10, 12, 14, 15]
Iter#2 New set #2 of size 7 (1.0 its/hit = 0.000s/hit): seed=14254855880738939707 [0, 2, 6, 8, 9, 13, 14]
Iter#3 New set #1 of size 8 (3.0 its/hit = 0.000s/hit): seed=14011267351636564007 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#5 New set #2 of size 8 (2.5 its/hit = 0.000s/hit): seed=13328618777864011742 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#6 New set #3 of size 8 (2.0 its/hit = 0.000s/hit): seed=2275143098477287064 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#7 New set #4 of size 8 (1.8 its/hit = 0.000s/hit): seed=11420772984939525540 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#8 New set #5 of size 8 (1.6 its/hit = 0.000s/hit): seed=14015341783110905996 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#10 New set #6 of size 8 (1.7 its/hit = 0.000s/hit): seed=10149532538477845001 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#13 New set #7 of size 8 (1.9 its/hit = 0.000s/hit): seed=1859601807096263283 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#14 New set #8 of size 8 (1.8 its/hit = 0.000s/hit): seed=10351696385217213367 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#15 New set #9 of size 8 (1.7 its/hit = 0.000s/hit): seed=13514418502196929204 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#17 New set #10 of size 8 (1.7 its/hit = 0.000s/hit): seed=29315560601157088 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#34 New set #20 of size 8 (1.7 its/hit = 0.000s/hit): seed=5411026013766366331 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#47 New set #30 of size 8 (1.6 its/hit = 0.000s/hit): seed=11800130145965501870 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#63 New set #40 of size 8 (1.6 its/hit = 0.000s/hit): seed=9917529074413485181 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#83 New set #50 of size 8 (1.7 its/hit = 0.000s/hit): seed=5787684919404349887 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#95 New set #60 of size 8 (1.6 its/hit = 0.000s/hit): seed=14166290454992082009 [1, 3, 4, 5, 6, 11, 14, 15]
Iter#114 New set #70 of size 8 (1.6 its/hit = 0.000s/hit): seed=12575545199001819706 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#127 New set #80 of size 8 (1.6 its/hit = 0.000s/hit): seed=7415057214850020537 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#143 New set #90 of size 8 (1.6 its/hit = 0.000s/hit): seed=13650017908248751812 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#156 New set #100 of size 8 (1.6 its/hit = 0.000s/hit): seed=14989880162120685104 [1, 2, 4, 7, 10, 11, 12, 14]
Iter#301 New set #200 of size 8 (1.5 its/hit = 0.000s/hit): seed=12285294194406444307 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#449 New set #300 of size 8 (1.5 its/hit = 0.000s/hit): seed=16525430117350401986 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#592 New set #400 of size 8 (1.5 its/hit = 0.000s/hit): seed=8143385087571675194 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#755 New set #500 of size 8 (1.5 its/hit = 0.000s/hit): seed=7321206059312469095 [2, 3, 6, 7, 9, 11, 13, 14]
Iter#917 New set #600 of size 8 (1.5 its/hit = 0.000s/hit): seed=17226576122419757519 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#1070 New set #700 of size 8 (1.5 its/hit = 0.000s/hit): seed=6790093899485724148 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#1230 New set #800 of size 8 (1.5 its/hit = 0.000s/hit): seed=1097686087750234976 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#1374 New set #900 of size 8 (1.5 its/hit = 0.000s/hit): seed=11886714687472339898 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#1542 New set #1000 of size 8 (1.5 its/hit = 0.000s/hit): seed=12007706089722411259 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#3103 New set #2000 of size 8 (1.6 its/hit = 0.000s/hit): seed=5230628415603873200 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#4649 New set #3000 of size 8 (1.5 its/hit = 0.000s/hit): seed=9571802693293083518 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#6201 New set #4000 of size 8 (1.6 its/hit = 0.000s/hit): seed=14148342874330965599 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#7769 New set #5000 of size 8 (1.6 its/hit = 0.000s/hit): seed=4198352772518496029 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#9349 New set #6000 of size 8 (1.6 its/hit = 0.000s/hit): seed=6541936097177385148 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#10951 New set #7000 of size 8 (1.6 its/hit = 0.000s/hit): seed=2451457570914568348 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#12536 New set #8000 of size 8 (1.6 its/hit = 0.000s/hit): seed=6172353364252107380 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#14160 New set #9000 of size 8 (1.6 its/hit = 0.000s/hit): seed=11632099683413455670 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#15752 New set #10000 of size 8 (1.6 its/hit = 0.000s/hit): seed=10713457477773491527 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#31512 New set #20000 of size 8 (1.6 its/hit = 0.000s/hit): seed=17536047389368530264 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#47301 New set #30000 of size 8 (1.6 its/hit = 0.000s/hit): seed=11261119334193350421 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#63071 New set #40000 of size 8 (1.6 its/hit = 0.000s/hit): seed=8567475525186223149 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#78771 New set #50000 of size 8 (1.6 its/hit = 0.000s/hit): seed=18008934318770575209 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#94461 New set #60000 of size 8 (1.6 its/hit = 0.000s/hit): seed=16736194833831448942 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#110192 New set #70000 of size 8 (1.6 its/hit = 0.000s/hit): seed=8200117913843642258 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#126078 New set #80000 of size 8 (1.6 its/hit = 0.000s/hit): seed=3143231544861136700 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#141835 New set #90000 of size 8 (1.6 its/hit = 0.000s/hit): seed=9074340031387852785 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#157592 New set #100000 of size 8 (1.6 its/hit = 0.000s/hit): seed=669277644338133400 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#315584 New set #200000 of size 8 (1.6 its/hit = 0.000s/hit): seed=6376299897727844963 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#472670 New set #300000 of size 8 (1.6 its/hit = 0.000s/hit): seed=8600204431348647250 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#630369 New set #400000 of size 8 (1.6 its/hit = 0.000s/hit): seed=6849445821014346829 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#787884 New set #500000 of size 8 (1.6 its/hit = 0.000s/hit): seed=4957395672899652215 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#945301 New set #600000 of size 8 (1.6 its/hit = 0.000s/hit): seed=6995680081024533342 [1, 3, 4, 5, 6, 11, 14, 15]
Iter#1102731 New set #700000 of size 8 (1.6 its/hit = 0.000s/hit): seed=15555695237635846454 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#1260292 New set #800000 of size 8 (1.6 its/hit = 0.000s/hit): seed=16009488602561642009 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#1417621 New set #900000 of size 8 (1.6 its/hit = 0.000s/hit): seed=6342837182359366971 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#1574989 New set #1000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=5002047336379855153 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#3148863 New set #2000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=5442194665331814222 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#4723665 New set #3000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=17174054817499139491 [0, 1, 3, 4, 6, 8, 11, 14]
Iter#6296413 New set #4000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=4136761358805466209 [1, 2, 4, 7, 10, 11, 12, 14]
Iter#7871373 New set #5000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=670846196582885579 [1, 2, 4, 7, 10, 11, 12, 14]
Iter#9444717 New set #6000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=12134297670229970010 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#11017496 New set #7000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=17928048019160440795 [1, 2, 4, 5, 7, 11, 14, 15]
Iter#12590713 New set #8000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=7262318805622406581 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#14165542 New set #9000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=9527101485105489147 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#15740897 New set #10000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=10479873895258460165 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#31480279 New set #20000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=1059255550115884184 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#47218284 New set #30000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=16103064257884150135 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#62955914 New set #40000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=858544918300398799 [1, 2, 3, 4, 6, 7, 11, 14]
Iter#78694121 New set #50000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=17798979570923377499 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#94433513 New set #60000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=8996383620835355962 [1, 2, 3, 4, 6, 7, 10, 12]
Iter#110177794 New set #70000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=7101126912921442603 [1, 2, 3, 4, 6, 7, 9, 13]
Iter#125917199 New set #80000000 of size 8 (1.6 its/hit = 0.000s/hit): seed=15990379937743777728 [1, 2, 3, 4, 6, 7, 11, 14]
