[*] Computing DDT
[+] DDT Computed
DDT took 48.101µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=1851814765282435749 [1, 7, 9, 11, 12, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=11711310466204793187 [0, 2, 8, 10, 12, 14, 15]
Iter#5 New set #2 of size 7 (2.5 its/hit = 0.000s/hit): seed=16999826261786656924 [0, 2, 3, 8, 10, 12, 14]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=13021323646405384054 [0, 2, 5, 6, 12, 14, 15]
Iter#7 New set #4 of size 7 (1.8 its/hit = 0.000s/hit): seed=10629865903024198680 [0, 2, 8, 10, 11, 12, 14]
Iter#10 New set #5 of size 7 (2.0 its/hit = 0.000s/hit): seed=14874525966107722462 [0, 2, 7, 8, 10, 12, 14]
Iter#11 New set #6 of size 7 (1.8 its/hit = 0.000s/hit): seed=17695970584276565470 [0, 2, 3, 4, 9, 12, 14]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=13486649860980759769 [0, 2, 8, 10, 12, 13, 14]
Iter#14 New set #8 of size 7 (1.8 its/hit = 0.000s/hit): seed=17394274052315329592 [3, 4, 8, 9, 10, 12, 14]
Iter#21 New set #9 of size 7 (2.3 its/hit = 0.000s/hit): seed=11838702481505402698 [0, 2, 3, 4, 9, 12, 14]
Iter#22 New set #10 of size 7 (2.2 its/hit = 0.000s/hit): seed=3496976501494021395 [0, 2, 8, 10, 12, 13, 14]
Iter#44 New set #20 of size 7 (2.2 its/hit = 0.000s/hit): seed=6660439972154030756 [0, 2, 8, 10, 12, 13, 14]
Iter#63 New set #30 of size 7 (2.1 its/hit = 0.000s/hit): seed=14030308299712026221 [0, 2, 5, 8, 10, 12, 14]
Iter#96 New set #40 of size 7 (2.4 its/hit = 0.000s/hit): seed=2615799701718937719 [0, 2, 7, 8, 10, 12, 14]
Iter#118 New set #50 of size 7 (2.4 its/hit = 0.000s/hit): seed=3366301103164864861 [0, 2, 8, 10, 12, 13, 14]
Iter#153 New set #60 of size 7 (2.5 its/hit = 0.000s/hit): seed=2847076661381229179 [3, 4, 8, 9, 10, 12, 14]
Iter#189 New set #70 of size 7 (2.7 its/hit = 0.000s/hit): seed=17409799638778281947 [0, 2, 3, 4, 9, 12, 14]
Iter#212 New set #80 of size 7 (2.7 its/hit = 0.000s/hit): seed=6077067348854778909 [5, 6, 8, 10, 12, 14, 15]
Iter#235 New set #90 of size 7 (2.6 its/hit = 0.000s/hit): seed=13479741187090851569 [0, 2, 8, 10, 12, 14, 15]
Iter#266 New set #100 of size 7 (2.7 its/hit = 0.000s/hit): seed=10898601488504472419 [5, 6, 8, 10, 12, 14, 15]
Iter#565 New set #200 of size 7 (2.8 its/hit = 0.000s/hit): seed=2779113037119312362 [0, 2, 5, 6, 12, 14, 15]
Iter#837 New set #300 of size 7 (2.8 its/hit = 0.000s/hit): seed=10557706637134751362 [0, 2, 8, 10, 11, 12, 14]
Iter#1122 New set #400 of size 7 (2.8 its/hit = 0.000s/hit): seed=15788185066226735885 [0, 2, 5, 8, 10, 12, 14]
Iter#1446 New set #500 of size 7 (2.9 its/hit = 0.000s/hit): seed=8503355197190752613 [0, 2, 5, 6, 12, 14, 15]
Iter#1724 New set #600 of size 7 (2.9 its/hit = 0.000s/hit): seed=6155043569996425179 [0, 2, 8, 10, 12, 14, 15]
Iter#2049 New set #700 of size 7 (2.9 its/hit = 0.000s/hit): seed=13492702820210450468 [0, 2, 8, 10, 11, 12, 14]
Iter#2319 New set #800 of size 7 (2.9 its/hit = 0.000s/hit): seed=14112852726716747606 [0, 2, 5, 8, 10, 12, 14]
Iter#2582 New set #900 of size 7 (2.9 its/hit = 0.000s/hit): seed=15302170418519515862 [0, 2, 8, 10, 12, 14, 15]
Iter#2846 New set #1000 of size 7 (2.8 its/hit = 0.000s/hit): seed=8715023649615482360 [5, 6, 8, 10, 12, 14, 15]
Iter#5604 New set #2000 of size 7 (2.8 its/hit = 0.000s/hit): seed=8514500745556944470 [0, 2, 8, 10, 12, 14, 15]
Iter#8527 New set #3000 of size 7 (2.8 its/hit = 0.000s/hit): seed=8687610935194366611 [0, 2, 8, 10, 11, 12, 14]
Iter#11340 New set #4000 of size 7 (2.8 its/hit = 0.000s/hit): seed=15605846911664360795 [0, 1, 2, 8, 10, 12, 14]
Iter#14268 New set #5000 of size 7 (2.9 its/hit = 0.000s/hit): seed=2873309007907939310 [0, 2, 3, 4, 9, 12, 14]
Iter#17136 New set #6000 of size 7 (2.9 its/hit = 0.000s/hit): seed=10508965112132046320 [0, 2, 5, 8, 10, 12, 14]
