[*] Computing DDT
[+] DDT Computed
DDT took 35.992µs
Iter#1 New set #1 of size 5 (1.0 its/hit = 0.000s/hit): seed=17950496100784860109 [2, 4, 8, 11, 15]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=13065539865095715549 [1, 7, 8, 9, 10, 13, 15]
Iter#4 New set #1 of size 8 (4.0 its/hit = 0.000s/hit): seed=9414764458262040181 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#6 New set #2 of size 8 (3.0 its/hit = 0.000s/hit): seed=6410906823696503645 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#16 New set #3 of size 8 (5.3 its/hit = 0.000s/hit): seed=6949328497111952242 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#17 New set #4 of size 8 (4.2 its/hit = 0.000s/hit): seed=12109192449876246452 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#18 New set #5 of size 8 (3.6 its/hit = 0.000s/hit): seed=1514328221589284781 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#27 New set #6 of size 8 (4.5 its/hit = 0.000s/hit): seed=6164418929977399886 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#29 New set #7 of size 8 (4.1 its/hit = 0.000s/hit): seed=17419419278617941286 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#39 New set #8 of size 8 (4.9 its/hit = 0.000s/hit): seed=7656179107119414640 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#44 New set #9 of size 8 (4.9 its/hit = 0.000s/hit): seed=12462222451390169350 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#48 New set #10 of size 8 (4.8 its/hit = 0.000s/hit): seed=16776006940771942877 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#87 New set #20 of size 8 (4.3 its/hit = 0.000s/hit): seed=15676794103179402643 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#142 New set #30 of size 8 (4.7 its/hit = 0.000s/hit): seed=16757299167866651111 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#198 New set #40 of size 8 (4.9 its/hit = 0.000s/hit): seed=15346591688304105412 [0, 4, 5, 6, 7, 8, 12, 14]
Iter#253 New set #50 of size 8 (5.1 its/hit = 0.000s/hit): seed=6840046954987838081 [0, 4, 5, 6, 7, 8, 12, 14]
