[*] Computing DDT
[+] DDT Computed
DDT took 39.671µs
Iter#1 New set #1 of size 5 (1.0 its/hit = 0.000s/hit): seed=6249123727282950350 [2, 3, 4, 11, 14]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=13934529012488790518 [0, 6, 7, 8, 9, 13, 15]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=10973618533610513453 [1, 2, 3, 4, 6, 8, 10]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=12743742236860168710 [1, 4, 5, 7, 9, 10, 14]
Iter#9 New set #4 of size 7 (2.2 its/hit = 0.000s/hit): seed=2049590798830239281 [1, 3, 4, 6, 8, 10, 11]
Iter#10 New set #5 of size 7 (2.0 its/hit = 0.000s/hit): seed=2662463253668698443 [1, 4, 5, 7, 9, 10, 14]
Iter#11 New set #6 of size 7 (1.8 its/hit = 0.000s/hit): seed=3116393152415271909 [0, 1, 3, 4, 6, 8, 10]
Iter#12 New set #1 of size 8 (12.0 its/hit = 0.000s/hit): seed=473836211828126991 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#13 New set #2 of size 8 (6.5 its/hit = 0.000s/hit): seed=13157445779045824439 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#15 New set #3 of size 8 (5.0 its/hit = 0.000s/hit): seed=10863904014750067072 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#16 New set #4 of size 8 (4.0 its/hit = 0.000s/hit): seed=15419099925587001445 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#17 New set #5 of size 8 (3.4 its/hit = 0.000s/hit): seed=573272630407104319 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#19 New set #6 of size 8 (3.2 its/hit = 0.000s/hit): seed=9047717762884577383 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#20 New set #7 of size 8 (2.9 its/hit = 0.000s/hit): seed=16529848703037534908 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#21 New set #8 of size 8 (2.6 its/hit = 0.000s/hit): seed=5660505316265752265 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#22 New set #9 of size 8 (2.4 its/hit = 0.000s/hit): seed=13603680776300395331 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#25 New set #10 of size 8 (2.5 its/hit = 0.000s/hit): seed=12531582081689145176 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#40 New set #20 of size 8 (2.0 its/hit = 0.000s/hit): seed=16672168038368774206 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#69 New set #30 of size 8 (2.3 its/hit = 0.000s/hit): seed=16892575549091630502 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#89 New set #40 of size 8 (2.2 its/hit = 0.000s/hit): seed=14251872402150531589 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#103 New set #50 of size 8 (2.1 its/hit = 0.000s/hit): seed=5928630594640856765 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#125 New set #60 of size 8 (2.1 its/hit = 0.000s/hit): seed=15533723192739682955 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#144 New set #70 of size 8 (2.1 its/hit = 0.000s/hit): seed=11617837647133390797 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#163 New set #80 of size 8 (2.0 its/hit = 0.000s/hit): seed=2315806884392933321 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#182 New set #90 of size 8 (2.0 its/hit = 0.000s/hit): seed=7725269469613690895 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#198 New set #100 of size 8 (2.0 its/hit = 0.000s/hit): seed=12130357985467116644 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#396 New set #200 of size 8 (2.0 its/hit = 0.000s/hit): seed=8941262195797707608 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#612 New set #300 of size 8 (2.0 its/hit = 0.000s/hit): seed=15175996309063249219 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#815 New set #400 of size 8 (2.0 its/hit = 0.000s/hit): seed=13370714109310723438 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#1039 New set #500 of size 8 (2.1 its/hit = 0.000s/hit): seed=16775267943554345999 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#1239 New set #600 of size 8 (2.1 its/hit = 0.000s/hit): seed=12996047379896833743 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#1422 New set #700 of size 8 (2.0 its/hit = 0.000s/hit): seed=13191914179598012536 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#1662 New set #800 of size 8 (2.1 its/hit = 0.000s/hit): seed=6423040109794773332 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#1874 New set #900 of size 8 (2.1 its/hit = 0.000s/hit): seed=2869955454014785070 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#2103 New set #1000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4756531012432355133 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#4341 New set #2000 of size 8 (2.2 its/hit = 0.000s/hit): seed=118916461226186980 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#6440 New set #3000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1124625611376062308 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#8592 New set #4000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17291881214716656484 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#10706 New set #5000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5257414530555945944 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#12815 New set #6000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1449915272069200706 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#14897 New set #7000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4348804341224273548 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#16956 New set #8000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6006981597612937326 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#19067 New set #9000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2635524432139705761 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#21155 New set #10000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5172614121552811770 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#41708 New set #20000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16912741557734629950 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#62680 New set #30000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10966979451563171839 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#83857 New set #40000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1445072401165059615 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#104794 New set #50000 of size 8 (2.1 its/hit = 0.000s/hit): seed=14878011932972196230 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#125714 New set #60000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1423544878308178447 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#146671 New set #70000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17488721436204032443 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#167373 New set #80000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7465275533296078396 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#188365 New set #90000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9487096622178966749 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#209350 New set #100000 of size 8 (2.1 its/hit = 0.000s/hit): seed=18212907965772035938 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#418170 New set #200000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10794816464332379776 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#627113 New set #300000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7603003498704119827 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#836552 New set #400000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7927035100696561191 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#1045743 New set #500000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10155849340131026563 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#1255165 New set #600000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1836747975373240094 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#1463947 New set #700000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6150366530846144742 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#1673024 New set #800000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9370888797812703993 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#1882513 New set #900000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13709953095938476510 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#2091851 New set #1000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4025889304760731318 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#4181884 New set #2000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10540410282070005739 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#6271744 New set #3000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=11470797047634019046 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#8362027 New set #4000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9000793997315362085 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#10455433 New set #5000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1105282432499581606 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#12547992 New set #6000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=12402898670234442823 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#14637503 New set #7000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16067316580168061426 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#16728799 New set #8000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=3523262534113811243 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#18821771 New set #9000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7925873844554431983 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#20912504 New set #10000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2694897170524285458 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#41823340 New set #20000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1519513801553985036 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#62730211 New set #30000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15574395241260031165 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#83635501 New set #40000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15014504560762661943 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#104531277 New set #50000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17614796132682352809 [1, 3, 4, 6, 7, 8, 9, 10]
Iter#125436239 New set #60000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5453405398629671744 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#146339324 New set #70000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=10420477534381510799 [0, 4, 6, 7, 8, 9, 10, 15]
Iter#167259401 New set #80000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15992194949674733939 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#188164953 New set #90000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=315178949167179010 [1, 3, 4, 5, 6, 8, 10, 14]
Iter#209068562 New set #100000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17038027032973295793 [0, 4, 6, 7, 8, 9, 10, 15]
