[*] Computing DDT
[+] DDT Computed
DDT took 45.802µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=4466845488845857268 [3, 7, 11, 13, 14, 15]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=15395951869602126102 [0, 2, 9, 10, 13, 14, 15]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=13262043020490894012 [3, 5, 9, 10, 12, 13, 14]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=18367486486401674215 [0, 4, 5, 6, 7, 8, 14]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=13900331157682016470 [3, 5, 7, 10, 11, 12, 15]
Iter#8 New set #5 of size 7 (1.6 its/hit = 0.000s/hit): seed=16071935390035335209 [0, 2, 6, 8, 13, 14, 15]
Iter#11 New set #6 of size 7 (1.8 its/hit = 0.000s/hit): seed=14341633716583802919 [3, 5, 7, 10, 11, 12, 15]
Iter#14 New set #7 of size 7 (2.0 its/hit = 0.000s/hit): seed=4062824773755508505 [0, 2, 6, 8, 13, 14, 15]
Iter#22 New set #8 of size 7 (2.8 its/hit = 0.000s/hit): seed=1659086427665486289 [3, 4, 5, 6, 7, 11, 15]
Iter#24 New set #9 of size 7 (2.7 its/hit = 0.000s/hit): seed=12571737094884586506 [3, 5, 9, 10, 12, 13, 14]
Iter#25 New set #10 of size 7 (2.5 its/hit = 0.000s/hit): seed=1502770122830235622 [0, 4, 5, 6, 7, 8, 14]
Iter#50 New set #20 of size 7 (2.5 its/hit = 0.000s/hit): seed=6225912264883437824 [3, 5, 9, 10, 12, 13, 14]
Iter#77 New set #30 of size 7 (2.6 its/hit = 0.000s/hit): seed=1815485745317353059 [0, 2, 3, 7, 11, 13, 15]
Iter#97 New set #40 of size 7 (2.4 its/hit = 0.000s/hit): seed=8536518344815729625 [0, 6, 8, 9, 10, 13, 14]
Iter#130 New set #50 of size 7 (2.6 its/hit = 0.000s/hit): seed=17109346775372471524 [3, 5, 9, 10, 12, 13, 14]
