[*] Computing DDT
[+] DDT Computed
DDT took 51.651µs
Iter#1 New set #1 of size 5 (1.0 its/hit = 0.000s/hit): seed=9664545999286359256 [2, 4, 5, 9, 11]
Iter#2 New set #1 of size 6 (2.0 its/hit = 0.000s/hit): seed=14257274519125173692 [1, 2, 8, 13, 14, 15]
Iter#4 New set #2 of size 6 (2.0 its/hit = 0.000s/hit): seed=6565001455235551288 [5, 6, 7, 8, 9, 13]
Iter#5 New set #3 of size 6 (1.7 its/hit = 0.000s/hit): seed=4751465604341849084 [1, 5, 8, 9, 12, 15]
Iter#6 New set #4 of size 6 (1.5 its/hit = 0.000s/hit): seed=15410073788284357571 [7, 10, 11, 12, 13, 15]
Iter#7 New set #1 of size 7 (7.0 its/hit = 0.000s/hit): seed=15259589479000027816 [0, 2, 4, 6, 7, 8, 9]
Iter#10 New set #2 of size 7 (5.0 its/hit = 0.000s/hit): seed=3211553547563418925 [1, 5, 8, 10, 11, 12, 13]
Iter#11 New set #3 of size 7 (3.7 its/hit = 0.000s/hit): seed=9047889837549371114 [0, 2, 4, 6, 7, 8, 9]
Iter#13 New set #4 of size 7 (3.2 its/hit = 0.000s/hit): seed=13644725938194904787 [1, 2, 5, 8, 12, 13, 14]
Iter#14 New set #5 of size 7 (2.8 its/hit = 0.000s/hit): seed=5018524487740986785 [0, 3, 9, 10, 11, 12, 13]
Iter#16 New set #6 of size 7 (2.7 its/hit = 0.000s/hit): seed=16756667133777444949 [1, 5, 8, 10, 11, 12, 13]
Iter#18 New set #7 of size 7 (2.6 its/hit = 0.000s/hit): seed=16433538936464083591 [0, 2, 3, 4, 6, 9, 10]
Iter#21 New set #8 of size 7 (2.6 its/hit = 0.000s/hit): seed=5875292326879630400 [0, 2, 3, 4, 6, 9, 10]
Iter#22 New set #9 of size 7 (2.4 its/hit = 0.000s/hit): seed=12490866293119155223 [1, 2, 5, 8, 12, 13, 14]
Iter#23 New set #10 of size 7 (2.3 its/hit = 0.000s/hit): seed=4097546970515454831 [1, 5, 6, 7, 8, 9, 12]
Iter#42 New set #20 of size 7 (2.1 its/hit = 0.000s/hit): seed=7073670969517350707 [1, 2, 5, 8, 12, 13, 14]
Iter#75 New set #30 of size 7 (2.5 its/hit = 0.000s/hit): seed=6416704035741405293 [0, 3, 6, 7, 8, 9, 10]
Iter#112 New set #40 of size 7 (2.8 its/hit = 0.000s/hit): seed=8530930752427812795 [1, 2, 5, 8, 12, 13, 14]
Iter#142 New set #50 of size 7 (2.8 its/hit = 0.000s/hit): seed=7717460311952906094 [0, 3, 9, 10, 11, 12, 13]
Iter#168 New set #60 of size 7 (2.8 its/hit = 0.000s/hit): seed=17483504973648352434 [1, 5, 6, 7, 8, 9, 12]
Iter#185 New set #70 of size 7 (2.6 its/hit = 0.000s/hit): seed=14219550066116992292 [0, 1, 2, 4, 6, 13, 14]
Iter#202 New set #80 of size 7 (2.5 its/hit = 0.000s/hit): seed=538205970693666591 [1, 2, 5, 8, 12, 13, 14]
Iter#218 New set #90 of size 7 (2.4 its/hit = 0.000s/hit): seed=6590976462739094549 [0, 3, 6, 7, 8, 9, 10]
Iter#251 New set #100 of size 7 (2.5 its/hit = 0.000s/hit): seed=8851418831630855049 [0, 3, 9, 10, 11, 12, 13]
Iter#512 New set #200 of size 7 (2.6 its/hit = 0.000s/hit): seed=5337706564456521339 [0, 2, 3, 4, 6, 9, 10]
Iter#782 New set #300 of size 7 (2.6 its/hit = 0.000s/hit): seed=10847837216044059513 [0, 2, 3, 4, 6, 9, 10]
Iter#1034 New set #400 of size 7 (2.6 its/hit = 0.000s/hit): seed=9827928583387268219 [0, 1, 2, 4, 6, 13, 14]
Iter#1271 New set #500 of size 7 (2.5 its/hit = 0.000s/hit): seed=9899579741950409688 [1, 5, 8, 10, 11, 12, 13]
Iter#1531 New set #600 of size 7 (2.6 its/hit = 0.000s/hit): seed=13921875851917647815 [0, 2, 3, 4, 6, 9, 10]
Iter#1815 New set #700 of size 7 (2.6 its/hit = 0.000s/hit): seed=15798751128491448930 [0, 3, 9, 10, 11, 12, 13]
Iter#2066 New set #800 of size 7 (2.6 its/hit = 0.000s/hit): seed=9868896288689204925 [0, 3, 6, 7, 8, 9, 10]
Iter#2306 New set #900 of size 7 (2.6 its/hit = 0.000s/hit): seed=1641342616396946400 [1, 2, 5, 8, 12, 13, 14]
Iter#2556 New set #1000 of size 7 (2.6 its/hit = 0.000s/hit): seed=13118668395242070472 [0, 1, 2, 4, 6, 13, 14]
Iter#5063 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14843247177353413671 [0, 2, 4, 6, 7, 8, 9]
Iter#7550 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7947615518719637856 [1, 5, 6, 7, 8, 9, 12]
Iter#9946 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11785393087508610232 [1, 5, 8, 10, 11, 12, 13]
Iter#12445 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18059865445510792411 [0, 1, 2, 4, 6, 13, 14]
Iter#14977 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4912808900946271542 [0, 1, 2, 4, 6, 13, 14]
Iter#17430 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6480080755220741877 [0, 2, 4, 6, 7, 8, 9]
Iter#19939 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13525965216274840090 [0, 3, 6, 7, 8, 9, 10]
Iter#22504 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11130741306912784801 [1, 5, 8, 10, 11, 12, 13]
Iter#25030 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14827015003638938 [0, 3, 6, 7, 8, 9, 10]
Iter#50130 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1226156003141515770 [0, 1, 2, 4, 6, 13, 14]
Iter#74960 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12720636721468500034 [1, 2, 10, 11, 12, 13, 14]
Iter#99980 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9058638225715800243 [0, 3, 9, 10, 11, 12, 13]
Iter#125057 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5854626354793864605 [1, 2, 5, 8, 12, 13, 14]
Iter#149869 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14022766956672903559 [1, 5, 6, 7, 8, 9, 12]
Iter#174518 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5431446227634635789 [0, 2, 3, 4, 6, 9, 10]
Iter#199161 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16863376362506657623 [0, 3, 6, 7, 8, 9, 10]
Iter#224150 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1407700389877643057 [0, 2, 4, 6, 7, 8, 9]
Iter#249172 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9010726530699869726 [1, 2, 5, 8, 12, 13, 14]
Iter#498383 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14259750636001113151 [1, 5, 6, 7, 8, 9, 12]
Iter#746258 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11193114190979305008 [0, 2, 4, 6, 7, 8, 9]
Iter#996124 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7225863175082206465 [0, 2, 3, 4, 6, 9, 10]
Iter#1244104 New set #500000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16566215000869766974 [1, 2, 5, 8, 12, 13, 14]
Iter#1492172 New set #600000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11078712680117141304 [0, 2, 3, 4, 6, 9, 10]
Iter#1740954 New set #700000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17780613600031243481 [0, 3, 6, 7, 8, 9, 10]
Iter#1990756 New set #800000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4536555868309910736 [0, 3, 9, 10, 11, 12, 13]
Iter#2238825 New set #900000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15364795450886567830 [1, 5, 6, 7, 8, 9, 12]
Iter#2488304 New set #1000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17305762959281286623 [1, 2, 10, 11, 12, 13, 14]
Iter#4978044 New set #2000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12596418427627689703 [1, 5, 8, 10, 11, 12, 13]
Iter#7464433 New set #3000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16883597903329941035 [0, 3, 9, 10, 11, 12, 13]
Iter#9954169 New set #4000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2389674245222012717 [0, 2, 4, 6, 7, 8, 9]
Iter#12446054 New set #5000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17733586431324490061 [1, 5, 8, 10, 11, 12, 13]
Iter#14934689 New set #6000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5939739652050124993 [0, 3, 9, 10, 11, 12, 13]
Iter#17422550 New set #7000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8012234857430030993 [0, 2, 4, 6, 7, 8, 9]
Iter#19913206 New set #8000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12710195514512600848 [0, 1, 2, 4, 6, 13, 14]
Iter#22403001 New set #9000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5184099986317117289 [1, 5, 6, 7, 8, 9, 12]
Iter#24892081 New set #10000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16584704717261922152 [0, 1, 2, 4, 6, 13, 14]
Iter#49784372 New set #20000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12668579527782068060 [1, 2, 5, 8, 12, 13, 14]
