[*] Computing DDT
[+] DDT Computed
DDT took 39.941µs
Iter#1 New set #1 of size 8 (1.0 its/hit = 0.000s/hit): seed=6360281583837438125 [0, 1, 3, 5, 8, 10, 11, 15]
Iter#2 New set #2 of size 8 (1.0 its/hit = 0.000s/hit): seed=1851084385828277900 [0, 1, 3, 5, 8, 10, 11, 15]
Iter#3 New set #3 of size 8 (1.0 its/hit = 0.000s/hit): seed=15598565893638109398 [0, 1, 3, 6, 8, 10, 11, 13]
Iter#5 New set #1 of size 9 (5.0 its/hit = 0.000s/hit): seed=12102070428288723605 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#10 New set #2 of size 9 (5.0 its/hit = 0.000s/hit): seed=521990358415295894 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#19 New set #3 of size 9 (6.3 its/hit = 0.000s/hit): seed=11136208056118618091 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#20 New set #4 of size 9 (5.0 its/hit = 0.000s/hit): seed=11369396904543249316 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#21 New set #5 of size 9 (4.2 its/hit = 0.000s/hit): seed=8496036058535670842 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#30 New set #6 of size 9 (5.0 its/hit = 0.000s/hit): seed=7486487831472294566 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#35 New set #7 of size 9 (5.0 its/hit = 0.000s/hit): seed=1188695158050248212 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#38 New set #8 of size 9 (4.8 its/hit = 0.000s/hit): seed=13332011867567598212 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#39 New set #9 of size 9 (4.3 its/hit = 0.000s/hit): seed=16154037793946278875 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#48 New set #10 of size 9 (4.8 its/hit = 0.000s/hit): seed=16430766463194431124 [1, 2, 3, 6, 8, 10, 12, 13, 14]
Iter#84 New set #20 of size 9 (4.2 its/hit = 0.000s/hit): seed=13675704115018014182 [1, 2, 3, 6, 8, 10, 12, 13, 14]
