[*] Computing DDT
[+] DDT Computed
DDT took 47.202µs
Iter#1 New set #1 of size 8 (1.0 its/hit = 0.000s/hit): seed=12046317259365850534 [4, 5, 6, 7, 8, 9, 12, 13]
Iter#2 New set #2 of size 8 (1.0 its/hit = 0.000s/hit): seed=1660988309428204881 [4, 5, 6, 7, 8, 9, 12, 13]
Iter#3 New set #1 of size 9 (3.0 its/hit = 0.000s/hit): seed=9589848732324877375 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#11 New set #2 of size 9 (5.5 its/hit = 0.000s/hit): seed=12184007036642470869 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#13 New set #3 of size 9 (4.3 its/hit = 0.000s/hit): seed=5238989477346308932 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#17 New set #4 of size 9 (4.2 its/hit = 0.000s/hit): seed=11227222968716621844 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#20 New set #5 of size 9 (4.0 its/hit = 0.000s/hit): seed=852011939141988919 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#25 New set #6 of size 9 (4.2 its/hit = 0.000s/hit): seed=5791253806876805034 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#33 New set #7 of size 9 (4.7 its/hit = 0.000s/hit): seed=7794623475163950287 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#34 New set #8 of size 9 (4.2 its/hit = 0.000s/hit): seed=6959590769290711724 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#35 New set #9 of size 9 (3.9 its/hit = 0.000s/hit): seed=14727166513261196193 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#36 New set #10 of size 9 (3.6 its/hit = 0.000s/hit): seed=2235437074038884851 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#64 New set #20 of size 9 (3.2 its/hit = 0.000s/hit): seed=9461807457823289243 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#96 New set #30 of size 9 (3.2 its/hit = 0.000s/hit): seed=11539314252639419138 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#140 New set #40 of size 9 (3.5 its/hit = 0.000s/hit): seed=6019849903002711699 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#185 New set #50 of size 9 (3.7 its/hit = 0.000s/hit): seed=2007929750935296632 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#221 New set #60 of size 9 (3.7 its/hit = 0.000s/hit): seed=9511600554453218133 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#258 New set #70 of size 9 (3.7 its/hit = 0.000s/hit): seed=5945662887801249619 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#279 New set #80 of size 9 (3.5 its/hit = 0.000s/hit): seed=2721942309578754640 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#300 New set #90 of size 9 (3.3 its/hit = 0.000s/hit): seed=13659455164496834112 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#344 New set #100 of size 9 (3.4 its/hit = 0.000s/hit): seed=14725465081307866893 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#720 New set #200 of size 9 (3.6 its/hit = 0.000s/hit): seed=2804869490311328435 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#1067 New set #300 of size 9 (3.6 its/hit = 0.000s/hit): seed=18234012322887552658 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#1447 New set #400 of size 9 (3.6 its/hit = 0.000s/hit): seed=13259909417770508893 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#1797 New set #500 of size 9 (3.6 its/hit = 0.000s/hit): seed=4468360538670909665 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#2146 New set #600 of size 9 (3.6 its/hit = 0.000s/hit): seed=1849956020643639059 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#2471 New set #700 of size 9 (3.5 its/hit = 0.000s/hit): seed=7380545258078657729 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#2785 New set #800 of size 9 (3.5 its/hit = 0.000s/hit): seed=5089257573803254669 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#3103 New set #900 of size 9 (3.4 its/hit = 0.000s/hit): seed=6028956236348673477 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#3432 New set #1000 of size 9 (3.4 its/hit = 0.000s/hit): seed=17758130346529862003 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#7025 New set #2000 of size 9 (3.5 its/hit = 0.000s/hit): seed=17181623131808338583 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#10520 New set #3000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16666596885400338139 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#14001 New set #4000 of size 9 (3.5 its/hit = 0.000s/hit): seed=9583788046241375419 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#17469 New set #5000 of size 9 (3.5 its/hit = 0.000s/hit): seed=8567077745071777388 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#20977 New set #6000 of size 9 (3.5 its/hit = 0.000s/hit): seed=5136683290674952128 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#24331 New set #7000 of size 9 (3.5 its/hit = 0.000s/hit): seed=12501102470228744588 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#27713 New set #8000 of size 9 (3.5 its/hit = 0.000s/hit): seed=7454679362486713632 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#31453 New set #9000 of size 9 (3.5 its/hit = 0.000s/hit): seed=17315007872324272331 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#34940 New set #10000 of size 9 (3.5 its/hit = 0.000s/hit): seed=7450958496674492296 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#68997 New set #20000 of size 9 (3.4 its/hit = 0.000s/hit): seed=4597847842813263560 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#103570 New set #30000 of size 9 (3.5 its/hit = 0.000s/hit): seed=10698090816988621851 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#137629 New set #40000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14245285783178571610 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#172704 New set #50000 of size 9 (3.5 its/hit = 0.000s/hit): seed=4151847197515218152 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#207753 New set #60000 of size 9 (3.5 its/hit = 0.000s/hit): seed=9941686973302817902 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#242266 New set #70000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16839473635962470680 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#276895 New set #80000 of size 9 (3.5 its/hit = 0.000s/hit): seed=412574516498787270 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#311646 New set #90000 of size 9 (3.5 its/hit = 0.000s/hit): seed=11067491877742823175 [1, 6, 7, 8, 9, 11, 12, 13, 15]
