[*] Computing DDT
[+] DDT Computed
DDT took 33.061µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=9252840104333845420 [0, 7, 8, 9, 12, 15]
Iter#2 New set #1 of size 8 (2.0 its/hit = 0.000s/hit): seed=2780731906191635268 [0, 1, 5, 7, 8, 11, 14, 15]
Iter#6 New set #2 of size 8 (3.0 its/hit = 0.000s/hit): seed=7862685793208563622 [0, 1, 2, 7, 8, 13, 14, 15]
Iter#10 New set #1 of size 9 (10.0 its/hit = 0.000s/hit): seed=3968776921974589352 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#13 New set #2 of size 9 (6.5 its/hit = 0.000s/hit): seed=14752062604717289277 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#14 New set #3 of size 9 (4.7 its/hit = 0.000s/hit): seed=8201750430498377204 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#15 New set #4 of size 9 (3.8 its/hit = 0.000s/hit): seed=14943472419583915359 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#16 New set #5 of size 9 (3.2 its/hit = 0.000s/hit): seed=7926483161459868933 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#17 New set #6 of size 9 (2.8 its/hit = 0.000s/hit): seed=14959105486216900052 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#21 New set #7 of size 9 (3.0 its/hit = 0.000s/hit): seed=5223256241621352312 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#24 New set #8 of size 9 (3.0 its/hit = 0.000s/hit): seed=7511139140876121689 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#25 New set #9 of size 9 (2.8 its/hit = 0.000s/hit): seed=13622583839046636802 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#26 New set #10 of size 9 (2.6 its/hit = 0.000s/hit): seed=8629100608412115486 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#52 New set #20 of size 9 (2.6 its/hit = 0.000s/hit): seed=18108160582721103772 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#77 New set #30 of size 9 (2.6 its/hit = 0.000s/hit): seed=2570170545176731963 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#98 New set #40 of size 9 (2.5 its/hit = 0.000s/hit): seed=13987911340724559434 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#136 New set #50 of size 9 (2.7 its/hit = 0.000s/hit): seed=14083748694236238468 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#162 New set #60 of size 9 (2.7 its/hit = 0.000s/hit): seed=14408116271361326948 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#207 New set #70 of size 9 (3.0 its/hit = 0.000s/hit): seed=2804611123494338064 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#235 New set #80 of size 9 (2.9 its/hit = 0.000s/hit): seed=13342405838761370185 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#270 New set #90 of size 9 (3.0 its/hit = 0.000s/hit): seed=6560027376421360534 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#294 New set #100 of size 9 (2.9 its/hit = 0.000s/hit): seed=6654570935127552737 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#672 New set #200 of size 9 (3.4 its/hit = 0.000s/hit): seed=9997138264992888665 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#988 New set #300 of size 9 (3.3 its/hit = 0.000s/hit): seed=14359275970721115620 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#1414 New set #400 of size 9 (3.5 its/hit = 0.000s/hit): seed=5723375530163200862 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#1773 New set #500 of size 9 (3.5 its/hit = 0.000s/hit): seed=17469279374250870976 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#2110 New set #600 of size 9 (3.5 its/hit = 0.000s/hit): seed=11371723103075422639 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#2501 New set #700 of size 9 (3.6 its/hit = 0.000s/hit): seed=3520413219882847543 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#2828 New set #800 of size 9 (3.5 its/hit = 0.000s/hit): seed=7091148722323747899 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#3266 New set #900 of size 9 (3.6 its/hit = 0.000s/hit): seed=665832913162489425 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#3621 New set #1000 of size 9 (3.6 its/hit = 0.000s/hit): seed=13962687461487731353 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#6868 New set #2000 of size 9 (3.4 its/hit = 0.000s/hit): seed=7355530277572453579 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#10268 New set #3000 of size 9 (3.4 its/hit = 0.000s/hit): seed=10554433319844070043 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#13816 New set #4000 of size 9 (3.5 its/hit = 0.000s/hit): seed=8288135529976147620 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#17271 New set #5000 of size 9 (3.5 its/hit = 0.000s/hit): seed=15005106811869424641 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#20484 New set #6000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1973737664468132603 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#24034 New set #7000 of size 9 (3.4 its/hit = 0.000s/hit): seed=17576900684260753820 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#27468 New set #8000 of size 9 (3.4 its/hit = 0.000s/hit): seed=10214002147712180861 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#30811 New set #9000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1421367649810533982 [1, 2, 6, 7, 8, 10, 12, 13, 14]
Iter#34448 New set #10000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16744088644441079997 [1, 2, 6, 7, 8, 10, 12, 13, 14]
