[*] Computing DDT
[+] DDT Computed
DDT took 44.362µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=14251324444096742506 [1, 3, 4, 5, 7, 11]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=9490219596472906429 [0, 1, 3, 6, 8, 9, 14]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=5748924332429960756 [1, 2, 4, 6, 10, 12, 13]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=13033761648766037406 [3, 9, 10, 11, 13, 14, 15]
Iter#5 New set #1 of size 8 (5.0 its/hit = 0.000s/hit): seed=15694002643975278226 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#14 New set #2 of size 8 (7.0 its/hit = 0.000s/hit): seed=8045079361249172630 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#16 New set #3 of size 8 (5.3 its/hit = 0.000s/hit): seed=14697641683843108403 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#17 New set #4 of size 8 (4.2 its/hit = 0.000s/hit): seed=5338402820064008933 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#21 New set #5 of size 8 (4.2 its/hit = 0.000s/hit): seed=7918456167566946912 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#26 New set #6 of size 8 (4.3 its/hit = 0.000s/hit): seed=6164277174004752209 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#27 New set #7 of size 8 (3.9 its/hit = 0.000s/hit): seed=6316373783181720346 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#32 New set #8 of size 8 (4.0 its/hit = 0.000s/hit): seed=17192493503578460975 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#34 New set #9 of size 8 (3.8 its/hit = 0.000s/hit): seed=7381351733612432659 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#35 New set #10 of size 8 (3.5 its/hit = 0.000s/hit): seed=13240286298794247108 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#79 New set #20 of size 8 (4.0 its/hit = 0.000s/hit): seed=11563120098095368056 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#116 New set #30 of size 8 (3.9 its/hit = 0.000s/hit): seed=15176957094174202641 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#154 New set #40 of size 8 (3.8 its/hit = 0.000s/hit): seed=2782223154665684743 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#182 New set #50 of size 8 (3.6 its/hit = 0.000s/hit): seed=7649725235327018349 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#228 New set #60 of size 8 (3.8 its/hit = 0.000s/hit): seed=14942339550061359316 [1, 6, 9, 10, 11, 13, 14, 15]
Iter#270 New set #70 of size 8 (3.9 its/hit = 0.000s/hit): seed=14563509118016684783 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#300 New set #80 of size 8 (3.8 its/hit = 0.000s/hit): seed=6910736191782754250 [0, 1, 6, 8, 9, 10, 13, 14]
Iter#322 New set #90 of size 8 (3.6 its/hit = 0.000s/hit): seed=16569582262464751319 [0, 1, 6, 8, 9, 10, 13, 14]
