[*] Computing DDT
[+] DDT Computed
DDT took 32.932µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=18208326696392878809 [0, 2, 4, 6, 7, 9, 10]
Iter#2 New set #2 of size 7 (1.0 its/hit = 0.000s/hit): seed=6142337673634838079 [0, 5, 8, 10, 11, 12, 14]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=13598613095721093383 [0, 1, 2, 4, 6, 14, 15]
Iter#5 New set #1 of size 8 (5.0 its/hit = 0.000s/hit): seed=6182575869499317804 [0, 1, 3, 5, 9, 11, 14, 15]
Iter#9 New set #2 of size 8 (4.5 its/hit = 0.000s/hit): seed=3280386349668523626 [0, 1, 3, 5, 9, 11, 14, 15]
Iter#10 New set #3 of size 8 (3.3 its/hit = 0.000s/hit): seed=1490337158604750455 [0, 1, 5, 7, 11, 13, 14, 15]
Iter#11 New set #4 of size 8 (2.8 its/hit = 0.000s/hit): seed=13555064567232672037 [3, 4, 5, 7, 9, 10, 13, 15]
Iter#17 New set #5 of size 8 (3.4 its/hit = 0.000s/hit): seed=15568551083176116317 [1, 3, 4, 7, 9, 10, 11, 13]
Iter#18 New set #6 of size 8 (3.0 its/hit = 0.000s/hit): seed=10965879906803229522 [1, 3, 4, 7, 9, 10, 11, 13]
Iter#19 New set #7 of size 8 (2.7 its/hit = 0.000s/hit): seed=10223722465563530618 [0, 1, 3, 5, 9, 11, 14, 15]
Iter#22 New set #8 of size 8 (2.8 its/hit = 0.000s/hit): seed=115321412509895824 [1, 3, 4, 7, 9, 10, 11, 13]
Iter#26 New set #9 of size 8 (2.9 its/hit = 0.000s/hit): seed=12166864705788336006 [0, 1, 5, 7, 11, 13, 14, 15]
Iter#28 New set #10 of size 8 (2.8 its/hit = 0.000s/hit): seed=6342314879133715635 [0, 1, 3, 5, 9, 11, 14, 15]
Iter#51 New set #20 of size 8 (2.5 its/hit = 0.000s/hit): seed=9698942417549883032 [0, 1, 5, 7, 11, 13, 14, 15]
Iter#74 New set #30 of size 8 (2.5 its/hit = 0.000s/hit): seed=422452957510050581 [0, 1, 3, 5, 9, 11, 14, 15]
Iter#98 New set #40 of size 8 (2.5 its/hit = 0.000s/hit): seed=6821479675380347853 [1, 3, 4, 7, 9, 10, 11, 13]
Iter#115 New set #50 of size 8 (2.3 its/hit = 0.000s/hit): seed=13215991658877478547 [0, 1, 3, 5, 9, 11, 14, 15]
Iter#131 New set #60 of size 8 (2.2 its/hit = 0.000s/hit): seed=5183700947542464151 [0, 1, 5, 7, 11, 13, 14, 15]
Iter#149 New set #70 of size 8 (2.1 its/hit = 0.000s/hit): seed=898473718273920876 [1, 3, 4, 7, 9, 10, 11, 13]
Iter#176 New set #80 of size 8 (2.2 its/hit = 0.000s/hit): seed=5241139636238333313 [0, 1, 3, 5, 9, 11, 14, 15]
Iter#197 New set #90 of size 8 (2.2 its/hit = 0.000s/hit): seed=15633075523537551972 [3, 4, 5, 7, 9, 10, 13, 15]
Iter#224 New set #100 of size 8 (2.2 its/hit = 0.000s/hit): seed=131827612426343266 [0, 1, 5, 7, 11, 13, 14, 15]
Iter#460 New set #200 of size 8 (2.3 its/hit = 0.000s/hit): seed=2766791823662530609 [0, 1, 5, 7, 11, 13, 14, 15]
Iter#676 New set #300 of size 8 (2.3 its/hit = 0.000s/hit): seed=10876690003183524346 [1, 3, 4, 7, 9, 10, 11, 13]
Iter#892 New set #400 of size 8 (2.2 its/hit = 0.000s/hit): seed=15956148012629225669 [0, 1, 3, 5, 9, 11, 14, 15]
Iter#1105 New set #500 of size 8 (2.2 its/hit = 0.000s/hit): seed=2833535259459343208 [3, 4, 5, 7, 9, 10, 13, 15]
Iter#1363 New set #600 of size 8 (2.3 its/hit = 0.000s/hit): seed=13370738081359030127 [0, 1, 3, 5, 9, 11, 14, 15]
