[*] Computing DDT
[+] DDT Computed
DDT took 43.801µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=17830319146675209726 [0, 1, 2, 4, 5, 6, 9]
Iter#2 New set #1 of size 8 (2.0 its/hit = 0.000s/hit): seed=3130436520740391986 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#5 New set #2 of size 8 (2.5 its/hit = 0.000s/hit): seed=2235200219948725855 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#6 New set #3 of size 8 (2.0 its/hit = 0.000s/hit): seed=10405516674976629718 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#7 New set #4 of size 8 (1.8 its/hit = 0.000s/hit): seed=2500526617168434390 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#9 New set #5 of size 8 (1.8 its/hit = 0.000s/hit): seed=5738834835196758827 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#10 New set #6 of size 8 (1.7 its/hit = 0.000s/hit): seed=3448090158345173833 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#12 New set #7 of size 8 (1.7 its/hit = 0.000s/hit): seed=13592097599982186499 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#13 New set #8 of size 8 (1.6 its/hit = 0.000s/hit): seed=939024960201570142 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#16 New set #9 of size 8 (1.8 its/hit = 0.000s/hit): seed=3746965740971355141 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#17 New set #10 of size 8 (1.7 its/hit = 0.000s/hit): seed=4498096222314074380 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#53 New set #20 of size 8 (2.7 its/hit = 0.000s/hit): seed=17943727370915922105 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#84 New set #30 of size 8 (2.8 its/hit = 0.000s/hit): seed=11097656213654754323 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#111 New set #40 of size 8 (2.8 its/hit = 0.000s/hit): seed=14473633877450105064 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#124 New set #50 of size 8 (2.5 its/hit = 0.000s/hit): seed=2134037144180770954 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#141 New set #60 of size 8 (2.3 its/hit = 0.000s/hit): seed=16440302928017181725 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#168 New set #70 of size 8 (2.4 its/hit = 0.000s/hit): seed=11321250996826816448 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#195 New set #80 of size 8 (2.4 its/hit = 0.000s/hit): seed=6371239026702054738 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#225 New set #90 of size 8 (2.5 its/hit = 0.000s/hit): seed=1955531406523346301 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#243 New set #100 of size 8 (2.4 its/hit = 0.000s/hit): seed=14514997479282835047 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#458 New set #200 of size 8 (2.3 its/hit = 0.000s/hit): seed=17172942149338535918 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#679 New set #300 of size 8 (2.3 its/hit = 0.000s/hit): seed=16537590476448874356 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#903 New set #400 of size 8 (2.3 its/hit = 0.000s/hit): seed=6632751492051199926 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#1131 New set #500 of size 8 (2.3 its/hit = 0.000s/hit): seed=11163324947845492661 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#1338 New set #600 of size 8 (2.2 its/hit = 0.000s/hit): seed=11809987562683556765 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#1557 New set #700 of size 8 (2.2 its/hit = 0.000s/hit): seed=16955721290796069071 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#1814 New set #800 of size 8 (2.3 its/hit = 0.000s/hit): seed=2846029467132738510 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#2030 New set #900 of size 8 (2.3 its/hit = 0.000s/hit): seed=12859257626297040426 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#2251 New set #1000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6148728245702518419 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#4617 New set #2000 of size 8 (2.3 its/hit = 0.000s/hit): seed=7202901551039774076 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#6930 New set #3000 of size 8 (2.3 its/hit = 0.000s/hit): seed=11930115637963513077 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#9286 New set #4000 of size 8 (2.3 its/hit = 0.000s/hit): seed=14402618615189054914 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#11630 New set #5000 of size 8 (2.3 its/hit = 0.000s/hit): seed=18018822265224917434 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#13863 New set #6000 of size 8 (2.3 its/hit = 0.000s/hit): seed=8895789656265337207 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#16133 New set #7000 of size 8 (2.3 its/hit = 0.000s/hit): seed=10476745322030524735 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#18421 New set #8000 of size 8 (2.3 its/hit = 0.000s/hit): seed=17567376387700523860 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#20660 New set #9000 of size 8 (2.3 its/hit = 0.000s/hit): seed=4242131562247035564 [1, 2, 3, 5, 6, 7, 8, 13]
Iter#22956 New set #10000 of size 8 (2.3 its/hit = 0.000s/hit): seed=8440121505665973366 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#45856 New set #20000 of size 8 (2.3 its/hit = 0.000s/hit): seed=3182568395909093483 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#68723 New set #30000 of size 8 (2.3 its/hit = 0.000s/hit): seed=4423952375529815191 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#91670 New set #40000 of size 8 (2.3 its/hit = 0.000s/hit): seed=7189873564180045830 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#114760 New set #50000 of size 8 (2.3 its/hit = 0.000s/hit): seed=13980240224854055142 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#138006 New set #60000 of size 8 (2.3 its/hit = 0.000s/hit): seed=5701746164300392248 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#161083 New set #70000 of size 8 (2.3 its/hit = 0.000s/hit): seed=8379452629985441520 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#183604 New set #80000 of size 8 (2.3 its/hit = 0.000s/hit): seed=4002300275763655683 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#206773 New set #90000 of size 8 (2.3 its/hit = 0.000s/hit): seed=10255829418445690861 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#229715 New set #100000 of size 8 (2.3 its/hit = 0.000s/hit): seed=13841624438614766424 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#458527 New set #200000 of size 8 (2.3 its/hit = 0.000s/hit): seed=7327343719064203767 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#688056 New set #300000 of size 8 (2.3 its/hit = 0.000s/hit): seed=14537553015057535761 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#918108 New set #400000 of size 8 (2.3 its/hit = 0.000s/hit): seed=2374065356879960986 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#1147927 New set #500000 of size 8 (2.3 its/hit = 0.000s/hit): seed=12794240942627734679 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#1378026 New set #600000 of size 8 (2.3 its/hit = 0.000s/hit): seed=3652717681695013174 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#1607673 New set #700000 of size 8 (2.3 its/hit = 0.000s/hit): seed=11667018248792118923 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#1836306 New set #800000 of size 8 (2.3 its/hit = 0.000s/hit): seed=5351396427621878920 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#2064992 New set #900000 of size 8 (2.3 its/hit = 0.000s/hit): seed=13507110592997529925 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#2294907 New set #1000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=7099111750005356527 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#4590377 New set #2000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=16295914754717314455 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#6885200 New set #3000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=4467870775079614634 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#9177290 New set #4000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=14344459807906370805 [1, 2, 3, 5, 6, 7, 8, 13]
Iter#11472987 New set #5000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=12033727024507817845 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#13767453 New set #6000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=9052255479126254143 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#16062227 New set #7000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6867902316531372925 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#18357736 New set #8000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=11105083336135985268 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#20650852 New set #9000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=10667673532895157362 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#22941903 New set #10000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=13148156884539460945 [1, 2, 3, 5, 6, 7, 8, 13]
Iter#45881245 New set #20000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=11681155461133854066 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#68812828 New set #30000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=11675743263196913272 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#91752401 New set #40000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=4799322466920793508 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#114695990 New set #50000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=13433948703756047896 [0, 1, 3, 4, 5, 7, 11, 14]
Iter#137633483 New set #60000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=3359667599401622226 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#160579789 New set #70000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=12596878634357655716 [0, 1, 2, 4, 5, 6, 11, 14]
Iter#183512214 New set #80000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6950121407527397806 [0, 2, 3, 4, 6, 7, 8, 13]
Iter#206439454 New set #90000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=8314191788239381571 [1, 2, 3, 5, 6, 7, 8, 13]
Iter#229379457 New set #100000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=3631068697677616330 [0, 1, 2, 4, 5, 6, 11, 14]
