[*] Computing DDT
[+] DDT Computed
DDT took 65.272µs
Iter#1 New set #1 of size 8 (1.0 its/hit = 0.000s/hit): seed=9321679923811649733 [0, 1, 6, 7, 9, 10, 14, 15]
Iter#8 New set #1 of size 9 (8.0 its/hit = 0.000s/hit): seed=11930536422861061546 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#10 New set #2 of size 9 (5.0 its/hit = 0.000s/hit): seed=10491642018541624787 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#12 New set #3 of size 9 (4.0 its/hit = 0.000s/hit): seed=6943858140412582437 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#13 New set #4 of size 9 (3.2 its/hit = 0.000s/hit): seed=17883300261949808660 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#14 New set #5 of size 9 (2.8 its/hit = 0.000s/hit): seed=2182220173725162345 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#17 New set #6 of size 9 (2.8 its/hit = 0.000s/hit): seed=16433456651273904610 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#20 New set #7 of size 9 (2.9 its/hit = 0.000s/hit): seed=1922898312238962361 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#21 New set #8 of size 9 (2.6 its/hit = 0.000s/hit): seed=18021743086078702703 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#29 New set #9 of size 9 (3.2 its/hit = 0.000s/hit): seed=7397052677333127354 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#33 New set #10 of size 9 (3.3 its/hit = 0.000s/hit): seed=14278135558275291658 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#64 New set #20 of size 9 (3.2 its/hit = 0.000s/hit): seed=15278638807281748024 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#104 New set #30 of size 9 (3.5 its/hit = 0.000s/hit): seed=2123623852410873245 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#133 New set #40 of size 9 (3.3 its/hit = 0.000s/hit): seed=5798539758245837534 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#166 New set #50 of size 9 (3.3 its/hit = 0.000s/hit): seed=743691746075642892 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#190 New set #60 of size 9 (3.2 its/hit = 0.000s/hit): seed=13572583773781904178 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#225 New set #70 of size 9 (3.2 its/hit = 0.000s/hit): seed=8872246353117304755 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#260 New set #80 of size 9 (3.2 its/hit = 0.000s/hit): seed=3313310650257535266 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#282 New set #90 of size 9 (3.1 its/hit = 0.000s/hit): seed=16806269785948374599 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#317 New set #100 of size 9 (3.2 its/hit = 0.000s/hit): seed=13950916158600015826 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#671 New set #200 of size 9 (3.4 its/hit = 0.000s/hit): seed=1628324837331915259 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#1069 New set #300 of size 9 (3.6 its/hit = 0.000s/hit): seed=3520646818117063000 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#1378 New set #400 of size 9 (3.4 its/hit = 0.000s/hit): seed=11744681435027955504 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#1679 New set #500 of size 9 (3.4 its/hit = 0.000s/hit): seed=50204402460606561 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#2045 New set #600 of size 9 (3.4 its/hit = 0.000s/hit): seed=3405592434865209525 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#2395 New set #700 of size 9 (3.4 its/hit = 0.000s/hit): seed=8233375938454591714 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#2769 New set #800 of size 9 (3.5 its/hit = 0.000s/hit): seed=16232725375801843760 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#3084 New set #900 of size 9 (3.4 its/hit = 0.000s/hit): seed=2236555737985775270 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#3422 New set #1000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3545294272339069777 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#6891 New set #2000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3951883906398582868 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#10277 New set #3000 of size 9 (3.4 its/hit = 0.000s/hit): seed=13850128860143667710 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#13762 New set #4000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16183171671802671748 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#17249 New set #5000 of size 9 (3.4 its/hit = 0.000s/hit): seed=17319719651967154714 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#20790 New set #6000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16279981055680901671 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#24144 New set #7000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14469472525731770732 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#27632 New set #8000 of size 9 (3.5 its/hit = 0.000s/hit): seed=13985660123077670183 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#31049 New set #9000 of size 9 (3.4 its/hit = 0.000s/hit): seed=10968664693089840562 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#34423 New set #10000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14559207126921921091 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#69165 New set #20000 of size 9 (3.5 its/hit = 0.000s/hit): seed=862084180774021755 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#104122 New set #30000 of size 9 (3.5 its/hit = 0.000s/hit): seed=10076489747931790768 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#138760 New set #40000 of size 9 (3.5 its/hit = 0.000s/hit): seed=11001138841005369269 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#173354 New set #50000 of size 9 (3.5 its/hit = 0.000s/hit): seed=18229432252312054214 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#207591 New set #60000 of size 9 (3.5 its/hit = 0.000s/hit): seed=16371359577373297389 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#241889 New set #70000 of size 9 (3.5 its/hit = 0.000s/hit): seed=10803558945218753807 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#276416 New set #80000 of size 9 (3.5 its/hit = 0.000s/hit): seed=3578561125879142766 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#310568 New set #90000 of size 9 (3.5 its/hit = 0.000s/hit): seed=3430291353935970966 [0, 1, 4, 6, 7, 9, 12, 14, 15]
Iter#345259 New set #100000 of size 9 (3.5 its/hit = 0.000s/hit): seed=7450397695009125146 [0, 1, 4, 6, 7, 9, 12, 14, 15]
