[*] Computing DDT
[+] DDT Computed
DDT took 81.392µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=1811309251858123740 [0, 2, 3, 7, 9, 13, 14]
Iter#2 New set #1 of size 8 (2.0 its/hit = 0.000s/hit): seed=16366074058366304300 [0, 1, 4, 8, 9, 10, 12, 15]
Iter#3 New set #2 of size 8 (1.5 its/hit = 0.000s/hit): seed=9475947812422140165 [1, 4, 5, 9, 10, 12, 13, 15]
Iter#4 New set #1 of size 9 (4.0 its/hit = 0.000s/hit): seed=5578069388294059128 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#12 New set #2 of size 9 (6.0 its/hit = 0.000s/hit): seed=651803934508868310 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#13 New set #3 of size 9 (4.3 its/hit = 0.000s/hit): seed=17909044992812646714 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#21 New set #4 of size 9 (5.2 its/hit = 0.000s/hit): seed=9685624627966982178 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#23 New set #5 of size 9 (4.6 its/hit = 0.000s/hit): seed=5939716784128203246 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#26 New set #6 of size 9 (4.3 its/hit = 0.000s/hit): seed=10656245402469480202 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#27 New set #7 of size 9 (3.9 its/hit = 0.000s/hit): seed=3539237425840551686 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#29 New set #8 of size 9 (3.6 its/hit = 0.000s/hit): seed=11942888069497767092 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#31 New set #9 of size 9 (3.4 its/hit = 0.000s/hit): seed=9819643975085733627 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#32 New set #10 of size 9 (3.2 its/hit = 0.000s/hit): seed=5767407767060649142 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#64 New set #20 of size 9 (3.2 its/hit = 0.000s/hit): seed=3922020446109933871 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#97 New set #30 of size 9 (3.2 its/hit = 0.000s/hit): seed=11843620716841277671 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#132 New set #40 of size 9 (3.3 its/hit = 0.000s/hit): seed=11598930437620950314 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#167 New set #50 of size 9 (3.3 its/hit = 0.000s/hit): seed=186027451630548836 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#199 New set #60 of size 9 (3.3 its/hit = 0.000s/hit): seed=9496637056838466668 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#241 New set #70 of size 9 (3.4 its/hit = 0.000s/hit): seed=7786965437779269469 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#280 New set #80 of size 9 (3.5 its/hit = 0.000s/hit): seed=1385585185439732622 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#320 New set #90 of size 9 (3.6 its/hit = 0.000s/hit): seed=6095153258755431081 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#378 New set #100 of size 9 (3.8 its/hit = 0.000s/hit): seed=785080603585598967 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#791 New set #200 of size 9 (4.0 its/hit = 0.000s/hit): seed=9779688388293941559 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#1178 New set #300 of size 9 (3.9 its/hit = 0.000s/hit): seed=12870784480184396899 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#1559 New set #400 of size 9 (3.9 its/hit = 0.000s/hit): seed=17678012467055829796 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#1976 New set #500 of size 9 (4.0 its/hit = 0.000s/hit): seed=16952838195776581880 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#2354 New set #600 of size 9 (3.9 its/hit = 0.000s/hit): seed=8561217419401569713 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#2775 New set #700 of size 9 (4.0 its/hit = 0.000s/hit): seed=1381411996705230382 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#3217 New set #800 of size 9 (4.0 its/hit = 0.000s/hit): seed=8002902075792998341 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#3643 New set #900 of size 9 (4.0 its/hit = 0.000s/hit): seed=5251598568558275585 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#4023 New set #1000 of size 9 (4.0 its/hit = 0.000s/hit): seed=13762295409351811280 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#7941 New set #2000 of size 9 (4.0 its/hit = 0.000s/hit): seed=12658364815342847867 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#11959 New set #3000 of size 9 (4.0 its/hit = 0.000s/hit): seed=12041604097427645474 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#15891 New set #4000 of size 9 (4.0 its/hit = 0.000s/hit): seed=14771411843484474105 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#19818 New set #5000 of size 9 (4.0 its/hit = 0.000s/hit): seed=11658817132012440861 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#23667 New set #6000 of size 9 (3.9 its/hit = 0.000s/hit): seed=1097195226332696883 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#27561 New set #7000 of size 9 (3.9 its/hit = 0.000s/hit): seed=8094798476585791758 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#31486 New set #8000 of size 9 (3.9 its/hit = 0.000s/hit): seed=15914151449129921742 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#35502 New set #9000 of size 9 (3.9 its/hit = 0.000s/hit): seed=1244716469315758087 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#39497 New set #10000 of size 9 (3.9 its/hit = 0.000s/hit): seed=15613681223748666377 [0, 1, 3, 5, 7, 8, 9, 13, 14]
Iter#78188 New set #20000 of size 9 (3.9 its/hit = 0.000s/hit): seed=15159027363387992876 [0, 1, 3, 5, 7, 8, 9, 13, 14]
