[*] Computing DDT
[+] DDT Computed
DDT took 35.691µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=14236902495322239406 [4, 5, 6, 7, 11, 12, 13]
Iter#2 New set #2 of size 7 (1.0 its/hit = 0.000s/hit): seed=3634802436101654505 [3, 6, 7, 8, 9, 10, 15]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=17404174219744891124 [3, 6, 7, 8, 9, 10, 15]
Iter#7 New set #1 of size 8 (7.0 its/hit = 0.000s/hit): seed=15130872961776237673 [0, 4, 5, 8, 9, 12, 13, 15]
Iter#8 New set #2 of size 8 (4.0 its/hit = 0.000s/hit): seed=9714373119389597942 [0, 4, 5, 8, 9, 12, 13, 14]
Iter#10 New set #1 of size 9 (10.0 its/hit = 0.000s/hit): seed=12345190518642002476 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#11 New set #2 of size 9 (5.5 its/hit = 0.000s/hit): seed=5140174588118282425 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#15 New set #3 of size 9 (5.0 its/hit = 0.000s/hit): seed=16450473387116058733 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#16 New set #4 of size 9 (4.0 its/hit = 0.000s/hit): seed=6949205610118578898 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#18 New set #5 of size 9 (3.6 its/hit = 0.000s/hit): seed=3066833954982254450 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#22 New set #6 of size 9 (3.7 its/hit = 0.000s/hit): seed=15492272932321185026 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#31 New set #7 of size 9 (4.4 its/hit = 0.000s/hit): seed=8285921627945297325 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#38 New set #8 of size 9 (4.8 its/hit = 0.000s/hit): seed=16833394770523705819 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#42 New set #9 of size 9 (4.7 its/hit = 0.000s/hit): seed=12798178694914683224 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#50 New set #10 of size 9 (5.0 its/hit = 0.000s/hit): seed=6586792180765075111 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#97 New set #20 of size 9 (4.8 its/hit = 0.000s/hit): seed=7608254871701378206 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#129 New set #30 of size 9 (4.3 its/hit = 0.000s/hit): seed=963620961881079777 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#160 New set #40 of size 9 (4.0 its/hit = 0.000s/hit): seed=14578126970162841687 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#197 New set #50 of size 9 (3.9 its/hit = 0.000s/hit): seed=11910513570908493740 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#230 New set #60 of size 9 (3.8 its/hit = 0.000s/hit): seed=17705505896954833694 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#263 New set #70 of size 9 (3.8 its/hit = 0.000s/hit): seed=14671130187673050118 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#294 New set #80 of size 9 (3.7 its/hit = 0.000s/hit): seed=13357388828666396017 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#327 New set #90 of size 9 (3.6 its/hit = 0.000s/hit): seed=14239840494491877655 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#386 New set #100 of size 9 (3.9 its/hit = 0.000s/hit): seed=16809719531692650898 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#742 New set #200 of size 9 (3.7 its/hit = 0.000s/hit): seed=8523747049428009069 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#1056 New set #300 of size 9 (3.5 its/hit = 0.000s/hit): seed=9378979411857911555 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#1391 New set #400 of size 9 (3.5 its/hit = 0.000s/hit): seed=12541577733322002776 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#1736 New set #500 of size 9 (3.5 its/hit = 0.000s/hit): seed=10592268508801318385 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#2090 New set #600 of size 9 (3.5 its/hit = 0.000s/hit): seed=4115950291446154628 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#2411 New set #700 of size 9 (3.4 its/hit = 0.000s/hit): seed=14028815674400221993 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#2728 New set #800 of size 9 (3.4 its/hit = 0.000s/hit): seed=17767485638446004407 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#3086 New set #900 of size 9 (3.4 its/hit = 0.000s/hit): seed=16424236576290680309 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#3467 New set #1000 of size 9 (3.5 its/hit = 0.000s/hit): seed=18032983878736969642 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#6823 New set #2000 of size 9 (3.4 its/hit = 0.000s/hit): seed=12241102785397109639 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#10327 New set #3000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1404090637864938384 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#13786 New set #4000 of size 9 (3.4 its/hit = 0.000s/hit): seed=18274750879606776164 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#17254 New set #5000 of size 9 (3.5 its/hit = 0.000s/hit): seed=7762959508945372300 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#20939 New set #6000 of size 9 (3.5 its/hit = 0.000s/hit): seed=3467152031394675756 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#24330 New set #7000 of size 9 (3.5 its/hit = 0.000s/hit): seed=6793095372801321558 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#27735 New set #8000 of size 9 (3.5 its/hit = 0.000s/hit): seed=15700891678881391358 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#31298 New set #9000 of size 9 (3.5 its/hit = 0.000s/hit): seed=17675928721072175095 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#34733 New set #10000 of size 9 (3.5 its/hit = 0.000s/hit): seed=6128016948094262813 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#69102 New set #20000 of size 9 (3.5 its/hit = 0.000s/hit): seed=13168680564065567955 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#103374 New set #30000 of size 9 (3.4 its/hit = 0.000s/hit): seed=522631552285263736 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#137781 New set #40000 of size 9 (3.4 its/hit = 0.000s/hit): seed=7540220883566866713 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#171645 New set #50000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16038271022878774387 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#205891 New set #60000 of size 9 (3.4 its/hit = 0.000s/hit): seed=8959980584882392454 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#239815 New set #70000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16499031950488641492 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#273964 New set #80000 of size 9 (3.4 its/hit = 0.000s/hit): seed=1557258087852161192 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#308642 New set #90000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14932815616039109952 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#342622 New set #100000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3214697284941208439 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#685126 New set #200000 of size 9 (3.4 its/hit = 0.000s/hit): seed=9908796962246045435 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#1028410 New set #300000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16664648845135170898 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#1371481 New set #400000 of size 9 (3.4 its/hit = 0.000s/hit): seed=8322597195744395937 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#1713814 New set #500000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16732373915704085056 [0, 4, 5, 6, 7, 8, 9, 12, 13]
