[*] Computing DDT
[+] DDT Computed
DDT took 42.472µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=10155941779116762791 [0, 2, 3, 5, 6, 13, 15]
Iter#2 New set #2 of size 7 (1.0 its/hit = 0.000s/hit): seed=6229873778918975357 [3, 7, 8, 9, 10, 11, 15]
Iter#3 New set #3 of size 7 (1.0 its/hit = 0.000s/hit): seed=9304164805857182837 [0, 2, 5, 9, 12, 13, 15]
Iter#4 New set #4 of size 7 (1.0 its/hit = 0.000s/hit): seed=10184201810131190322 [0, 2, 4, 11, 13, 14, 15]
Iter#5 New set #5 of size 7 (1.0 its/hit = 0.000s/hit): seed=16340362176638363178 [2, 4, 5, 6, 7, 11, 13]
Iter#6 New set #6 of size 7 (1.0 its/hit = 0.000s/hit): seed=12053565195637073580 [0, 3, 4, 5, 6, 7, 10]
Iter#7 New set #7 of size 7 (1.0 its/hit = 0.000s/hit): seed=12710824585285430550 [1, 3, 6, 9, 12, 13, 14]
Iter#8 New set #1 of size 8 (8.0 its/hit = 0.000s/hit): seed=3530815782328879255 [0, 3, 4, 5, 6, 7, 11, 15]
Iter#9 New set #2 of size 8 (4.5 its/hit = 0.000s/hit): seed=11168318376517467154 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#12 New set #3 of size 8 (4.0 its/hit = 0.000s/hit): seed=15923033282787501023 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#13 New set #4 of size 8 (3.2 its/hit = 0.000s/hit): seed=9422226132640735510 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#14 New set #5 of size 8 (2.8 its/hit = 0.000s/hit): seed=10477683894818535217 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#18 New set #6 of size 8 (3.0 its/hit = 0.000s/hit): seed=11203019274189484827 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#19 New set #7 of size 8 (2.7 its/hit = 0.000s/hit): seed=16978201583318147348 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#21 New set #8 of size 8 (2.6 its/hit = 0.000s/hit): seed=3092428832694381122 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#23 New set #9 of size 8 (2.6 its/hit = 0.000s/hit): seed=5964226421541053345 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#25 New set #10 of size 8 (2.5 its/hit = 0.000s/hit): seed=14167947963183948650 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#45 New set #20 of size 8 (2.2 its/hit = 0.000s/hit): seed=13056626334160253921 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#72 New set #30 of size 8 (2.4 its/hit = 0.000s/hit): seed=8276742099758949100 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#93 New set #40 of size 8 (2.3 its/hit = 0.000s/hit): seed=11671442959024291185 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#114 New set #50 of size 8 (2.3 its/hit = 0.000s/hit): seed=7400183761673410507 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#144 New set #60 of size 8 (2.4 its/hit = 0.000s/hit): seed=12853498885887843280 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#166 New set #70 of size 8 (2.4 its/hit = 0.000s/hit): seed=5429738325030466317 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#193 New set #80 of size 8 (2.4 its/hit = 0.000s/hit): seed=3154998022303679026 [0, 2, 3, 4, 7, 11, 13, 15]
