[*] Computing DDT
[+] DDT Computed
DDT took 41.011µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=12805773260686573204 [0, 1, 4, 9, 10, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=17332263590267710293 [0, 1, 6, 7, 11, 12, 14]
Iter#3 New set #1 of size 8 (3.0 its/hit = 0.000s/hit): seed=14766705996482346431 [0, 2, 4, 6, 8, 9, 12, 13]
Iter#4 New set #2 of size 8 (2.0 its/hit = 0.000s/hit): seed=3490438963789447339 [0, 2, 4, 6, 8, 9, 12, 13]
Iter#5 New set #1 of size 9 (5.0 its/hit = 0.000s/hit): seed=11029370114345321663 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#8 New set #2 of size 9 (4.0 its/hit = 0.000s/hit): seed=14114838844878224968 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#9 New set #3 of size 9 (3.0 its/hit = 0.000s/hit): seed=2950636875944607939 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#13 New set #4 of size 9 (3.2 its/hit = 0.000s/hit): seed=9156953845456395046 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#19 New set #5 of size 9 (3.8 its/hit = 0.000s/hit): seed=17717992460246572282 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#22 New set #6 of size 9 (3.7 its/hit = 0.000s/hit): seed=6442721436984988964 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#29 New set #7 of size 9 (4.1 its/hit = 0.000s/hit): seed=8914472214145814949 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#33 New set #8 of size 9 (4.1 its/hit = 0.000s/hit): seed=11301496036757058850 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#37 New set #9 of size 9 (4.1 its/hit = 0.000s/hit): seed=8823028006926536565 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#40 New set #10 of size 9 (4.0 its/hit = 0.000s/hit): seed=16188072661847959374 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#81 New set #20 of size 9 (4.1 its/hit = 0.000s/hit): seed=2882321782494185238 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#140 New set #30 of size 9 (4.7 its/hit = 0.000s/hit): seed=3472686520633801326 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#182 New set #40 of size 9 (4.6 its/hit = 0.000s/hit): seed=9587987794366037482 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#223 New set #50 of size 9 (4.5 its/hit = 0.000s/hit): seed=6344666399207480353 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#272 New set #60 of size 9 (4.5 its/hit = 0.000s/hit): seed=3908891717360031164 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#321 New set #70 of size 9 (4.6 its/hit = 0.000s/hit): seed=16087899627211378049 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#362 New set #80 of size 9 (4.5 its/hit = 0.000s/hit): seed=10714222833793387164 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#410 New set #90 of size 9 (4.6 its/hit = 0.000s/hit): seed=18085855812284520335 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#477 New set #100 of size 9 (4.8 its/hit = 0.000s/hit): seed=11216033629006574551 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#979 New set #200 of size 9 (4.9 its/hit = 0.000s/hit): seed=1409316260687271792 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#1418 New set #300 of size 9 (4.7 its/hit = 0.000s/hit): seed=4252036904862118364 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#1820 New set #400 of size 9 (4.6 its/hit = 0.000s/hit): seed=2344617486768966773 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#2242 New set #500 of size 9 (4.5 its/hit = 0.000s/hit): seed=9620400969036823469 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#2776 New set #600 of size 9 (4.6 its/hit = 0.000s/hit): seed=8138037537474754515 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#3244 New set #700 of size 9 (4.6 its/hit = 0.000s/hit): seed=18288131672962895036 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#3783 New set #800 of size 9 (4.7 its/hit = 0.000s/hit): seed=9171298342925067119 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#4336 New set #900 of size 9 (4.8 its/hit = 0.000s/hit): seed=6211228694538539071 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#4758 New set #1000 of size 9 (4.8 its/hit = 0.000s/hit): seed=8302531929687992686 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#9424 New set #2000 of size 9 (4.7 its/hit = 0.000s/hit): seed=4402119532118809783 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#13968 New set #3000 of size 9 (4.7 its/hit = 0.000s/hit): seed=9295674177883907245 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#18999 New set #4000 of size 9 (4.7 its/hit = 0.000s/hit): seed=16629997046525575255 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#23580 New set #5000 of size 9 (4.7 its/hit = 0.000s/hit): seed=15890718819529935504 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#28259 New set #6000 of size 9 (4.7 its/hit = 0.000s/hit): seed=8234001533801050688 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#32967 New set #7000 of size 9 (4.7 its/hit = 0.000s/hit): seed=9512965623104096334 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#37563 New set #8000 of size 9 (4.7 its/hit = 0.000s/hit): seed=10367568070595817303 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#42322 New set #9000 of size 9 (4.7 its/hit = 0.000s/hit): seed=5324813591564568290 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#47175 New set #10000 of size 9 (4.7 its/hit = 0.000s/hit): seed=16991628591450187829 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#94898 New set #20000 of size 9 (4.7 its/hit = 0.000s/hit): seed=3662555117719703365 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#142868 New set #30000 of size 9 (4.8 its/hit = 0.000s/hit): seed=9942392363080062856 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#191308 New set #40000 of size 9 (4.8 its/hit = 0.000s/hit): seed=17955773967400766146 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#239465 New set #50000 of size 9 (4.8 its/hit = 0.000s/hit): seed=1312685192405430158 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#287583 New set #60000 of size 9 (4.8 its/hit = 0.000s/hit): seed=16840981265223560382 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#335861 New set #70000 of size 9 (4.8 its/hit = 0.000s/hit): seed=2288260528393878664 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#383802 New set #80000 of size 9 (4.8 its/hit = 0.000s/hit): seed=4908611339516002950 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#431980 New set #90000 of size 9 (4.8 its/hit = 0.000s/hit): seed=16629785736660834735 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#479832 New set #100000 of size 9 (4.8 its/hit = 0.000s/hit): seed=4569104252670739609 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#958253 New set #200000 of size 9 (4.8 its/hit = 0.000s/hit): seed=3237018319863595570 [0, 1, 2, 4, 6, 7, 8, 11, 12]
Iter#1437697 New set #300000 of size 9 (4.8 its/hit = 0.000s/hit): seed=14704610563600646877 [0, 1, 2, 4, 6, 7, 8, 11, 12]
