[*] Computing DDT
[+] DDT Computed
DDT took 31.631µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=1791714459188552310 [0, 1, 5, 6, 10, 13]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=4549909502473333856 [2, 8, 9, 10, 14, 15]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=9328586282786302320 [0, 4, 8, 9, 11, 14, 15]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=10378765898848514509 [0, 4, 8, 9, 11, 14, 15]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=15718483929087164412 [3, 7, 8, 9, 13, 14, 15]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=7221317130701226146 [1, 3, 6, 7, 9, 10, 13]
Iter#8 New set #5 of size 7 (1.6 its/hit = 0.000s/hit): seed=13981772652574130343 [1, 2, 3, 6, 10, 11, 13]
Iter#9 New set #6 of size 7 (1.5 its/hit = 0.000s/hit): seed=4723581934918239549 [1, 2, 3, 6, 10, 11, 13]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=3962306219291451625 [0, 2, 3, 4, 10, 11, 15]
Iter#20 New set #8 of size 7 (2.5 its/hit = 0.000s/hit): seed=3636548313906045980 [4, 6, 8, 9, 12, 14, 15]
Iter#21 New set #9 of size 7 (2.3 its/hit = 0.000s/hit): seed=11381538340807955861 [4, 6, 8, 9, 12, 14, 15]
Iter#22 New set #10 of size 7 (2.2 its/hit = 0.000s/hit): seed=1739320418027968119 [1, 4, 6, 10, 12, 13, 14]
Iter#39 New set #20 of size 7 (2.0 its/hit = 0.000s/hit): seed=18130249479652898741 [3, 7, 8, 9, 13, 14, 15]
Iter#58 New set #30 of size 7 (1.9 its/hit = 0.000s/hit): seed=11438754204609205596 [1, 2, 3, 6, 10, 11, 13]
Iter#81 New set #40 of size 7 (2.0 its/hit = 0.000s/hit): seed=3182464751752059595 [0, 4, 6, 11, 12, 14, 15]
Iter#102 New set #50 of size 7 (2.0 its/hit = 0.000s/hit): seed=693130784437288569 [1, 3, 6, 7, 9, 10, 13]
