[*] Computing DDT
[+] DDT Computed
DDT took 48.032µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=12575257155720002319 [1, 7, 9, 12, 13, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=975770359030182102 [1, 4, 7, 9, 13, 15]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=10186763099671570095 [2, 5, 6, 8, 10, 12, 13]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=14259164377574982629 [1, 3, 5, 7, 9, 10, 15]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=10446096409746163860 [3, 5, 6, 9, 11, 14, 15]
Iter#7 New set #4 of size 7 (1.8 its/hit = 0.000s/hit): seed=10814742445278496119 [1, 3, 5, 7, 9, 12, 15]
Iter#9 New set #5 of size 7 (1.8 its/hit = 0.000s/hit): seed=15311150115101856856 [1, 3, 5, 6, 7, 11, 14]
Iter#10 New set #6 of size 7 (1.7 its/hit = 0.000s/hit): seed=4930623670817180801 [1, 3, 5, 7, 9, 10, 15]
Iter#11 New set #7 of size 7 (1.6 its/hit = 0.000s/hit): seed=8514200339535286803 [1, 3, 5, 7, 8, 9, 15]
Iter#12 New set #8 of size 7 (1.5 its/hit = 0.000s/hit): seed=11035188648328195275 [0, 2, 4, 6, 7, 8, 12]
Iter#14 New set #9 of size 7 (1.6 its/hit = 0.000s/hit): seed=13647770527347138552 [1, 3, 5, 6, 7, 11, 14]
Iter#16 New set #10 of size 7 (1.6 its/hit = 0.000s/hit): seed=17218322231554374979 [0, 2, 3, 4, 6, 8, 12]
Iter#29 New set #20 of size 7 (1.5 its/hit = 0.000s/hit): seed=17588038274081698248 [0, 2, 4, 6, 8, 12, 15]
Iter#44 New set #30 of size 7 (1.5 its/hit = 0.000s/hit): seed=7081962344705995705 [0, 2, 4, 6, 7, 8, 12]
Iter#56 New set #40 of size 7 (1.4 its/hit = 0.000s/hit): seed=5968998651512571503 [0, 2, 3, 4, 6, 11, 14]
Iter#68 New set #50 of size 7 (1.4 its/hit = 0.000s/hit): seed=706357258216151334 [0, 2, 3, 4, 6, 11, 14]
Iter#82 New set #60 of size 7 (1.4 its/hit = 0.000s/hit): seed=8026619216035462381 [2, 5, 6, 8, 10, 12, 13]
Iter#98 New set #70 of size 7 (1.4 its/hit = 0.000s/hit): seed=12134191961626154439 [1, 3, 5, 6, 7, 11, 14]
Iter#113 New set #80 of size 7 (1.4 its/hit = 0.000s/hit): seed=11843120049803455393 [0, 2, 3, 4, 6, 11, 14]
Iter#126 New set #90 of size 7 (1.4 its/hit = 0.000s/hit): seed=6173186218248166993 [1, 3, 4, 5, 7, 9, 15]
Iter#140 New set #100 of size 7 (1.4 its/hit = 0.000s/hit): seed=12093082588654533345 [0, 2, 4, 6, 8, 12, 15]
Iter#279 New set #200 of size 7 (1.4 its/hit = 0.000s/hit): seed=13778011843106914613 [1, 3, 5, 7, 8, 9, 15]
Iter#415 New set #300 of size 7 (1.4 its/hit = 0.000s/hit): seed=3701617491557116028 [1, 3, 5, 7, 9, 12, 15]
Iter#559 New set #400 of size 7 (1.4 its/hit = 0.000s/hit): seed=10150027716967327118 [2, 3, 6, 8, 11, 12, 14]
Iter#693 New set #500 of size 7 (1.4 its/hit = 0.000s/hit): seed=9482142769431880419 [0, 2, 4, 5, 6, 8, 12]
Iter#845 New set #600 of size 7 (1.4 its/hit = 0.000s/hit): seed=6358300382334140236 [0, 2, 3, 4, 6, 11, 14]
Iter#979 New set #700 of size 7 (1.4 its/hit = 0.000s/hit): seed=18288065306615899213 [0, 2, 3, 4, 6, 11, 14]
Iter#1118 New set #800 of size 7 (1.4 its/hit = 0.000s/hit): seed=6414210014674722835 [2, 3, 6, 8, 11, 12, 14]
Iter#1257 New set #900 of size 7 (1.4 its/hit = 0.000s/hit): seed=10973499754964608230 [0, 2, 3, 4, 6, 8, 12]
Iter#1414 New set #1000 of size 7 (1.4 its/hit = 0.000s/hit): seed=17563022663666171137 [0, 2, 4, 5, 6, 8, 12]
Iter#2830 New set #2000 of size 7 (1.4 its/hit = 0.000s/hit): seed=16284578862377114194 [2, 3, 5, 9, 10, 13, 15]
Iter#4266 New set #3000 of size 7 (1.4 its/hit = 0.000s/hit): seed=16801210626300592478 [1, 3, 5, 7, 9, 12, 15]
Iter#5670 New set #4000 of size 7 (1.4 its/hit = 0.000s/hit): seed=10796978560335742786 [1, 3, 4, 5, 7, 9, 15]
Iter#7125 New set #5000 of size 7 (1.4 its/hit = 0.000s/hit): seed=2805508754327851559 [0, 2, 4, 5, 6, 10, 13]
Iter#8577 New set #6000 of size 7 (1.4 its/hit = 0.000s/hit): seed=4125704654078704171 [1, 3, 5, 6, 7, 9, 15]
Iter#10004 New set #7000 of size 7 (1.4 its/hit = 0.000s/hit): seed=2851306647298070849 [0, 1, 3, 5, 7, 9, 15]
Iter#11462 New set #8000 of size 7 (1.4 its/hit = 0.000s/hit): seed=13614236789629726462 [1, 2, 3, 5, 7, 9, 15]
Iter#12902 New set #9000 of size 7 (1.4 its/hit = 0.000s/hit): seed=281863559284630919 [1, 3, 5, 7, 9, 10, 15]
Iter#14333 New set #10000 of size 7 (1.4 its/hit = 0.000s/hit): seed=4430948229547116332 [1, 3, 5, 7, 8, 9, 15]
Iter#28515 New set #20000 of size 7 (1.4 its/hit = 0.000s/hit): seed=17048028821536102989 [0, 2, 4, 6, 8, 12, 15]
Iter#42725 New set #30000 of size 7 (1.4 its/hit = 0.000s/hit): seed=16651338564542049762 [3, 5, 6, 9, 11, 14, 15]
Iter#57015 New set #40000 of size 7 (1.4 its/hit = 0.000s/hit): seed=17213438142345696684 [0, 2, 4, 6, 8, 12, 13]
Iter#71312 New set #50000 of size 7 (1.4 its/hit = 0.000s/hit): seed=15127990664507486044 [0, 1, 2, 4, 6, 8, 12]
Iter#85721 New set #60000 of size 7 (1.4 its/hit = 0.000s/hit): seed=1992932202402709481 [2, 3, 6, 8, 11, 12, 14]
Iter#99995 New set #70000 of size 7 (1.4 its/hit = 0.000s/hit): seed=16046852419721835536 [1, 3, 5, 7, 8, 9, 15]
Iter#114098 New set #80000 of size 7 (1.4 its/hit = 0.000s/hit): seed=6670230862429979315 [0, 1, 2, 4, 6, 8, 12]
Iter#128263 New set #90000 of size 7 (1.4 its/hit = 0.000s/hit): seed=11635912525290760276 [0, 2, 4, 6, 7, 8, 12]
Iter#142499 New set #100000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14054593330885671388 [1, 3, 5, 6, 7, 11, 14]
Iter#285074 New set #200000 of size 7 (1.4 its/hit = 0.000s/hit): seed=1931632757583004106 [1, 3, 5, 6, 7, 11, 14]
Iter#427044 New set #300000 of size 7 (1.4 its/hit = 0.000s/hit): seed=4549285486650254832 [0, 2, 4, 6, 8, 12, 13]
Iter#569236 New set #400000 of size 7 (1.4 its/hit = 0.000s/hit): seed=10568285058802796458 [0, 1, 2, 4, 6, 8, 12]
Iter#712014 New set #500000 of size 7 (1.4 its/hit = 0.000s/hit): seed=15668864654534281390 [0, 2, 4, 6, 8, 12, 13]
Iter#854287 New set #600000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14901898837970885570 [0, 1, 3, 5, 7, 9, 15]
Iter#996452 New set #700000 of size 7 (1.4 its/hit = 0.000s/hit): seed=10088867957572487158 [1, 2, 3, 5, 7, 9, 15]
Iter#1139022 New set #800000 of size 7 (1.4 its/hit = 0.000s/hit): seed=12441611086268556233 [1, 3, 5, 6, 7, 11, 14]
Iter#1281382 New set #900000 of size 7 (1.4 its/hit = 0.000s/hit): seed=6780715977358167017 [0, 2, 4, 6, 8, 12, 15]
Iter#1423745 New set #1000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14145624997726006601 [1, 2, 3, 5, 7, 9, 15]
Iter#2848880 New set #2000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=7788603769176727829 [1, 3, 5, 7, 9, 14, 15]
Iter#4273551 New set #3000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=12998728823041758509 [2, 3, 5, 9, 10, 13, 15]
Iter#5698748 New set #4000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=17282326108633501677 [1, 3, 5, 7, 8, 9, 15]
Iter#7123784 New set #5000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=10743264895803857010 [1, 3, 4, 5, 7, 9, 15]
Iter#8547643 New set #6000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=11562878577436855334 [1, 2, 3, 5, 7, 10, 13]
Iter#9971378 New set #7000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=13750422279439588356 [0, 1, 2, 4, 6, 8, 12]
Iter#11394564 New set #8000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=2058446508577788102 [0, 2, 3, 4, 6, 11, 14]
Iter#12817807 New set #9000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=5028042041936431234 [0, 2, 3, 4, 6, 11, 14]
Iter#14242594 New set #10000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=18137026608586879373 [0, 2, 3, 4, 6, 11, 14]
Iter#28483886 New set #20000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=11953906631331329043 [1, 3, 5, 6, 7, 11, 14]
Iter#42718277 New set #30000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=6947714072165402113 [0, 1, 3, 5, 7, 9, 15]
Iter#56955413 New set #40000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=16309090373197015783 [1, 3, 5, 6, 7, 11, 14]
Iter#71191293 New set #50000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=2196089527989981687 [1, 3, 4, 5, 7, 9, 15]
Iter#85426488 New set #60000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14223565652848834993 [1, 3, 5, 6, 7, 9, 15]
Iter#99663127 New set #70000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=6693480370761476209 [0, 2, 4, 6, 8, 9, 12]
Iter#113902402 New set #80000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=6445805047473212623 [2, 3, 6, 8, 11, 12, 14]
Iter#128141076 New set #90000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=11017112632541174503 [1, 3, 5, 7, 8, 9, 15]
Iter#142382049 New set #100000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14938360406377293479 [0, 2, 4, 6, 8, 11, 12]
