[*] Computing DDT
[+] DDT Computed
DDT took 36.081µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=18024636919539826920 [2, 3, 6, 11, 13, 14]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=15267773848326529999 [0, 2, 4, 6, 8, 11, 12]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=13110293334961660005 [0, 2, 3, 4, 6, 8, 12]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=2985616414361736141 [0, 2, 4, 6, 8, 12, 15]
Iter#5 New set #4 of size 7 (1.2 its/hit = 0.000s/hit): seed=3629849370803173273 [2, 3, 5, 9, 10, 13, 15]
Iter#6 New set #5 of size 7 (1.2 its/hit = 0.000s/hit): seed=4421878117465461392 [0, 2, 4, 6, 8, 9, 12]
Iter#7 New set #6 of size 7 (1.2 its/hit = 0.000s/hit): seed=6286705224046663323 [1, 3, 5, 7, 9, 14, 15]
Iter#10 New set #7 of size 7 (1.4 its/hit = 0.000s/hit): seed=16700363637530114689 [0, 2, 4, 6, 7, 8, 12]
Iter#11 New set #8 of size 7 (1.4 its/hit = 0.000s/hit): seed=1229213680565549655 [0, 2, 3, 4, 6, 11, 14]
Iter#12 New set #9 of size 7 (1.3 its/hit = 0.000s/hit): seed=15113783721287263945 [3, 5, 6, 9, 11, 14, 15]
Iter#14 New set #10 of size 7 (1.4 its/hit = 0.000s/hit): seed=10495596733144094937 [3, 5, 6, 9, 11, 14, 15]
Iter#27 New set #20 of size 7 (1.4 its/hit = 0.000s/hit): seed=12973085227923111862 [1, 3, 5, 6, 7, 11, 14]
Iter#41 New set #30 of size 7 (1.4 its/hit = 0.000s/hit): seed=2357622407061147575 [1, 2, 3, 5, 7, 10, 13]
Iter#61 New set #40 of size 7 (1.5 its/hit = 0.000s/hit): seed=6435286986867879496 [2, 5, 6, 8, 10, 12, 13]
Iter#78 New set #50 of size 7 (1.6 its/hit = 0.000s/hit): seed=17376897097417109667 [1, 2, 3, 5, 7, 10, 13]
Iter#94 New set #60 of size 7 (1.6 its/hit = 0.000s/hit): seed=3091969297726180828 [1, 3, 5, 7, 8, 9, 15]
