[*] Computing DDT
[+] DDT Computed
DDT took 45.913µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=12208444663693991532 [0, 5, 9, 12, 13, 15]
Iter#3 New set #2 of size 6 (1.5 its/hit = 0.000s/hit): seed=532856858771243034 [1, 2, 3, 5, 11, 14]
Iter#4 New set #1 of size 7 (4.0 its/hit = 0.000s/hit): seed=6600055407549739049 [0, 1, 2, 4, 6, 7, 8]
Iter#5 New set #2 of size 7 (2.5 its/hit = 0.000s/hit): seed=16673481074576225896 [0, 5, 8, 9, 10, 11, 12]
Iter#7 New set #3 of size 7 (2.3 its/hit = 0.000s/hit): seed=3641785786326851774 [0, 1, 2, 4, 6, 7, 13]
Iter#8 New set #4 of size 7 (2.0 its/hit = 0.000s/hit): seed=6328631327548908797 [0, 2, 4, 5, 6, 9, 12]
Iter#9 New set #5 of size 7 (1.8 its/hit = 0.000s/hit): seed=5099191887633608119 [0, 1, 2, 4, 6, 7, 11]
Iter#11 New set #6 of size 7 (1.8 its/hit = 0.000s/hit): seed=1676985061850072277 [5, 8, 9, 10, 11, 13, 14]
Iter#12 New set #7 of size 7 (1.7 its/hit = 0.000s/hit): seed=1387467721491259349 [0, 1, 2, 4, 6, 7, 12]
Iter#14 New set #8 of size 7 (1.8 its/hit = 0.000s/hit): seed=15290625042282588532 [0, 1, 2, 4, 6, 7, 11]
Iter#16 New set #9 of size 7 (1.8 its/hit = 0.000s/hit): seed=8640410740345244375 [0, 1, 2, 4, 6, 7, 12]
Iter#17 New set #10 of size 7 (1.7 its/hit = 0.000s/hit): seed=2334072182389907276 [0, 2, 4, 5, 6, 9, 12]
Iter#32 New set #20 of size 7 (1.6 its/hit = 0.000s/hit): seed=17743189469516032660 [3, 6, 9, 10, 13, 14, 15]
Iter#44 New set #30 of size 7 (1.5 its/hit = 0.000s/hit): seed=15289078765831346296 [0, 1, 2, 4, 6, 7, 12]
Iter#58 New set #40 of size 7 (1.5 its/hit = 0.000s/hit): seed=16308528951466180628 [3, 6, 8, 9, 10, 11, 15]
Iter#73 New set #50 of size 7 (1.5 its/hit = 0.000s/hit): seed=6959423866907243924 [7, 8, 9, 10, 11, 13, 14]
Iter#88 New set #60 of size 7 (1.5 its/hit = 0.000s/hit): seed=10922380348695636500 [3, 8, 9, 10, 11, 13, 14]
Iter#104 New set #70 of size 7 (1.5 its/hit = 0.000s/hit): seed=611991714420434519 [0, 8, 9, 10, 11, 13, 14]
