[*] Computing DDT
[+] DDT Computed
DDT took 40.422µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=12309450189673950909 [0, 2, 3, 8, 10, 13, 14]
Iter#7 New set #2 of size 7 (3.5 its/hit = 0.000s/hit): seed=18247231297662986090 [0, 4, 5, 9, 11, 12, 15]
Iter#8 New set #3 of size 7 (2.7 its/hit = 0.000s/hit): seed=10146211226671167181 [0, 3, 4, 11, 13, 14, 15]
Iter#9 New set #4 of size 7 (2.2 its/hit = 0.000s/hit): seed=4670039702777464878 [0, 3, 4, 5, 6, 13, 14]
Iter#11 New set #1 of size 8 (11.0 its/hit = 0.000s/hit): seed=1650568423496743793 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#19 New set #2 of size 8 (9.5 its/hit = 0.000s/hit): seed=149431316136933937 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#20 New set #3 of size 8 (6.7 its/hit = 0.000s/hit): seed=5008375530886747757 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#21 New set #4 of size 8 (5.2 its/hit = 0.000s/hit): seed=11846593882066714430 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#22 New set #5 of size 8 (4.4 its/hit = 0.000s/hit): seed=16637374255342694423 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#23 New set #6 of size 8 (3.8 its/hit = 0.000s/hit): seed=2470661826939459436 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#25 New set #7 of size 8 (3.6 its/hit = 0.000s/hit): seed=14043351745454750331 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#27 New set #8 of size 8 (3.4 its/hit = 0.000s/hit): seed=5145541488729271191 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#35 New set #9 of size 8 (3.9 its/hit = 0.000s/hit): seed=15468094519169664380 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#47 New set #10 of size 8 (4.7 its/hit = 0.000s/hit): seed=1388286274355660251 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#79 New set #20 of size 8 (4.0 its/hit = 0.000s/hit): seed=3734970313416251810 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#112 New set #30 of size 8 (3.7 its/hit = 0.000s/hit): seed=11662799110906579101 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#133 New set #40 of size 8 (3.3 its/hit = 0.000s/hit): seed=4242220799510005211 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#163 New set #50 of size 8 (3.3 its/hit = 0.000s/hit): seed=12220312639276627873 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#191 New set #60 of size 8 (3.2 its/hit = 0.000s/hit): seed=14670833596570757028 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#221 New set #70 of size 8 (3.2 its/hit = 0.000s/hit): seed=13750511647781706900 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#241 New set #80 of size 8 (3.0 its/hit = 0.000s/hit): seed=6528928192344762107 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#270 New set #90 of size 8 (3.0 its/hit = 0.000s/hit): seed=10957436336509435899 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#297 New set #100 of size 8 (3.0 its/hit = 0.000s/hit): seed=20768491907686089 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#609 New set #200 of size 8 (3.0 its/hit = 0.000s/hit): seed=16731313886430175313 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#956 New set #300 of size 8 (3.2 its/hit = 0.000s/hit): seed=2410264633420908738 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#1269 New set #400 of size 8 (3.2 its/hit = 0.000s/hit): seed=15083434994380694681 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#1578 New set #500 of size 8 (3.2 its/hit = 0.000s/hit): seed=15646188890960914537 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#1879 New set #600 of size 8 (3.1 its/hit = 0.000s/hit): seed=6712724863772332757 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#2193 New set #700 of size 8 (3.1 its/hit = 0.000s/hit): seed=2425148809495959511 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#2520 New set #800 of size 8 (3.2 its/hit = 0.000s/hit): seed=4116720319686646490 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#2815 New set #900 of size 8 (3.1 its/hit = 0.000s/hit): seed=9976829570824243468 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#3142 New set #1000 of size 8 (3.1 its/hit = 0.000s/hit): seed=12032244569860642205 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#6249 New set #2000 of size 8 (3.1 its/hit = 0.000s/hit): seed=7275709066086950896 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#9403 New set #3000 of size 8 (3.1 its/hit = 0.000s/hit): seed=16635813210951261719 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#12589 New set #4000 of size 8 (3.1 its/hit = 0.000s/hit): seed=18074610565909114703 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#15670 New set #5000 of size 8 (3.1 its/hit = 0.000s/hit): seed=15076036829707497625 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#18869 New set #6000 of size 8 (3.1 its/hit = 0.000s/hit): seed=14450429280319507927 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#22015 New set #7000 of size 8 (3.1 its/hit = 0.000s/hit): seed=15464500143868444890 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#25034 New set #8000 of size 8 (3.1 its/hit = 0.000s/hit): seed=16909943283202776360 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#28172 New set #9000 of size 8 (3.1 its/hit = 0.000s/hit): seed=7071564189673448125 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#31306 New set #10000 of size 8 (3.1 its/hit = 0.000s/hit): seed=13444789038769153964 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#62623 New set #20000 of size 8 (3.1 its/hit = 0.000s/hit): seed=11818906712540386135 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#94055 New set #30000 of size 8 (3.1 its/hit = 0.000s/hit): seed=16886473460858436829 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#125811 New set #40000 of size 8 (3.1 its/hit = 0.000s/hit): seed=13244533042315594470 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#156832 New set #50000 of size 8 (3.1 its/hit = 0.000s/hit): seed=2383468419960340234 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#188241 New set #60000 of size 8 (3.1 its/hit = 0.000s/hit): seed=1041831519485488746 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#220074 New set #70000 of size 8 (3.1 its/hit = 0.000s/hit): seed=11871091168097135983 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#251664 New set #80000 of size 8 (3.1 its/hit = 0.000s/hit): seed=4633164618404550997 [0, 1, 3, 5, 6, 7, 13, 14]
Iter#283399 New set #90000 of size 8 (3.1 its/hit = 0.000s/hit): seed=15277907759791550127 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#314716 New set #100000 of size 8 (3.1 its/hit = 0.000s/hit): seed=12629763810746838626 [0, 3, 5, 6, 9, 12, 13, 14]
Iter#628633 New set #200000 of size 8 (3.1 its/hit = 0.000s/hit): seed=422650163350282746 [0, 1, 3, 5, 6, 7, 9, 12]
Iter#942119 New set #300000 of size 8 (3.1 its/hit = 0.000s/hit): seed=13032605568360129980 [0, 1, 3, 5, 6, 7, 13, 14]
