[*] Computing DDT
[+] DDT Computed
DDT took 43.471µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=3169927934201263053 [1, 2, 5, 8, 11, 13, 14]
Iter#2 New set #1 of size 8 (2.0 its/hit = 0.000s/hit): seed=2358261358462039935 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#3 New set #2 of size 8 (1.5 its/hit = 0.000s/hit): seed=3647596356668091190 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#6 New set #3 of size 8 (2.0 its/hit = 0.000s/hit): seed=2521754173720306388 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#7 New set #4 of size 8 (1.8 its/hit = 0.000s/hit): seed=7088753623672664339 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#8 New set #5 of size 8 (1.6 its/hit = 0.000s/hit): seed=1553065156975564505 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#9 New set #6 of size 8 (1.5 its/hit = 0.000s/hit): seed=9394478440559527476 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#10 New set #7 of size 8 (1.4 its/hit = 0.000s/hit): seed=6251942894528563439 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#11 New set #8 of size 8 (1.4 its/hit = 0.000s/hit): seed=13416492106576801074 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#12 New set #9 of size 8 (1.3 its/hit = 0.000s/hit): seed=1974618654533982932 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#13 New set #10 of size 8 (1.3 its/hit = 0.000s/hit): seed=2399248510886635870 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#31 New set #20 of size 8 (1.5 its/hit = 0.000s/hit): seed=7678937885370623425 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#53 New set #30 of size 8 (1.8 its/hit = 0.000s/hit): seed=2594697469884017644 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#72 New set #40 of size 8 (1.8 its/hit = 0.000s/hit): seed=4147355683044270862 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#88 New set #50 of size 8 (1.8 its/hit = 0.000s/hit): seed=15282706228413351062 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#104 New set #60 of size 8 (1.7 its/hit = 0.000s/hit): seed=1413449659268108663 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#133 New set #70 of size 8 (1.9 its/hit = 0.000s/hit): seed=6212629728876420762 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#153 New set #80 of size 8 (1.9 its/hit = 0.000s/hit): seed=1242977975887564977 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#176 New set #90 of size 8 (2.0 its/hit = 0.000s/hit): seed=10211071841505263902 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#195 New set #100 of size 8 (2.0 its/hit = 0.000s/hit): seed=16874193020074395723 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#415 New set #200 of size 8 (2.1 its/hit = 0.000s/hit): seed=8620664117757215868 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#626 New set #300 of size 8 (2.1 its/hit = 0.000s/hit): seed=9836162992051687962 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#851 New set #400 of size 8 (2.1 its/hit = 0.000s/hit): seed=16675808420670629869 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#1081 New set #500 of size 8 (2.2 its/hit = 0.000s/hit): seed=14340704843604945280 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#1288 New set #600 of size 8 (2.1 its/hit = 0.000s/hit): seed=2922689988076250936 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#1507 New set #700 of size 8 (2.2 its/hit = 0.000s/hit): seed=4254688930448984607 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#1692 New set #800 of size 8 (2.1 its/hit = 0.000s/hit): seed=8601267521208047381 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#1904 New set #900 of size 8 (2.1 its/hit = 0.000s/hit): seed=7374709988520969059 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#2106 New set #1000 of size 8 (2.1 its/hit = 0.000s/hit): seed=1971538043356905233 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#4148 New set #2000 of size 8 (2.1 its/hit = 0.000s/hit): seed=11044716221021405434 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#6133 New set #3000 of size 8 (2.0 its/hit = 0.000s/hit): seed=5793188868468689894 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#8190 New set #4000 of size 8 (2.0 its/hit = 0.000s/hit): seed=6246800943725741980 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#10146 New set #5000 of size 8 (2.0 its/hit = 0.000s/hit): seed=4169141757535094549 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#12214 New set #6000 of size 8 (2.0 its/hit = 0.000s/hit): seed=10741587570350643776 [1, 3, 6, 7, 9, 10, 12, 13]
Iter#14335 New set #7000 of size 8 (2.0 its/hit = 0.000s/hit): seed=13556923523758466289 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#16447 New set #8000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17014112195328914368 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#18577 New set #9000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5888684411132603923 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#20639 New set #10000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15085648946874276451 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#41402 New set #20000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2821323395854615390 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#62171 New set #30000 of size 8 (2.1 its/hit = 0.000s/hit): seed=15473577619214468823 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#82959 New set #40000 of size 8 (2.1 its/hit = 0.000s/hit): seed=378123752396257890 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#103723 New set #50000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7029757104540076832 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#124683 New set #60000 of size 8 (2.1 its/hit = 0.000s/hit): seed=2985661399454506405 [1, 2, 6, 8, 10, 11, 13, 14]
Iter#145654 New set #70000 of size 8 (2.1 its/hit = 0.000s/hit): seed=7657825101833188316 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#166558 New set #80000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13029953390573959581 [0, 3, 4, 6, 7, 9, 12, 13]
Iter#187800 New set #90000 of size 8 (2.1 its/hit = 0.000s/hit): seed=4827444117261511192 [1, 2, 6, 7, 10, 12, 13, 14]
Iter#208562 New set #100000 of size 8 (2.1 its/hit = 0.000s/hit): seed=5730403191078076696 [0, 3, 4, 6, 7, 9, 12, 13]
