[*] Computing DDT
[+] DDT Computed
DDT took 44.992µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=10886984041645671595 [1, 4, 5, 7, 9, 12]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=973342271658323490 [1, 2, 3, 4, 6, 8, 14]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=11220328332471528936 [1, 2, 3, 4, 6, 9, 12]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=1258823707324650922 [1, 3, 4, 6, 7, 9, 12]
Iter#7 New set #4 of size 7 (1.8 its/hit = 0.000s/hit): seed=11067610924828804370 [1, 3, 4, 6, 9, 12, 13]
Iter#8 New set #1 of size 8 (8.0 its/hit = 0.000s/hit): seed=4157900959576420212 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#9 New set #2 of size 8 (4.5 its/hit = 0.000s/hit): seed=12642413209252065823 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#10 New set #3 of size 8 (3.3 its/hit = 0.000s/hit): seed=2085849897696602858 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#15 New set #4 of size 8 (3.8 its/hit = 0.000s/hit): seed=15576065419238689024 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#21 New set #5 of size 8 (4.2 its/hit = 0.000s/hit): seed=1953950331142101853 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#32 New set #6 of size 8 (5.3 its/hit = 0.000s/hit): seed=17555039765331737825 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#45 New set #7 of size 8 (6.4 its/hit = 0.000s/hit): seed=3695679704620014977 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#46 New set #8 of size 8 (5.8 its/hit = 0.000s/hit): seed=5736974280970820299 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#48 New set #9 of size 8 (5.3 its/hit = 0.000s/hit): seed=12899520088275265477 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#53 New set #10 of size 8 (5.3 its/hit = 0.000s/hit): seed=16359065059290599994 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#93 New set #20 of size 8 (4.7 its/hit = 0.000s/hit): seed=2715489836361107666 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#174 New set #30 of size 8 (5.8 its/hit = 0.000s/hit): seed=3347941536422672181 [2, 4, 5, 8, 11, 13, 14, 15]
Iter#216 New set #40 of size 8 (5.4 its/hit = 0.000s/hit): seed=9872858415832554724 [2, 4, 5, 8, 11, 13, 14, 15]
