[*] Computing DDT
[+] DDT Computed
DDT took 35.161µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=15053612677469434885 [4, 7, 8, 10, 11, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=18163060259608685978 [2, 4, 5, 7, 8, 11, 12]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=11017164048071973188 [0, 3, 5, 6, 7, 9, 14]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=16883974000820443473 [0, 2, 3, 5, 6, 11, 12]
Iter#5 New set #4 of size 7 (1.2 its/hit = 0.000s/hit): seed=1628340067107600866 [0, 2, 3, 5, 6, 11, 12]
Iter#6 New set #5 of size 7 (1.2 its/hit = 0.000s/hit): seed=2400397268459169604 [1, 3, 4, 7, 8, 10, 11]
Iter#10 New set #6 of size 7 (1.7 its/hit = 0.000s/hit): seed=8472258565567341974 [2, 5, 9, 10, 11, 12, 15]
Iter#11 New set #7 of size 7 (1.6 its/hit = 0.000s/hit): seed=5803668603058710210 [1, 3, 4, 7, 8, 10, 11]
Iter#12 New set #8 of size 7 (1.5 its/hit = 0.000s/hit): seed=14298923866668572208 [0, 1, 2, 7, 9, 13, 14]
Iter#13 New set #9 of size 7 (1.4 its/hit = 0.000s/hit): seed=9022980184181811749 [2, 4, 5, 7, 8, 11, 12]
Iter#14 New set #10 of size 7 (1.4 its/hit = 0.000s/hit): seed=16381907323215743495 [4, 6, 7, 8, 11, 13, 15]
Iter#27 New set #20 of size 7 (1.4 its/hit = 0.000s/hit): seed=4527618268331775500 [0, 7, 9, 10, 12, 14, 15]
Iter#38 New set #30 of size 7 (1.3 its/hit = 0.000s/hit): seed=9551001452085626813 [0, 4, 7, 8, 9, 11, 14]
Iter#53 New set #40 of size 7 (1.3 its/hit = 0.000s/hit): seed=13359384103086463635 [1, 3, 8, 9, 10, 12, 15]
Iter#66 New set #50 of size 7 (1.3 its/hit = 0.000s/hit): seed=1511586907709950426 [0, 7, 9, 10, 12, 14, 15]
Iter#78 New set #60 of size 7 (1.3 its/hit = 0.000s/hit): seed=1283935784796133270 [2, 4, 5, 7, 8, 11, 12]
Iter#91 New set #70 of size 7 (1.3 its/hit = 0.000s/hit): seed=8168357701745668015 [0, 2, 3, 5, 6, 11, 12]
Iter#105 New set #80 of size 7 (1.3 its/hit = 0.000s/hit): seed=16512379183001698484 [2, 5, 9, 10, 11, 12, 15]
Iter#118 New set #90 of size 7 (1.3 its/hit = 0.000s/hit): seed=14083112774825852598 [1, 3, 4, 7, 8, 10, 11]
Iter#129 New set #100 of size 7 (1.3 its/hit = 0.000s/hit): seed=1171159260639342480 [2, 5, 9, 10, 11, 12, 15]
Iter#241 New set #200 of size 7 (1.2 its/hit = 0.000s/hit): seed=13297302044013836293 [0, 4, 7, 8, 9, 11, 14]
Iter#364 New set #300 of size 7 (1.2 its/hit = 0.000s/hit): seed=16672194526830180288 [0, 3, 5, 6, 7, 9, 14]
