[*] Computing DDT
[+] DDT Computed
DDT took 52.781µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=7085906349228676449 [1, 3, 4, 5, 8, 10, 14]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=14450084790753311746 [1, 3, 4, 5, 8, 10, 14]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=3096850746363848440 [0, 1, 4, 6, 9, 11, 13]
Iter#5 New set #1 of size 8 (5.0 its/hit = 0.000s/hit): seed=9186263815703011756 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#7 New set #2 of size 8 (3.5 its/hit = 0.000s/hit): seed=5506038795655411730 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#8 New set #3 of size 8 (2.7 its/hit = 0.000s/hit): seed=9443645758560477586 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#11 New set #4 of size 8 (2.8 its/hit = 0.000s/hit): seed=13863080631356202900 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#12 New set #5 of size 8 (2.4 its/hit = 0.000s/hit): seed=4763136755666932745 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#15 New set #6 of size 8 (2.5 its/hit = 0.000s/hit): seed=10425165212130859080 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#20 New set #7 of size 8 (2.9 its/hit = 0.000s/hit): seed=4681677346511517752 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#21 New set #8 of size 8 (2.6 its/hit = 0.000s/hit): seed=2078920442649941190 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#22 New set #9 of size 8 (2.4 its/hit = 0.000s/hit): seed=13632056784901854905 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#23 New set #10 of size 8 (2.3 its/hit = 0.000s/hit): seed=1182189088270817104 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#54 New set #20 of size 8 (2.7 its/hit = 0.000s/hit): seed=5834564675858552940 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#75 New set #30 of size 8 (2.5 its/hit = 0.000s/hit): seed=820847884706454827 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#93 New set #40 of size 8 (2.3 its/hit = 0.000s/hit): seed=13984807311678686816 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#114 New set #50 of size 8 (2.3 its/hit = 0.000s/hit): seed=11406387510601652616 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#138 New set #60 of size 8 (2.3 its/hit = 0.000s/hit): seed=16714155885242924940 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#167 New set #70 of size 8 (2.4 its/hit = 0.000s/hit): seed=11864674762590643999 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#185 New set #80 of size 8 (2.3 its/hit = 0.000s/hit): seed=16046200330839056611 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#200 New set #90 of size 8 (2.2 its/hit = 0.000s/hit): seed=1878962244874134922 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#224 New set #100 of size 8 (2.2 its/hit = 0.000s/hit): seed=14635194273863719326 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#447 New set #200 of size 8 (2.2 its/hit = 0.000s/hit): seed=6943492238505867207 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#676 New set #300 of size 8 (2.3 its/hit = 0.000s/hit): seed=8934810867030402608 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#922 New set #400 of size 8 (2.3 its/hit = 0.000s/hit): seed=7185250443153921705 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#1122 New set #500 of size 8 (2.2 its/hit = 0.000s/hit): seed=14977103869250815571 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#1352 New set #600 of size 8 (2.3 its/hit = 0.000s/hit): seed=11460706095034639383 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#1575 New set #700 of size 8 (2.2 its/hit = 0.000s/hit): seed=10584178561497280515 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#1806 New set #800 of size 8 (2.3 its/hit = 0.000s/hit): seed=16956418348691981805 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#2038 New set #900 of size 8 (2.3 its/hit = 0.000s/hit): seed=5271597639024052756 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#2259 New set #1000 of size 8 (2.3 its/hit = 0.000s/hit): seed=2951315412900817051 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#4620 New set #2000 of size 8 (2.3 its/hit = 0.000s/hit): seed=18139425292405614198 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#6924 New set #3000 of size 8 (2.3 its/hit = 0.000s/hit): seed=11206484797424143635 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#9270 New set #4000 of size 8 (2.3 its/hit = 0.000s/hit): seed=3416559010400268057 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#11514 New set #5000 of size 8 (2.3 its/hit = 0.000s/hit): seed=8427273609456782962 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#13744 New set #6000 of size 8 (2.3 its/hit = 0.000s/hit): seed=13465310195481884442 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#16026 New set #7000 of size 8 (2.3 its/hit = 0.000s/hit): seed=8983618868027743242 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#18333 New set #8000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6764727441135287984 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#20614 New set #9000 of size 8 (2.3 its/hit = 0.000s/hit): seed=528844738361641794 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#22883 New set #10000 of size 8 (2.3 its/hit = 0.000s/hit): seed=15197017984154849579 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#45556 New set #20000 of size 8 (2.3 its/hit = 0.000s/hit): seed=8678028704375953716 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#68447 New set #30000 of size 8 (2.3 its/hit = 0.000s/hit): seed=10629980459907570025 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#91056 New set #40000 of size 8 (2.3 its/hit = 0.000s/hit): seed=17305401758845683125 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#113807 New set #50000 of size 8 (2.3 its/hit = 0.000s/hit): seed=7563551878678988462 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#136795 New set #60000 of size 8 (2.3 its/hit = 0.000s/hit): seed=3640922587929737859 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#159651 New set #70000 of size 8 (2.3 its/hit = 0.000s/hit): seed=14827291933246736731 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#182448 New set #80000 of size 8 (2.3 its/hit = 0.000s/hit): seed=545724265343518084 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#205106 New set #90000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6704497682069962975 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#227875 New set #100000 of size 8 (2.3 its/hit = 0.000s/hit): seed=13098896466786441080 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#456412 New set #200000 of size 8 (2.3 its/hit = 0.000s/hit): seed=15394818072510775957 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#684958 New set #300000 of size 8 (2.3 its/hit = 0.000s/hit): seed=11457290612551552627 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#912690 New set #400000 of size 8 (2.3 its/hit = 0.000s/hit): seed=15379339170332274408 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#1141403 New set #500000 of size 8 (2.3 its/hit = 0.000s/hit): seed=18039331404819343369 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#1370040 New set #600000 of size 8 (2.3 its/hit = 0.000s/hit): seed=7120434912809453541 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#1598471 New set #700000 of size 8 (2.3 its/hit = 0.000s/hit): seed=2085376759768551967 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#1826904 New set #800000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6205657719234913428 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#2055602 New set #900000 of size 8 (2.3 its/hit = 0.000s/hit): seed=5266862961594759483 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#2283950 New set #1000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6213865854318031126 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#4566307 New set #2000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=10903232202822902921 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#6849915 New set #3000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=12977590802219246812 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#9128837 New set #4000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=12725914424848103354 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#11410435 New set #5000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=3007851632193455234 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#13695871 New set #6000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=432415852526164607 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#15977687 New set #7000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=8725895556726568642 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#18258771 New set #8000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=1142003752516892858 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#20540594 New set #9000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=14194851860894132705 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#22826401 New set #10000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=4153102326122692353 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#45659913 New set #20000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=2638763148304460971 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#68490010 New set #30000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6019580012701123293 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#91320775 New set #40000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=17232218043006751421 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#114145407 New set #50000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6317786696664977245 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#136975043 New set #60000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=7343692247262132540 [0, 1, 3, 5, 6, 8, 10, 14]
Iter#159807026 New set #70000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=3906839600508885080 [0, 4, 6, 8, 9, 11, 13, 14]
Iter#182632213 New set #80000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=6539781606291980294 [1, 3, 5, 8, 10, 11, 13, 14]
Iter#205465594 New set #90000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=1903279554024135561 [0, 3, 4, 5, 6, 9, 11, 13]
Iter#228297272 New set #100000000 of size 8 (2.3 its/hit = 0.000s/hit): seed=1579307949294932527 [0, 4, 6, 8, 9, 11, 13, 14]
