[*] Computing DDT
[+] DDT Computed
DDT took 34.251µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=17686392806695272804 [1, 4, 6, 7, 10, 13]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=12671855775379186862 [0, 4, 6, 8, 9, 12]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=2454225089433492110 [1, 6, 8, 9, 10, 11, 13]
Iter#8 New set #2 of size 7 (4.0 its/hit = 0.000s/hit): seed=9151275402003760607 [1, 2, 3, 5, 7, 12, 13]
Iter#9 New set #3 of size 7 (3.0 its/hit = 0.000s/hit): seed=4794573029751220701 [0, 2, 3, 4, 8, 12, 13]
Iter#11 New set #4 of size 7 (2.8 its/hit = 0.000s/hit): seed=1308997132509747819 [1, 2, 3, 6, 10, 12, 13]
Iter#14 New set #5 of size 7 (2.8 its/hit = 0.000s/hit): seed=12367678472312096330 [0, 2, 3, 4, 8, 12, 13]
Iter#16 New set #6 of size 7 (2.7 its/hit = 0.000s/hit): seed=6991401809613106566 [1, 2, 3, 6, 10, 12, 13]
Iter#17 New set #7 of size 7 (2.4 its/hit = 0.000s/hit): seed=12778729335527019097 [0, 2, 3, 4, 8, 12, 13]
Iter#21 New set #8 of size 7 (2.6 its/hit = 0.000s/hit): seed=3666745352947641277 [0, 4, 5, 8, 11, 12, 14]
Iter#22 New set #9 of size 7 (2.4 its/hit = 0.000s/hit): seed=13596263203724840451 [0, 2, 3, 4, 8, 12, 13]
Iter#31 New set #10 of size 7 (3.1 its/hit = 0.000s/hit): seed=3738507323000573978 [1, 2, 3, 5, 7, 12, 13]
Iter#50 New set #20 of size 7 (2.5 its/hit = 0.000s/hit): seed=3266492979686207354 [0, 5, 8, 9, 10, 11, 14]
Iter#69 New set #30 of size 7 (2.3 its/hit = 0.000s/hit): seed=13266138128241006901 [0, 5, 8, 9, 10, 11, 14]
Iter#87 New set #40 of size 7 (2.2 its/hit = 0.000s/hit): seed=12615846739691804431 [1, 3, 5, 6, 7, 10, 13]
Iter#120 New set #50 of size 7 (2.4 its/hit = 0.000s/hit): seed=9580781371503525003 [0, 4, 5, 8, 11, 12, 14]
Iter#151 New set #60 of size 7 (2.5 its/hit = 0.000s/hit): seed=3252025747341037883 [0, 2, 3, 4, 8, 12, 13]
Iter#172 New set #70 of size 7 (2.5 its/hit = 0.000s/hit): seed=5440309802721045477 [0, 2, 3, 4, 8, 12, 13]
Iter#187 New set #80 of size 7 (2.3 its/hit = 0.000s/hit): seed=2435873834938146623 [1, 2, 3, 6, 10, 12, 13]
Iter#204 New set #90 of size 7 (2.3 its/hit = 0.000s/hit): seed=17358558332601674402 [0, 4, 5, 8, 11, 12, 14]
Iter#227 New set #100 of size 7 (2.3 its/hit = 0.000s/hit): seed=15692951065983770176 [1, 6, 8, 9, 10, 11, 13]
Iter#468 New set #200 of size 7 (2.3 its/hit = 0.000s/hit): seed=5878297035237874068 [1, 3, 5, 6, 7, 10, 13]
Iter#717 New set #300 of size 7 (2.4 its/hit = 0.000s/hit): seed=16956763617412833457 [1, 2, 3, 6, 10, 12, 13]
Iter#934 New set #400 of size 7 (2.3 its/hit = 0.000s/hit): seed=15473439991323202223 [1, 3, 5, 6, 7, 10, 13]
Iter#1158 New set #500 of size 7 (2.3 its/hit = 0.000s/hit): seed=16781312359607121596 [0, 1, 3, 5, 7, 11, 14]
Iter#1385 New set #600 of size 7 (2.3 its/hit = 0.000s/hit): seed=6213249932379595468 [0, 2, 3, 4, 8, 12, 13]
Iter#1656 New set #700 of size 7 (2.4 its/hit = 0.000s/hit): seed=3389027049498581190 [0, 4, 5, 8, 11, 12, 14]
Iter#1883 New set #800 of size 7 (2.4 its/hit = 0.000s/hit): seed=4443949679863180521 [1, 2, 3, 5, 7, 12, 13]
Iter#2180 New set #900 of size 7 (2.4 its/hit = 0.000s/hit): seed=18167005943563944901 [0, 2, 3, 4, 8, 12, 13]
Iter#2434 New set #1000 of size 7 (2.4 its/hit = 0.000s/hit): seed=5368582619797058016 [1, 3, 5, 6, 7, 10, 13]
Iter#4860 New set #2000 of size 7 (2.4 its/hit = 0.000s/hit): seed=16034029086341818036 [1, 6, 8, 9, 10, 11, 13]
Iter#7360 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3696965713968092158 [1, 6, 8, 9, 10, 11, 13]
Iter#9908 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4531793849295484087 [0, 4, 5, 8, 11, 12, 14]
Iter#12332 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4680725813119982705 [1, 2, 3, 6, 10, 12, 13]
Iter#14753 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1483108131233342842 [1, 6, 8, 9, 10, 11, 13]
Iter#17208 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2535535768702334454 [1, 6, 8, 9, 10, 11, 13]
Iter#19616 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18244684990976041821 [1, 2, 3, 6, 10, 12, 13]
