[*] Computing DDT
[+] DDT Computed
DDT took 44.982µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=13493546419968657464 [3, 5, 7, 8, 13, 14]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=3180884454591100268 [2, 6, 7, 9, 10, 11, 13]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=7941220956715421347 [0, 1, 3, 5, 8, 9, 14]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=5715047139642714437 [3, 4, 6, 7, 10, 11, 13]
Iter#8 New set #4 of size 7 (2.0 its/hit = 0.000s/hit): seed=16431280349708070666 [0, 1, 2, 6, 8, 9, 13]
Iter#9 New set #5 of size 7 (1.8 its/hit = 0.000s/hit): seed=3589977831028418466 [2, 3, 4, 6, 9, 10, 13]
Iter#10 New set #6 of size 7 (1.7 its/hit = 0.000s/hit): seed=14952501279391930274 [3, 4, 6, 7, 10, 11, 13]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=2566145152666283362 [3, 4, 6, 7, 10, 11, 13]
Iter#17 New set #8 of size 7 (2.1 its/hit = 0.000s/hit): seed=15130870697807362195 [2, 6, 7, 9, 10, 11, 13]
Iter#18 New set #9 of size 7 (2.0 its/hit = 0.000s/hit): seed=13858795845347693317 [0, 1, 5, 8, 9, 11, 15]
Iter#20 New set #10 of size 7 (2.0 its/hit = 0.000s/hit): seed=2242960831058741825 [1, 5, 6, 7, 10, 11, 15]
Iter#40 New set #20 of size 7 (2.0 its/hit = 0.000s/hit): seed=9078443136688800312 [0, 1, 3, 5, 8, 9, 14]
Iter#61 New set #30 of size 7 (2.0 its/hit = 0.000s/hit): seed=4317423918880615501 [0, 1, 3, 5, 8, 9, 14]
Iter#79 New set #40 of size 7 (2.0 its/hit = 0.000s/hit): seed=18083254909591732187 [0, 1, 5, 8, 9, 11, 15]
Iter#100 New set #50 of size 7 (2.0 its/hit = 0.000s/hit): seed=17638016687586252770 [3, 4, 6, 7, 10, 11, 13]
Iter#134 New set #60 of size 7 (2.2 its/hit = 0.000s/hit): seed=16569826887489478640 [0, 1, 5, 8, 9, 11, 15]
Iter#178 New set #70 of size 7 (2.5 its/hit = 0.000s/hit): seed=1638232125654079766 [2, 6, 7, 9, 10, 11, 13]
Iter#206 New set #80 of size 7 (2.6 its/hit = 0.000s/hit): seed=9371299946302588464 [0, 1, 5, 8, 9, 11, 15]
Iter#228 New set #90 of size 7 (2.5 its/hit = 0.000s/hit): seed=9634810365078479136 [0, 1, 3, 5, 8, 9, 14]
Iter#253 New set #100 of size 7 (2.5 its/hit = 0.000s/hit): seed=13637667606884331497 [0, 1, 2, 6, 8, 9, 13]
Iter#481 New set #200 of size 7 (2.4 its/hit = 0.000s/hit): seed=5807769279978609224 [0, 1, 5, 8, 9, 11, 15]
Iter#724 New set #300 of size 7 (2.4 its/hit = 0.000s/hit): seed=14063471961887118605 [3, 4, 6, 7, 10, 11, 13]
Iter#973 New set #400 of size 7 (2.4 its/hit = 0.000s/hit): seed=3536439640621718471 [1, 5, 6, 7, 10, 11, 15]
Iter#1217 New set #500 of size 7 (2.4 its/hit = 0.000s/hit): seed=15219185923889167745 [1, 3, 5, 8, 11, 14, 15]
Iter#1448 New set #600 of size 7 (2.4 its/hit = 0.000s/hit): seed=3103063423913900576 [1, 3, 5, 8, 11, 14, 15]
Iter#1670 New set #700 of size 7 (2.4 its/hit = 0.000s/hit): seed=2924471431024477390 [0, 1, 5, 8, 9, 11, 15]
Iter#1916 New set #800 of size 7 (2.4 its/hit = 0.000s/hit): seed=3318351977730319830 [1, 5, 6, 7, 10, 11, 15]
