[*] Computing DDT
[+] DDT Computed
DDT took 36.761µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=10036420846092520891 [2, 4, 6, 8, 12, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=13851962474911788791 [0, 3, 9, 11, 13, 14]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=12495314622118277752 [1, 5, 8, 9, 10, 11, 14]
Iter#7 New set #2 of size 7 (3.5 its/hit = 0.000s/hit): seed=10403287532773893637 [0, 7, 8, 9, 10, 11, 12]
Iter#13 New set #3 of size 7 (4.3 its/hit = 0.000s/hit): seed=17153427329917839725 [1, 5, 8, 9, 10, 11, 14]
Iter#16 New set #4 of size 7 (4.0 its/hit = 0.000s/hit): seed=15726364111334067 [0, 2, 3, 4, 5, 13, 14]
Iter#17 New set #5 of size 7 (3.4 its/hit = 0.000s/hit): seed=203402681167892939 [0, 2, 6, 7, 8, 11, 12]
Iter#18 New set #6 of size 7 (3.0 its/hit = 0.000s/hit): seed=3137936997101040507 [0, 7, 8, 9, 10, 11, 12]
Iter#19 New set #7 of size 7 (2.7 its/hit = 0.000s/hit): seed=270200020391608269 [2, 3, 4, 5, 6, 8, 12]
Iter#21 New set #8 of size 7 (2.6 its/hit = 0.000s/hit): seed=13202237967365452046 [1, 5, 8, 9, 10, 11, 14]
Iter#23 New set #9 of size 7 (2.6 its/hit = 0.000s/hit): seed=12550409866971205887 [0, 1, 3, 5, 10, 13, 14]
Iter#26 New set #10 of size 7 (2.6 its/hit = 0.000s/hit): seed=18319111931270446588 [1, 5, 8, 9, 10, 11, 14]
Iter#43 New set #20 of size 7 (2.2 its/hit = 0.000s/hit): seed=11320239200540880129 [1, 2, 3, 4, 5, 10, 14]
Iter#59 New set #30 of size 7 (2.0 its/hit = 0.000s/hit): seed=18135409163829757128 [0, 2, 3, 4, 5, 13, 14]
Iter#77 New set #40 of size 7 (1.9 its/hit = 0.000s/hit): seed=2365899291013991570 [0, 3, 7, 11, 12, 13, 14]
Iter#106 New set #50 of size 7 (2.1 its/hit = 0.000s/hit): seed=3154475412371838202 [0, 1, 3, 5, 10, 13, 14]
Iter#139 New set #60 of size 7 (2.3 its/hit = 0.000s/hit): seed=16197834473337540480 [2, 6, 8, 9, 10, 11, 12]
Iter#155 New set #70 of size 7 (2.2 its/hit = 0.000s/hit): seed=12289586208150995621 [1, 2, 3, 4, 5, 10, 14]
Iter#172 New set #80 of size 7 (2.2 its/hit = 0.000s/hit): seed=10790922242722575479 [1, 2, 3, 4, 5, 10, 14]
Iter#185 New set #90 of size 7 (2.1 its/hit = 0.000s/hit): seed=7549324260506801835 [0, 1, 3, 5, 10, 13, 14]
Iter#206 New set #100 of size 7 (2.1 its/hit = 0.000s/hit): seed=7522463505228254110 [1, 2, 3, 4, 5, 10, 14]
Iter#426 New set #200 of size 7 (2.1 its/hit = 0.000s/hit): seed=9139578941412250582 [0, 3, 7, 11, 12, 13, 14]
Iter#697 New set #300 of size 7 (2.3 its/hit = 0.000s/hit): seed=8053239232373372893 [0, 7, 8, 9, 10, 11, 12]
Iter#949 New set #400 of size 7 (2.4 its/hit = 0.000s/hit): seed=7385174594550910362 [0, 2, 6, 7, 8, 11, 12]
Iter#1222 New set #500 of size 7 (2.4 its/hit = 0.000s/hit): seed=18344959998667247349 [1, 5, 8, 9, 10, 11, 14]
Iter#1482 New set #600 of size 7 (2.5 its/hit = 0.000s/hit): seed=887466559023814777 [1, 5, 8, 9, 10, 11, 14]
Iter#1725 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=6854953249874036726 [0, 3, 7, 11, 12, 13, 14]
Iter#1992 New set #800 of size 7 (2.5 its/hit = 0.000s/hit): seed=6701792476043940673 [1, 5, 8, 9, 10, 11, 14]
Iter#2231 New set #900 of size 7 (2.5 its/hit = 0.000s/hit): seed=17902745214996324397 [0, 3, 7, 11, 12, 13, 14]
Iter#2455 New set #1000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13858065764551883214 [2, 6, 8, 9, 10, 11, 12]
Iter#4883 New set #2000 of size 7 (2.4 its/hit = 0.000s/hit): seed=8308920816508704178 [0, 3, 7, 11, 12, 13, 14]
Iter#7294 New set #3000 of size 7 (2.4 its/hit = 0.000s/hit): seed=2045735981180153987 [0, 1, 3, 5, 10, 13, 14]
Iter#9826 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1679199897788094468 [2, 6, 8, 9, 10, 11, 12]
Iter#12342 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11313488985902068001 [0, 2, 3, 4, 5, 13, 14]
Iter#14782 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15107396024168348209 [0, 7, 8, 9, 10, 11, 12]
Iter#17301 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1484308247720024780 [0, 7, 8, 9, 10, 11, 12]
Iter#19740 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2128457758745089461 [1, 2, 3, 4, 5, 10, 14]
Iter#22315 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12621611137336973508 [0, 2, 3, 4, 5, 13, 14]
Iter#24794 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17383319781711607888 [0, 2, 6, 7, 8, 11, 12]
Iter#49654 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9844209403817665604 [0, 2, 6, 7, 8, 11, 12]
Iter#74696 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15121381405028321558 [1, 5, 8, 9, 10, 11, 14]
Iter#99589 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17678996239694945421 [1, 5, 8, 9, 10, 11, 14]
Iter#124174 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16995804143293270649 [0, 3, 7, 11, 12, 13, 14]
Iter#149222 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14553636071550551344 [2, 6, 8, 9, 10, 11, 12]
Iter#174193 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14705091130582256623 [1, 2, 3, 4, 5, 10, 14]
Iter#199069 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16117581789902648021 [0, 3, 7, 11, 12, 13, 14]
Iter#224178 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18192812465971468908 [0, 3, 7, 11, 12, 13, 14]
Iter#249014 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2297263694309174886 [0, 1, 3, 5, 10, 13, 14]
Iter#498374 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10861477543975627351 [0, 7, 8, 9, 10, 11, 12]
