[*] Computing DDT
[+] DDT Computed
DDT took 37.581µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=3638381266811486417 [0, 5, 7, 10, 12, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=10099259089567233576 [6, 7, 9, 10, 11, 14]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=10208937744726536696 [0, 1, 2, 3, 8, 15]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=652068443673804209 [0, 4, 5, 10, 13, 15]
Iter#5 New set #5 of size 6 (1.0 its/hit = 0.000s/hit): seed=4300473525412713510 [6, 7, 8, 10, 11, 13]
Iter#6 New set #1 of size 7 (6.0 its/hit = 0.000s/hit): seed=7145650374076925542 [0, 1, 2, 3, 5, 8, 14]
Iter#8 New set #2 of size 7 (4.0 its/hit = 0.000s/hit): seed=10261260055010719023 [3, 4, 6, 7, 10, 11, 12]
Iter#10 New set #3 of size 7 (3.3 its/hit = 0.000s/hit): seed=16456007371949216932 [0, 5, 6, 7, 10, 11, 15]
Iter#11 New set #4 of size 7 (2.8 its/hit = 0.000s/hit): seed=13380381777039055856 [0, 1, 2, 3, 4, 11, 12]
Iter#15 New set #5 of size 7 (3.0 its/hit = 0.000s/hit): seed=18087080848662260209 [0, 1, 2, 3, 5, 10, 15]
Iter#18 New set #6 of size 7 (3.0 its/hit = 0.000s/hit): seed=2485460256425856348 [3, 4, 9, 11, 12, 13, 15]
Iter#24 New set #7 of size 7 (3.4 its/hit = 0.000s/hit): seed=11989234833835583726 [3, 4, 9, 11, 12, 13, 15]
Iter#26 New set #8 of size 7 (3.2 its/hit = 0.000s/hit): seed=13805225332628628908 [0, 1, 2, 3, 5, 8, 14]
Iter#29 New set #9 of size 7 (3.2 its/hit = 0.000s/hit): seed=11401312366286372061 [0, 5, 9, 10, 11, 13, 15]
Iter#33 New set #10 of size 7 (3.3 its/hit = 0.000s/hit): seed=4400140440577580396 [3, 4, 5, 8, 11, 12, 14]
Iter#49 New set #20 of size 7 (2.5 its/hit = 0.000s/hit): seed=12884733700428941104 [6, 7, 9, 10, 11, 13, 15]
Iter#73 New set #30 of size 7 (2.4 its/hit = 0.000s/hit): seed=7772680215127974984 [0, 1, 2, 3, 5, 10, 15]
Iter#98 New set #40 of size 7 (2.5 its/hit = 0.000s/hit): seed=10635829999232065500 [6, 7, 9, 10, 11, 13, 15]
Iter#119 New set #50 of size 7 (2.4 its/hit = 0.000s/hit): seed=2332929997279127004 [0, 3, 5, 8, 10, 14, 15]
Iter#142 New set #60 of size 7 (2.4 its/hit = 0.000s/hit): seed=11290289599586635540 [0, 1, 2, 3, 4, 11, 12]
Iter#170 New set #70 of size 7 (2.4 its/hit = 0.000s/hit): seed=17632553602204230916 [0, 5, 9, 10, 11, 13, 15]
Iter#202 New set #80 of size 7 (2.5 its/hit = 0.000s/hit): seed=12439861154421088376 [0, 5, 9, 10, 11, 13, 15]
Iter#221 New set #90 of size 7 (2.5 its/hit = 0.000s/hit): seed=11186803193423714339 [0, 1, 2, 3, 5, 10, 15]
Iter#240 New set #100 of size 7 (2.4 its/hit = 0.000s/hit): seed=1599000891736439256 [0, 5, 6, 7, 10, 11, 15]
Iter#452 New set #200 of size 7 (2.3 its/hit = 0.000s/hit): seed=14067843831860055603 [0, 5, 9, 10, 11, 13, 15]
Iter#680 New set #300 of size 7 (2.3 its/hit = 0.000s/hit): seed=1772486868760640345 [0, 5, 9, 10, 11, 13, 15]
Iter#897 New set #400 of size 7 (2.2 its/hit = 0.000s/hit): seed=18373068856685785087 [0, 5, 9, 10, 11, 13, 15]
Iter#1100 New set #500 of size 7 (2.2 its/hit = 0.000s/hit): seed=10829937328463949062 [0, 1, 2, 3, 5, 10, 15]
Iter#1316 New set #600 of size 7 (2.2 its/hit = 0.000s/hit): seed=14053097768046085185 [3, 4, 9, 11, 12, 13, 15]
Iter#1554 New set #700 of size 7 (2.2 its/hit = 0.000s/hit): seed=2716217197371442879 [0, 1, 2, 3, 4, 11, 12]
Iter#1787 New set #800 of size 7 (2.2 its/hit = 0.000s/hit): seed=150679752575277684 [0, 1, 2, 3, 5, 10, 15]
Iter#2039 New set #900 of size 7 (2.3 its/hit = 0.000s/hit): seed=10749463685121580521 [3, 4, 6, 7, 10, 11, 12]
Iter#2257 New set #1000 of size 7 (2.3 its/hit = 0.000s/hit): seed=8573090750512536456 [3, 4, 5, 8, 11, 12, 14]
Iter#4464 New set #2000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10227854428354927844 [0, 1, 2, 3, 5, 10, 15]
Iter#6663 New set #3000 of size 7 (2.2 its/hit = 0.000s/hit): seed=9152394891144733313 [3, 4, 5, 8, 11, 12, 14]
Iter#8859 New set #4000 of size 7 (2.2 its/hit = 0.000s/hit): seed=5372807213563549407 [3, 4, 9, 11, 12, 13, 15]
Iter#11061 New set #5000 of size 7 (2.2 its/hit = 0.000s/hit): seed=4434621944257039954 [3, 4, 6, 7, 10, 11, 12]
Iter#13316 New set #6000 of size 7 (2.2 its/hit = 0.000s/hit): seed=5743136870231662823 [0, 1, 2, 3, 5, 10, 15]
Iter#15554 New set #7000 of size 7 (2.2 its/hit = 0.000s/hit): seed=11695151046720448022 [3, 4, 6, 7, 10, 11, 12]
Iter#17681 New set #8000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12043696832633988519 [3, 4, 6, 7, 10, 11, 12]
Iter#19914 New set #9000 of size 7 (2.2 its/hit = 0.000s/hit): seed=11467265958254088003 [3, 4, 9, 11, 12, 13, 15]
Iter#22191 New set #10000 of size 7 (2.2 its/hit = 0.000s/hit): seed=17775894957524491388 [0, 5, 6, 7, 10, 11, 15]
Iter#44231 New set #20000 of size 7 (2.2 its/hit = 0.000s/hit): seed=16435332783487159340 [0, 1, 2, 3, 5, 10, 15]
Iter#66429 New set #30000 of size 7 (2.2 its/hit = 0.000s/hit): seed=6153853601115023101 [0, 5, 6, 7, 10, 11, 15]
Iter#88176 New set #40000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1966429329731261459 [3, 4, 9, 11, 12, 13, 15]
Iter#110109 New set #50000 of size 7 (2.2 its/hit = 0.000s/hit): seed=9387850973399092993 [0, 1, 2, 3, 4, 11, 12]
Iter#132292 New set #60000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10831890264817445850 [0, 1, 2, 3, 5, 8, 14]
Iter#154062 New set #70000 of size 7 (2.2 its/hit = 0.000s/hit): seed=62556984936238284 [0, 1, 2, 3, 5, 8, 14]
Iter#176106 New set #80000 of size 7 (2.2 its/hit = 0.000s/hit): seed=4392883752940289383 [3, 4, 6, 7, 10, 11, 12]
Iter#197973 New set #90000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10054322774770692628 [3, 4, 6, 7, 10, 11, 12]
Iter#219933 New set #100000 of size 7 (2.2 its/hit = 0.000s/hit): seed=8270192453188471972 [0, 5, 6, 7, 10, 11, 15]
Iter#440139 New set #200000 of size 7 (2.2 its/hit = 0.000s/hit): seed=6180351883900196109 [3, 4, 9, 11, 12, 13, 15]
Iter#660944 New set #300000 of size 7 (2.2 its/hit = 0.000s/hit): seed=18199041590809864952 [0, 5, 9, 10, 11, 13, 15]
Iter#881725 New set #400000 of size 7 (2.2 its/hit = 0.000s/hit): seed=6855255053728232353 [0, 1, 2, 3, 5, 8, 14]
Iter#1102890 New set #500000 of size 7 (2.2 its/hit = 0.000s/hit): seed=11673569297865985578 [3, 4, 9, 11, 12, 13, 15]
Iter#1323299 New set #600000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1025444041748342604 [0, 1, 2, 3, 5, 10, 15]
Iter#1543173 New set #700000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13197606929985001782 [0, 5, 6, 7, 10, 11, 15]
Iter#1763417 New set #800000 of size 7 (2.2 its/hit = 0.000s/hit): seed=11265233996415503256 [0, 3, 5, 8, 10, 14, 15]
Iter#1983627 New set #900000 of size 7 (2.2 its/hit = 0.000s/hit): seed=14520340856810634585 [3, 4, 9, 11, 12, 13, 15]
Iter#2203865 New set #1000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=462550763059822807 [0, 1, 2, 3, 4, 11, 12]
Iter#4407169 New set #2000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13188798503576352282 [0, 1, 2, 3, 5, 8, 14]
Iter#6612809 New set #3000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15621615400590713105 [3, 4, 5, 8, 11, 12, 14]
Iter#8816226 New set #4000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=7319526356524519872 [3, 4, 9, 11, 12, 13, 15]
Iter#11017469 New set #5000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=2180823167411660032 [3, 4, 9, 11, 12, 13, 15]
Iter#13222209 New set #6000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1156343995990223924 [3, 4, 9, 11, 12, 13, 15]
Iter#15428691 New set #7000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=9000360941583204792 [0, 3, 5, 8, 10, 14, 15]
Iter#17632949 New set #8000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=17675325071402143047 [0, 5, 9, 10, 11, 13, 15]
Iter#19838015 New set #9000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1176538486539118081 [0, 1, 2, 3, 5, 10, 15]
Iter#22045722 New set #10000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=17849210248510168865 [6, 7, 9, 10, 11, 13, 15]
Iter#44099084 New set #20000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=992483329061990138 [0, 1, 2, 3, 4, 11, 12]
Iter#66141454 New set #30000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=4576420912316744186 [0, 3, 5, 8, 10, 14, 15]
Iter#88178283 New set #40000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=237816047437644744 [0, 1, 2, 3, 5, 8, 14]
Iter#110225962 New set #50000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=14301270345673402873 [0, 1, 2, 3, 5, 8, 14]
Iter#132288393 New set #60000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=866957681863820439 [0, 5, 6, 7, 10, 11, 15]
Iter#154334336 New set #70000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=5382672962232315478 [3, 4, 5, 8, 11, 12, 14]
Iter#176391231 New set #80000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12771288451564624292 [3, 4, 9, 11, 12, 13, 15]
