[*] Computing DDT
[+] DDT Computed
DDT took 36.311µs
Iter#1 New set #1 of size 5 (1.0 its/hit = 0.000s/hit): seed=12647777228693311981 [0, 1, 3, 6, 12]
Iter#2 New set #1 of size 6 (2.0 its/hit = 0.000s/hit): seed=1172748350507199040 [0, 2, 8, 10, 11, 13]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=4220499032878391867 [0, 4, 6, 7, 9, 12, 14]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=5152954074290154533 [0, 2, 4, 5, 8, 10, 11]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=14746144494426617066 [3, 4, 6, 8, 12, 14, 15]
Iter#8 New set #4 of size 7 (2.0 its/hit = 0.000s/hit): seed=12072705906400229427 [0, 2, 7, 8, 9, 10, 14]
Iter#11 New set #5 of size 7 (2.2 its/hit = 0.000s/hit): seed=9314423725206769261 [0, 2, 3, 4, 8, 10, 15]
Iter#14 New set #6 of size 7 (2.3 its/hit = 0.000s/hit): seed=17155695138808269700 [3, 4, 6, 8, 12, 14, 15]
Iter#15 New set #7 of size 7 (2.1 its/hit = 0.000s/hit): seed=14082274299987032033 [3, 4, 6, 8, 12, 14, 15]
Iter#18 New set #8 of size 7 (2.2 its/hit = 0.000s/hit): seed=5635054880731651193 [0, 1, 2, 8, 10, 13, 14]
Iter#19 New set #9 of size 7 (2.1 its/hit = 0.000s/hit): seed=4029006297148934559 [0, 1, 2, 7, 9, 13, 14]
Iter#20 New set #10 of size 7 (2.0 its/hit = 0.000s/hit): seed=8161192936705968693 [1, 2, 4, 6, 12, 13, 14]
Iter#33 New set #20 of size 7 (1.6 its/hit = 0.000s/hit): seed=14961025965374362190 [0, 1, 2, 7, 9, 13, 14]
Iter#54 New set #30 of size 7 (1.8 its/hit = 0.000s/hit): seed=6393643393311559633 [4, 5, 6, 10, 11, 12, 14]
Iter#77 New set #40 of size 7 (1.9 its/hit = 0.000s/hit): seed=5918923927694869846 [1, 2, 4, 6, 12, 13, 14]
Iter#100 New set #50 of size 7 (2.0 its/hit = 0.000s/hit): seed=956479831690326280 [0, 4, 6, 7, 9, 12, 14]
Iter#117 New set #60 of size 7 (2.0 its/hit = 0.000s/hit): seed=8974294980102131239 [1, 2, 4, 6, 12, 13, 14]
Iter#147 New set #70 of size 7 (2.1 its/hit = 0.000s/hit): seed=15616185998144801 [3, 4, 5, 8, 10, 11, 15]
Iter#173 New set #80 of size 7 (2.2 its/hit = 0.000s/hit): seed=17292194041788335340 [0, 4, 6, 7, 9, 12, 14]
Iter#196 New set #90 of size 7 (2.2 its/hit = 0.000s/hit): seed=2756730160920941930 [0, 2, 3, 4, 8, 10, 15]
Iter#220 New set #100 of size 7 (2.2 its/hit = 0.000s/hit): seed=14796571959796879324 [4, 5, 6, 10, 11, 12, 14]
Iter#450 New set #200 of size 7 (2.2 its/hit = 0.000s/hit): seed=14087119193444398046 [0, 1, 2, 7, 9, 13, 14]
Iter#658 New set #300 of size 7 (2.2 its/hit = 0.000s/hit): seed=5908286013560638646 [0, 4, 6, 7, 9, 12, 14]
Iter#870 New set #400 of size 7 (2.2 its/hit = 0.000s/hit): seed=2508564316257918395 [3, 4, 6, 8, 12, 14, 15]
Iter#1124 New set #500 of size 7 (2.2 its/hit = 0.000s/hit): seed=16602449337043829345 [0, 1, 2, 8, 10, 13, 14]
Iter#1341 New set #600 of size 7 (2.2 its/hit = 0.000s/hit): seed=1814327875641844117 [3, 4, 5, 8, 10, 11, 15]
Iter#1561 New set #700 of size 7 (2.2 its/hit = 0.000s/hit): seed=16621358154637841520 [0, 1, 2, 8, 10, 13, 14]
Iter#1791 New set #800 of size 7 (2.2 its/hit = 0.000s/hit): seed=325054622135053244 [4, 5, 6, 10, 11, 12, 14]
Iter#2015 New set #900 of size 7 (2.2 its/hit = 0.000s/hit): seed=9996047278267162536 [0, 4, 6, 7, 9, 12, 14]
Iter#2265 New set #1000 of size 7 (2.3 its/hit = 0.000s/hit): seed=15414831382541697801 [1, 2, 4, 6, 12, 13, 14]
Iter#4428 New set #2000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12486366554661757205 [0, 1, 2, 7, 9, 13, 14]
Iter#6700 New set #3000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1037790144079858768 [3, 4, 5, 8, 10, 11, 15]
Iter#8909 New set #4000 of size 7 (2.2 its/hit = 0.000s/hit): seed=5871011504386950461 [0, 1, 2, 8, 10, 13, 14]
Iter#11010 New set #5000 of size 7 (2.2 its/hit = 0.000s/hit): seed=9066661110044108344 [0, 2, 3, 4, 8, 10, 15]
Iter#13195 New set #6000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13486272542306082896 [0, 1, 2, 7, 9, 13, 14]
Iter#15394 New set #7000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12020879214213925152 [0, 4, 6, 7, 9, 12, 14]
Iter#17605 New set #8000 of size 7 (2.2 its/hit = 0.000s/hit): seed=2646656126170795527 [0, 2, 7, 8, 9, 10, 14]
Iter#19759 New set #9000 of size 7 (2.2 its/hit = 0.000s/hit): seed=14708863204737793447 [4, 5, 6, 10, 11, 12, 14]
Iter#22055 New set #10000 of size 7 (2.2 its/hit = 0.000s/hit): seed=17611897240627814794 [0, 1, 2, 8, 10, 13, 14]
Iter#44117 New set #20000 of size 7 (2.2 its/hit = 0.000s/hit): seed=4640720514438233240 [0, 4, 6, 7, 9, 12, 14]
Iter#66186 New set #30000 of size 7 (2.2 its/hit = 0.000s/hit): seed=8514072995147110657 [1, 2, 4, 6, 12, 13, 14]
Iter#88370 New set #40000 of size 7 (2.2 its/hit = 0.000s/hit): seed=6924324667283705004 [0, 2, 4, 5, 8, 10, 11]
Iter#110282 New set #50000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10202909178508219847 [1, 2, 4, 6, 12, 13, 14]
Iter#132374 New set #60000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15577612346414542668 [3, 4, 5, 8, 10, 11, 15]
Iter#154480 New set #70000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10638591946296086219 [0, 4, 6, 7, 9, 12, 14]
Iter#176676 New set #80000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10526755445585776155 [3, 4, 6, 8, 12, 14, 15]
Iter#198667 New set #90000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15607177457075202644 [0, 1, 2, 8, 10, 13, 14]
Iter#220492 New set #100000 of size 7 (2.2 its/hit = 0.000s/hit): seed=3219993621974532624 [0, 4, 6, 7, 9, 12, 14]
Iter#440742 New set #200000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13017227935906671968 [0, 2, 7, 8, 9, 10, 14]
Iter#661413 New set #300000 of size 7 (2.2 its/hit = 0.000s/hit): seed=4643440543131766795 [0, 2, 7, 8, 9, 10, 14]
Iter#882808 New set #400000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1161939394048027549 [0, 4, 6, 7, 9, 12, 14]
Iter#1103472 New set #500000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12110707108956192417 [0, 2, 7, 8, 9, 10, 14]
Iter#1324231 New set #600000 of size 7 (2.2 its/hit = 0.000s/hit): seed=9249886961727855699 [0, 4, 6, 7, 9, 12, 14]
Iter#1545010 New set #700000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15982876524016359362 [0, 2, 7, 8, 9, 10, 14]
Iter#1765657 New set #800000 of size 7 (2.2 its/hit = 0.000s/hit): seed=525117582197944604 [3, 4, 6, 8, 12, 14, 15]
Iter#1986186 New set #900000 of size 7 (2.2 its/hit = 0.000s/hit): seed=2688910213603673802 [0, 4, 6, 7, 9, 12, 14]
Iter#2206739 New set #1000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=16845230154797327728 [3, 4, 6, 8, 12, 14, 15]
Iter#4411916 New set #2000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=4175715415803860415 [1, 2, 4, 6, 12, 13, 14]
Iter#6619692 New set #3000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=297755254719406615 [1, 2, 4, 6, 12, 13, 14]
Iter#8827843 New set #4000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13466760845624199605 [4, 5, 6, 10, 11, 12, 14]
Iter#11033078 New set #5000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1265276337253276522 [3, 4, 6, 8, 12, 14, 15]
