[*] Computing DDT
[+] DDT Computed
DDT took 31.611µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=17378410012469829359 [1, 3, 4, 5, 7, 10]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=17986723741086915630 [2, 3, 4, 6, 9, 12]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=990732554996700392 [1, 2, 3, 5, 7, 9]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=16076756111083763085 [0, 1, 2, 6, 12, 14]
Iter#5 New set #5 of size 6 (1.0 its/hit = 0.000s/hit): seed=5673483362368926681 [0, 3, 4, 8, 9, 15]
Iter#6 New set #1 of size 7 (6.0 its/hit = 0.000s/hit): seed=11844112842967069779 [1, 3, 5, 6, 7, 9, 12]
Iter#8 New set #2 of size 7 (4.0 its/hit = 0.000s/hit): seed=12642166489947816548 [3, 6, 9, 10, 11, 12, 13]
Iter#14 New set #3 of size 7 (4.7 its/hit = 0.000s/hit): seed=2513922303957350898 [1, 3, 5, 6, 7, 9, 12]
Iter#16 New set #4 of size 7 (4.0 its/hit = 0.000s/hit): seed=7804234628425195808 [1, 3, 5, 6, 7, 9, 12]
Iter#17 New set #5 of size 7 (3.4 its/hit = 0.000s/hit): seed=7270900049991348729 [3, 4, 6, 8, 9, 12, 15]
Iter#20 New set #6 of size 7 (3.3 its/hit = 0.000s/hit): seed=3899233283790292761 [3, 4, 6, 8, 9, 12, 15]
Iter#21 New set #7 of size 7 (3.0 its/hit = 0.000s/hit): seed=17270235354540660460 [0, 2, 10, 11, 12, 13, 14]
Iter#23 New set #8 of size 7 (2.9 its/hit = 0.000s/hit): seed=2889238018858534803 [3, 6, 9, 10, 11, 12, 13]
Iter#25 New set #9 of size 7 (2.8 its/hit = 0.000s/hit): seed=16405540844782943032 [1, 3, 4, 5, 7, 8, 15]
Iter#26 New set #10 of size 7 (2.6 its/hit = 0.000s/hit): seed=1251575864984748466 [0, 2, 3, 6, 9, 12, 14]
Iter#64 New set #20 of size 7 (3.2 its/hit = 0.000s/hit): seed=5785193600403215321 [0, 2, 10, 11, 12, 13, 14]
Iter#102 New set #30 of size 7 (3.4 its/hit = 0.000s/hit): seed=18353200794676038842 [0, 2, 10, 11, 12, 13, 14]
Iter#124 New set #40 of size 7 (3.1 its/hit = 0.000s/hit): seed=9837395258578773802 [1, 3, 4, 5, 7, 8, 15]
Iter#161 New set #50 of size 7 (3.2 its/hit = 0.000s/hit): seed=1684914275828087998 [1, 3, 5, 6, 7, 9, 12]
Iter#183 New set #60 of size 7 (3.0 its/hit = 0.000s/hit): seed=10794814731661434605 [0, 2, 10, 11, 12, 13, 14]
Iter#206 New set #70 of size 7 (2.9 its/hit = 0.000s/hit): seed=16160298509580785862 [1, 3, 4, 5, 7, 8, 15]
Iter#231 New set #80 of size 7 (2.9 its/hit = 0.000s/hit): seed=5833446604790740477 [0, 2, 10, 11, 12, 13, 14]
Iter#253 New set #90 of size 7 (2.8 its/hit = 0.000s/hit): seed=7225799534196326427 [3, 4, 6, 8, 9, 12, 15]
Iter#277 New set #100 of size 7 (2.8 its/hit = 0.000s/hit): seed=1132818243259212904 [0, 2, 10, 11, 12, 13, 14]
Iter#571 New set #200 of size 7 (2.9 its/hit = 0.000s/hit): seed=13511199422033387389 [0, 2, 3, 6, 9, 12, 14]
Iter#917 New set #300 of size 7 (3.1 its/hit = 0.000s/hit): seed=13496451456624670034 [1, 3, 4, 5, 7, 8, 15]
Iter#1230 New set #400 of size 7 (3.1 its/hit = 0.000s/hit): seed=9657599472380369197 [1, 3, 5, 6, 7, 9, 12]
Iter#1547 New set #500 of size 7 (3.1 its/hit = 0.000s/hit): seed=13308792619335867211 [3, 4, 6, 8, 9, 12, 15]
Iter#1900 New set #600 of size 7 (3.2 its/hit = 0.000s/hit): seed=17014190589448632384 [0, 2, 10, 11, 12, 13, 14]
Iter#2252 New set #700 of size 7 (3.2 its/hit = 0.000s/hit): seed=12227406986219326939 [0, 2, 3, 6, 9, 12, 14]
Iter#2560 New set #800 of size 7 (3.2 its/hit = 0.000s/hit): seed=12593766983886431292 [3, 4, 6, 8, 9, 12, 15]
Iter#2862 New set #900 of size 7 (3.2 its/hit = 0.000s/hit): seed=11393714709609073079 [3, 6, 9, 10, 11, 12, 13]
Iter#3165 New set #1000 of size 7 (3.2 its/hit = 0.000s/hit): seed=1873037387638988428 [0, 2, 10, 11, 12, 13, 14]
Iter#6281 New set #2000 of size 7 (3.1 its/hit = 0.000s/hit): seed=16111887535391002987 [0, 2, 10, 11, 12, 13, 14]
Iter#9439 New set #3000 of size 7 (3.1 its/hit = 0.000s/hit): seed=3026307583590155005 [1, 3, 5, 6, 7, 9, 12]
Iter#12654 New set #4000 of size 7 (3.2 its/hit = 0.000s/hit): seed=7801351112189995426 [0, 2, 3, 6, 9, 12, 14]
Iter#15943 New set #5000 of size 7 (3.2 its/hit = 0.000s/hit): seed=7854455969973916001 [3, 4, 6, 8, 9, 12, 15]
Iter#19026 New set #6000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2483413379395329832 [3, 6, 9, 10, 11, 12, 13]
Iter#22142 New set #7000 of size 7 (3.2 its/hit = 0.000s/hit): seed=4580095002274763734 [3, 6, 9, 10, 11, 12, 13]
Iter#25379 New set #8000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11471528854917005710 [0, 2, 10, 11, 12, 13, 14]
Iter#28554 New set #9000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16851339572127376674 [0, 2, 10, 11, 12, 13, 14]
Iter#31841 New set #10000 of size 7 (3.2 its/hit = 0.000s/hit): seed=3545392236349498786 [1, 3, 4, 5, 7, 8, 15]
Iter#64064 New set #20000 of size 7 (3.2 its/hit = 0.000s/hit): seed=5506630898842049231 [1, 3, 5, 6, 7, 9, 12]
Iter#96450 New set #30000 of size 7 (3.2 its/hit = 0.000s/hit): seed=15035152567822242673 [0, 2, 3, 6, 9, 12, 14]
Iter#128147 New set #40000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16955311059448986188 [1, 3, 4, 5, 7, 8, 15]
Iter#159958 New set #50000 of size 7 (3.2 its/hit = 0.000s/hit): seed=1746770781371330930 [1, 3, 5, 6, 7, 9, 12]
Iter#192047 New set #60000 of size 7 (3.2 its/hit = 0.000s/hit): seed=10877198056993067891 [3, 6, 9, 10, 11, 12, 13]
Iter#224512 New set #70000 of size 7 (3.2 its/hit = 0.000s/hit): seed=9602312876827520300 [0, 2, 3, 6, 9, 12, 14]
Iter#256402 New set #80000 of size 7 (3.2 its/hit = 0.000s/hit): seed=8299074079408724119 [3, 4, 6, 8, 9, 12, 15]
Iter#288514 New set #90000 of size 7 (3.2 its/hit = 0.000s/hit): seed=3518828502375757970 [3, 6, 9, 10, 11, 12, 13]
Iter#320981 New set #100000 of size 7 (3.2 its/hit = 0.000s/hit): seed=1126943950740026763 [0, 2, 10, 11, 12, 13, 14]
Iter#643008 New set #200000 of size 7 (3.2 its/hit = 0.000s/hit): seed=14351020765314423765 [0, 2, 3, 6, 9, 12, 14]
