[*] Computing DDT
[+] DDT Computed
DDT took 39.831µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=3547887349906235783 [3, 6, 7, 8, 12, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=7341917974286537190 [0, 2, 5, 6, 12, 14]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=5320187788770020010 [0, 2, 4, 12, 14, 15]
Iter#4 New set #1 of size 7 (4.0 its/hit = 0.000s/hit): seed=15273170314458273238 [0, 1, 2, 4, 9, 12, 14]
Iter#8 New set #2 of size 7 (4.0 its/hit = 0.000s/hit): seed=6620219776764870214 [1, 3, 4, 7, 8, 9, 12]
Iter#11 New set #3 of size 7 (3.7 its/hit = 0.000s/hit): seed=5615146324726041915 [1, 3, 4, 5, 9, 12, 15]
Iter#13 New set #4 of size 7 (3.2 its/hit = 0.000s/hit): seed=12147056298811433541 [1, 3, 4, 7, 8, 9, 12]
Iter#18 New set #5 of size 7 (3.6 its/hit = 0.000s/hit): seed=6508697835472727481 [0, 1, 2, 4, 9, 12, 14]
Iter#22 New set #6 of size 7 (3.7 its/hit = 0.000s/hit): seed=17662540415204316709 [1, 3, 4, 5, 9, 12, 15]
Iter#24 New set #7 of size 7 (3.4 its/hit = 0.000s/hit): seed=4944851792434814726 [0, 2, 3, 7, 8, 12, 14]
Iter#27 New set #8 of size 7 (3.4 its/hit = 0.000s/hit): seed=13962658189098948795 [0, 3, 7, 8, 10, 12, 13]
Iter#28 New set #9 of size 7 (3.1 its/hit = 0.000s/hit): seed=9334893988966821566 [0, 1, 2, 4, 9, 12, 14]
Iter#30 New set #10 of size 7 (3.0 its/hit = 0.000s/hit): seed=14927900252276735719 [0, 2, 3, 7, 8, 12, 14]
Iter#55 New set #20 of size 7 (2.8 its/hit = 0.000s/hit): seed=7134621211886525107 [3, 5, 7, 8, 9, 12, 15]
Iter#86 New set #30 of size 7 (2.9 its/hit = 0.000s/hit): seed=10197602989928031396 [1, 3, 4, 7, 8, 9, 12]
Iter#113 New set #40 of size 7 (2.8 its/hit = 0.000s/hit): seed=17838777456129474471 [1, 3, 4, 7, 8, 9, 12]
Iter#149 New set #50 of size 7 (3.0 its/hit = 0.000s/hit): seed=10085237471539163161 [1, 3, 4, 5, 9, 12, 15]
Iter#183 New set #60 of size 7 (3.0 its/hit = 0.000s/hit): seed=1369549917216165823 [3, 5, 7, 8, 9, 12, 15]
Iter#218 New set #70 of size 7 (3.1 its/hit = 0.000s/hit): seed=16470531016669606584 [0, 2, 3, 7, 8, 12, 14]
Iter#256 New set #80 of size 7 (3.2 its/hit = 0.000s/hit): seed=2124388324294250072 [0, 2, 3, 7, 8, 12, 14]
Iter#273 New set #90 of size 7 (3.0 its/hit = 0.000s/hit): seed=3851381124391045605 [3, 5, 7, 8, 9, 12, 15]
Iter#327 New set #100 of size 7 (3.3 its/hit = 0.000s/hit): seed=14252956228731243479 [3, 5, 7, 8, 9, 12, 15]
Iter#659 New set #200 of size 7 (3.3 its/hit = 0.000s/hit): seed=6223931719497971454 [0, 3, 7, 8, 10, 12, 13]
Iter#989 New set #300 of size 7 (3.3 its/hit = 0.000s/hit): seed=2862895396586190924 [1, 3, 4, 5, 9, 12, 15]
Iter#1360 New set #400 of size 7 (3.4 its/hit = 0.000s/hit): seed=13965136869004967925 [0, 1, 2, 4, 9, 12, 14]
Iter#1658 New set #500 of size 7 (3.3 its/hit = 0.000s/hit): seed=4256853163742318227 [1, 3, 4, 5, 9, 12, 15]
Iter#2012 New set #600 of size 7 (3.4 its/hit = 0.000s/hit): seed=9201688549673612921 [3, 5, 7, 8, 9, 12, 15]
Iter#2352 New set #700 of size 7 (3.4 its/hit = 0.000s/hit): seed=4938416054708660470 [1, 3, 4, 5, 9, 12, 15]
Iter#2668 New set #800 of size 7 (3.3 its/hit = 0.000s/hit): seed=7043703403241533831 [1, 3, 4, 7, 8, 9, 12]
Iter#2950 New set #900 of size 7 (3.3 its/hit = 0.000s/hit): seed=2426351229523274449 [0, 2, 3, 7, 8, 12, 14]
Iter#3304 New set #1000 of size 7 (3.3 its/hit = 0.000s/hit): seed=8341516188771772264 [1, 3, 4, 7, 8, 9, 12]
Iter#6713 New set #2000 of size 7 (3.4 its/hit = 0.000s/hit): seed=9835134659284275793 [1, 3, 4, 7, 8, 9, 12]
