[*] Computing DDT
[+] DDT Computed
DDT took 50.222µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=13477062423719830887 [7, 10, 11, 12, 13, 14]
Iter#3 New set #2 of size 6 (1.5 its/hit = 0.000s/hit): seed=1369727409989323331 [0, 2, 4, 9, 14, 15]
Iter#4 New set #1 of size 7 (4.0 its/hit = 0.000s/hit): seed=3757717941978780442 [0, 1, 3, 5, 9, 10, 14]
Iter#8 New set #2 of size 7 (4.0 its/hit = 0.000s/hit): seed=3519996822493832282 [1, 5, 10, 11, 12, 13, 14]
Iter#9 New set #3 of size 7 (3.0 its/hit = 0.000s/hit): seed=16996670328193988525 [0, 3, 9, 10, 11, 12, 13]
Iter#12 New set #4 of size 7 (3.0 its/hit = 0.000s/hit): seed=4842516558374526672 [0, 3, 6, 7, 8, 9, 10]
Iter#13 New set #5 of size 7 (2.6 its/hit = 0.000s/hit): seed=8992692077665404684 [2, 4, 6, 7, 8, 9, 15]
Iter#15 New set #6 of size 7 (2.5 its/hit = 0.000s/hit): seed=14997874518107684374 [1, 5, 10, 11, 12, 13, 14]
Iter#17 New set #7 of size 7 (2.4 its/hit = 0.000s/hit): seed=1264557503888967221 [0, 2, 3, 4, 9, 10, 15]
Iter#19 New set #8 of size 7 (2.4 its/hit = 0.000s/hit): seed=14098476029974646134 [0, 1, 3, 5, 9, 10, 14]
Iter#26 New set #9 of size 7 (2.9 its/hit = 0.000s/hit): seed=5670524358466050537 [0, 2, 3, 4, 9, 10, 15]
Iter#27 New set #10 of size 7 (2.7 its/hit = 0.000s/hit): seed=4999441588432593049 [0, 2, 3, 4, 9, 10, 15]
Iter#49 New set #20 of size 7 (2.5 its/hit = 0.000s/hit): seed=613388773629487987 [0, 3, 9, 10, 11, 12, 13]
Iter#84 New set #30 of size 7 (2.8 its/hit = 0.000s/hit): seed=1305400640208593933 [0, 2, 3, 4, 9, 10, 15]
Iter#111 New set #40 of size 7 (2.8 its/hit = 0.000s/hit): seed=1250851107793193543 [0, 3, 6, 7, 8, 9, 10]
