[*] Computing DDT
[+] DDT Computed
DDT took 58.631µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=780186317946052540 [2, 3, 5, 8, 11, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=5939138653903199165 [1, 3, 5, 6, 10, 11]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=16384283000624633280 [0, 1, 4, 7, 8, 13]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=2695457598509419810 [2, 9, 10, 11, 14, 15]
Iter#5 New set #1 of size 7 (5.0 its/hit = 0.000s/hit): seed=14938681688501760933 [0, 3, 10, 11, 12, 14, 15]
Iter#6 New set #2 of size 7 (3.0 its/hit = 0.000s/hit): seed=14664821034768782954 [2, 5, 8, 10, 11, 14, 15]
Iter#7 New set #3 of size 7 (2.3 its/hit = 0.000s/hit): seed=5184382837788399016 [0, 3, 10, 11, 12, 14, 15]
Iter#9 New set #4 of size 7 (2.2 its/hit = 0.000s/hit): seed=15080056381744765065 [0, 3, 10, 11, 12, 14, 15]
Iter#16 New set #5 of size 7 (3.2 its/hit = 0.000s/hit): seed=10954533003667571766 [2, 5, 6, 7, 8, 9, 15]
Iter#20 New set #6 of size 7 (3.3 its/hit = 0.000s/hit): seed=2795399192597710335 [0, 2, 3, 5, 8, 12, 15]
Iter#25 New set #7 of size 7 (3.6 its/hit = 0.000s/hit): seed=6591726192440593104 [1, 4, 6, 7, 8, 9, 13]
Iter#28 New set #8 of size 7 (3.5 its/hit = 0.000s/hit): seed=13059879024864372425 [0, 2, 3, 5, 8, 12, 15]
Iter#30 New set #9 of size 7 (3.3 its/hit = 0.000s/hit): seed=9098256514531647664 [2, 5, 8, 10, 11, 14, 15]
Iter#31 New set #10 of size 7 (3.1 its/hit = 0.000s/hit): seed=15949839756508768254 [2, 5, 6, 7, 8, 9, 15]
Iter#64 New set #20 of size 7 (3.2 its/hit = 0.000s/hit): seed=2330342292292124813 [2, 5, 6, 7, 8, 9, 15]
Iter#84 New set #30 of size 7 (2.8 its/hit = 0.000s/hit): seed=3847349657105004443 [2, 5, 6, 7, 8, 9, 15]
Iter#122 New set #40 of size 7 (3.0 its/hit = 0.000s/hit): seed=7296446264986395206 [0, 2, 3, 5, 8, 12, 15]
Iter#166 New set #50 of size 7 (3.3 its/hit = 0.000s/hit): seed=10259949607076745099 [0, 3, 10, 11, 12, 14, 15]
Iter#198 New set #60 of size 7 (3.3 its/hit = 0.000s/hit): seed=11271787657839657671 [2, 5, 6, 7, 8, 9, 15]
Iter#218 New set #70 of size 7 (3.1 its/hit = 0.000s/hit): seed=13486752649521754413 [0, 3, 10, 11, 12, 14, 15]
Iter#248 New set #80 of size 7 (3.1 its/hit = 0.000s/hit): seed=10688188901074779402 [1, 2, 4, 5, 8, 13, 15]
Iter#290 New set #90 of size 7 (3.2 its/hit = 0.000s/hit): seed=1914896759747007348 [2, 5, 8, 10, 11, 14, 15]
Iter#321 New set #100 of size 7 (3.2 its/hit = 0.000s/hit): seed=12889681332800186978 [2, 5, 8, 10, 11, 14, 15]
Iter#673 New set #200 of size 7 (3.4 its/hit = 0.000s/hit): seed=2375874499635181818 [0, 3, 10, 11, 12, 14, 15]
Iter#951 New set #300 of size 7 (3.2 its/hit = 0.000s/hit): seed=6372278436266328087 [2, 5, 8, 10, 11, 14, 15]
Iter#1299 New set #400 of size 7 (3.2 its/hit = 0.000s/hit): seed=15760622024888287869 [1, 2, 4, 5, 8, 13, 15]
Iter#1608 New set #500 of size 7 (3.2 its/hit = 0.000s/hit): seed=8610987933996122947 [2, 5, 6, 7, 8, 9, 15]
Iter#1954 New set #600 of size 7 (3.3 its/hit = 0.000s/hit): seed=9076866763926930371 [2, 5, 6, 7, 8, 9, 15]
Iter#2275 New set #700 of size 7 (3.2 its/hit = 0.000s/hit): seed=16448404113858880114 [2, 5, 8, 10, 11, 14, 15]
Iter#2557 New set #800 of size 7 (3.2 its/hit = 0.000s/hit): seed=821462330942979207 [1, 2, 4, 5, 8, 13, 15]
Iter#2876 New set #900 of size 7 (3.2 its/hit = 0.000s/hit): seed=4582226872306368804 [1, 2, 4, 5, 8, 13, 15]
Iter#3192 New set #1000 of size 7 (3.2 its/hit = 0.000s/hit): seed=7551993430070915833 [1, 2, 4, 5, 8, 13, 15]
Iter#6391 New set #2000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2480824671416799372 [0, 2, 3, 5, 8, 12, 15]
Iter#9649 New set #3000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11392559141934742220 [1, 4, 6, 7, 8, 9, 13]
Iter#12923 New set #4000 of size 7 (3.2 its/hit = 0.000s/hit): seed=18084422802072521848 [0, 3, 10, 11, 12, 14, 15]
Iter#16138 New set #5000 of size 7 (3.2 its/hit = 0.000s/hit): seed=12854104354104433093 [1, 4, 6, 7, 8, 9, 13]
Iter#19303 New set #6000 of size 7 (3.2 its/hit = 0.000s/hit): seed=8753773641931480679 [1, 2, 4, 5, 8, 13, 15]
Iter#22455 New set #7000 of size 7 (3.2 its/hit = 0.000s/hit): seed=12179999342023743964 [1, 4, 6, 7, 8, 9, 13]
Iter#25753 New set #8000 of size 7 (3.2 its/hit = 0.000s/hit): seed=14472634176275494213 [1, 4, 6, 7, 8, 9, 13]
Iter#29041 New set #9000 of size 7 (3.2 its/hit = 0.000s/hit): seed=630071965515233228 [2, 5, 8, 10, 11, 14, 15]
Iter#32135 New set #10000 of size 7 (3.2 its/hit = 0.000s/hit): seed=4322222697342719319 [1, 4, 6, 7, 8, 9, 13]
Iter#64474 New set #20000 of size 7 (3.2 its/hit = 0.000s/hit): seed=5958396555898475608 [1, 4, 6, 7, 8, 9, 13]
Iter#96944 New set #30000 of size 7 (3.2 its/hit = 0.000s/hit): seed=1574698425815396279 [2, 5, 8, 10, 11, 14, 15]
Iter#129078 New set #40000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13955894033275216028 [0, 3, 10, 11, 12, 14, 15]
Iter#161363 New set #50000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2114315714748479124 [1, 2, 4, 5, 8, 13, 15]
Iter#193363 New set #60000 of size 7 (3.2 its/hit = 0.000s/hit): seed=223504612406967424 [0, 3, 10, 11, 12, 14, 15]
Iter#224956 New set #70000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16026197702211555172 [1, 4, 6, 7, 8, 9, 13]
Iter#256907 New set #80000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16524507311402057577 [1, 2, 4, 5, 8, 13, 15]
Iter#289427 New set #90000 of size 7 (3.2 its/hit = 0.000s/hit): seed=1288858535010430753 [2, 5, 6, 7, 8, 9, 15]
Iter#321889 New set #100000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11652892537041305800 [0, 3, 10, 11, 12, 14, 15]
Iter#643878 New set #200000 of size 7 (3.2 its/hit = 0.000s/hit): seed=6902889413183246997 [2, 5, 6, 7, 8, 9, 15]
Iter#964584 New set #300000 of size 7 (3.2 its/hit = 0.000s/hit): seed=3571580024723379905 [2, 5, 8, 10, 11, 14, 15]
Iter#1286987 New set #400000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13725279775319065463 [1, 4, 6, 7, 8, 9, 13]
Iter#1609386 New set #500000 of size 7 (3.2 its/hit = 0.000s/hit): seed=5155083525222761195 [2, 5, 8, 10, 11, 14, 15]
Iter#1931781 New set #600000 of size 7 (3.2 its/hit = 0.000s/hit): seed=4491774268583766155 [1, 2, 4, 5, 8, 13, 15]
Iter#2253100 New set #700000 of size 7 (3.2 its/hit = 0.000s/hit): seed=5836092607340104608 [0, 3, 10, 11, 12, 14, 15]
Iter#2574777 New set #800000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16128795122337829620 [2, 5, 6, 7, 8, 9, 15]
Iter#2896169 New set #900000 of size 7 (3.2 its/hit = 0.000s/hit): seed=16995864755915342655 [0, 3, 10, 11, 12, 14, 15]
Iter#3217605 New set #1000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=15907018067677545815 [1, 4, 6, 7, 8, 9, 13]
Iter#6435964 New set #2000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=12436161624036358491 [1, 4, 6, 7, 8, 9, 13]
Iter#9656655 New set #3000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=11380926299470234414 [0, 3, 10, 11, 12, 14, 15]
Iter#12874776 New set #4000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13213204555971570296 [2, 5, 8, 10, 11, 14, 15]
Iter#16086890 New set #5000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=3513925134036648246 [1, 4, 6, 7, 8, 9, 13]
Iter#19303686 New set #6000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=14757813169356057514 [2, 5, 6, 7, 8, 9, 15]
Iter#22525191 New set #7000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13631561137616706541 [2, 5, 6, 7, 8, 9, 15]
Iter#25739039 New set #8000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=13500643659660274875 [0, 3, 10, 11, 12, 14, 15]
Iter#28954539 New set #9000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=9714372321996581594 [0, 2, 3, 5, 8, 12, 15]
Iter#32173199 New set #10000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=12292583831297805590 [2, 5, 8, 10, 11, 14, 15]
Iter#64353073 New set #20000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=6830211048079056560 [2, 5, 6, 7, 8, 9, 15]
Iter#96528506 New set #30000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=2662550517778950272 [1, 2, 4, 5, 8, 13, 15]
Iter#128704257 New set #40000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=9794955859358936299 [1, 4, 6, 7, 8, 9, 13]
Iter#160898487 New set #50000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=1951183106808864425 [1, 2, 4, 5, 8, 13, 15]
Iter#193082448 New set #60000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=17444643045385166590 [0, 2, 3, 5, 8, 12, 15]
Iter#225272145 New set #70000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=15094810369869403613 [1, 2, 4, 5, 8, 13, 15]
Iter#257438487 New set #80000000 of size 7 (3.2 its/hit = 0.000s/hit): seed=5912461816143705468 [1, 4, 6, 7, 8, 9, 13]
