[*] Computing DDT
[+] DDT Computed
DDT took 39.271µs
Iter#1 New set #1 of size 7 (1.0 its/hit = 0.000s/hit): seed=11923966828827469154 [0, 5, 6, 7, 8, 9, 14]
Iter#9 New set #2 of size 7 (4.5 its/hit = 0.000s/hit): seed=13088262115812493157 [0, 6, 7, 8, 9, 12, 14]
Iter#10 New set #1 of size 8 (10.0 its/hit = 0.000s/hit): seed=5950710265064176097 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#26 New set #2 of size 8 (13.0 its/hit = 0.000s/hit): seed=11807290858546217202 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#31 New set #3 of size 8 (10.3 its/hit = 0.000s/hit): seed=12438127183260021105 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#33 New set #4 of size 8 (8.2 its/hit = 0.000s/hit): seed=12424108280584910142 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#40 New set #5 of size 8 (8.0 its/hit = 0.000s/hit): seed=8113983403058065221 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#46 New set #6 of size 8 (7.7 its/hit = 0.000s/hit): seed=467122184507177763 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#47 New set #7 of size 8 (6.7 its/hit = 0.000s/hit): seed=10416469341090000397 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#50 New set #8 of size 8 (6.2 its/hit = 0.000s/hit): seed=13153447634681275474 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#51 New set #9 of size 8 (5.7 its/hit = 0.000s/hit): seed=15719689637438217456 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#60 New set #10 of size 8 (6.0 its/hit = 0.000s/hit): seed=6213094193655542726 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#89 New set #20 of size 8 (4.4 its/hit = 0.000s/hit): seed=9022081967379386907 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#121 New set #30 of size 8 (4.0 its/hit = 0.000s/hit): seed=5400448150834231747 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#158 New set #40 of size 8 (4.0 its/hit = 0.000s/hit): seed=1050699203785021700 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#204 New set #50 of size 8 (4.1 its/hit = 0.000s/hit): seed=3046197566487429130 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#236 New set #60 of size 8 (3.9 its/hit = 0.000s/hit): seed=5818729304431960275 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#263 New set #70 of size 8 (3.8 its/hit = 0.000s/hit): seed=2461359393846579077 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#323 New set #80 of size 8 (4.0 its/hit = 0.000s/hit): seed=5859725019097453837 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#366 New set #90 of size 8 (4.1 its/hit = 0.000s/hit): seed=10069828915185383341 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#414 New set #100 of size 8 (4.1 its/hit = 0.000s/hit): seed=16965853170336164660 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#897 New set #200 of size 8 (4.5 its/hit = 0.000s/hit): seed=13407580009075685883 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#1307 New set #300 of size 8 (4.4 its/hit = 0.000s/hit): seed=6305352858153534148 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#1762 New set #400 of size 8 (4.4 its/hit = 0.000s/hit): seed=10646859891119742382 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#2227 New set #500 of size 8 (4.5 its/hit = 0.000s/hit): seed=6108201316223018809 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#2674 New set #600 of size 8 (4.5 its/hit = 0.000s/hit): seed=12396292436278626183 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#3074 New set #700 of size 8 (4.4 its/hit = 0.000s/hit): seed=10585050647746794357 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#3581 New set #800 of size 8 (4.5 its/hit = 0.000s/hit): seed=8909849785003658241 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#4094 New set #900 of size 8 (4.5 its/hit = 0.000s/hit): seed=9295529287783772376 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#4614 New set #1000 of size 8 (4.6 its/hit = 0.000s/hit): seed=2448420391042837746 [0, 6, 7, 8, 9, 11, 13, 14]
Iter#9359 New set #2000 of size 8 (4.7 its/hit = 0.000s/hit): seed=15091423403120682486 [0, 6, 7, 8, 9, 11, 13, 14]
