[*] Computing DDT
[+] DDT Computed
DDT took 30.371µs
Iter#1 New set #1 of size 8 (1.0 its/hit = 0.000s/hit): seed=12976330666645205768 [1, 5, 6, 7, 12, 13, 14, 15]
Iter#3 New set #1 of size 9 (3.0 its/hit = 0.000s/hit): seed=8362731051442480308 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#7 New set #2 of size 9 (3.5 its/hit = 0.000s/hit): seed=9031437592545743476 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#8 New set #3 of size 9 (2.7 its/hit = 0.000s/hit): seed=9370274390545617977 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#9 New set #4 of size 9 (2.2 its/hit = 0.000s/hit): seed=3077874656378605630 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#12 New set #5 of size 9 (2.4 its/hit = 0.000s/hit): seed=6583653929773511507 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#13 New set #6 of size 9 (2.2 its/hit = 0.000s/hit): seed=13613605266731360121 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#15 New set #7 of size 9 (2.1 its/hit = 0.000s/hit): seed=1112773627328200330 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#17 New set #8 of size 9 (2.1 its/hit = 0.000s/hit): seed=5839664212626169174 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#19 New set #9 of size 9 (2.1 its/hit = 0.000s/hit): seed=6825129388160689832 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#32 New set #10 of size 9 (3.2 its/hit = 0.000s/hit): seed=11241086401044148360 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#71 New set #20 of size 9 (3.5 its/hit = 0.000s/hit): seed=12395892051463896474 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#110 New set #30 of size 9 (3.7 its/hit = 0.000s/hit): seed=12335152959824235668 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#138 New set #40 of size 9 (3.5 its/hit = 0.000s/hit): seed=13726233521730715321 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#165 New set #50 of size 9 (3.3 its/hit = 0.000s/hit): seed=13028638403567296052 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#189 New set #60 of size 9 (3.2 its/hit = 0.000s/hit): seed=10323166172885688957 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#237 New set #70 of size 9 (3.4 its/hit = 0.000s/hit): seed=14763507628337084221 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#274 New set #80 of size 9 (3.4 its/hit = 0.000s/hit): seed=5718241336137949527 [5, 6, 7, 10, 11, 12, 13, 14, 15]
Iter#309 New set #90 of size 9 (3.4 its/hit = 0.000s/hit): seed=10056601927568266384 [5, 6, 7, 10, 11, 12, 13, 14, 15]
