[*] Computing DDT
[+] DDT Computed
DDT took 59.141µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=357600706262458912 [0, 2, 3, 9, 11, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=12277885031369264295 [6, 7, 8, 11, 12, 13, 15]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=5155605841286529962 [1, 3, 8, 9, 10, 13, 14]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=17683799044178654573 [6, 7, 9, 10, 12, 13, 14]
Iter#5 New set #4 of size 7 (1.2 its/hit = 0.000s/hit): seed=16912462790546981304 [1, 3, 8, 10, 11, 12, 15]
Iter#6 New set #5 of size 7 (1.2 its/hit = 0.000s/hit): seed=6487136862437632935 [0, 3, 5, 6, 7, 12, 13]
Iter#7 New set #6 of size 7 (1.2 its/hit = 0.000s/hit): seed=13376540451981943048 [4, 5, 9, 10, 13, 14, 15]
Iter#8 New set #7 of size 7 (1.1 its/hit = 0.000s/hit): seed=259132745518192168 [0, 1, 2, 4, 7, 9, 11]
Iter#9 New set #8 of size 7 (1.1 its/hit = 0.000s/hit): seed=1839267135010475844 [1, 3, 8, 9, 10, 13, 14]
Iter#10 New set #9 of size 7 (1.1 its/hit = 0.000s/hit): seed=7508778153907378306 [6, 7, 9, 10, 12, 13, 14]
Iter#11 New set #10 of size 7 (1.1 its/hit = 0.000s/hit): seed=415196932945868422 [4, 5, 8, 11, 12, 14, 15]
Iter#23 New set #20 of size 7 (1.1 its/hit = 0.000s/hit): seed=7710130325394258550 [0, 2, 3, 5, 6, 9, 11]
Iter#34 New set #30 of size 7 (1.1 its/hit = 0.000s/hit): seed=8286067594911039267 [0, 3, 4, 5, 6, 14, 15]
Iter#45 New set #40 of size 7 (1.1 its/hit = 0.000s/hit): seed=1728723068331446599 [0, 3, 4, 5, 6, 14, 15]
Iter#59 New set #50 of size 7 (1.2 its/hit = 0.000s/hit): seed=10049210136545868679 [1, 3, 8, 10, 11, 12, 15]
Iter#71 New set #60 of size 7 (1.2 its/hit = 0.000s/hit): seed=4280224703610773590 [4, 5, 8, 11, 12, 14, 15]
Iter#85 New set #70 of size 7 (1.2 its/hit = 0.000s/hit): seed=7795594346426538174 [6, 7, 9, 10, 12, 13, 14]
Iter#99 New set #80 of size 7 (1.2 its/hit = 0.000s/hit): seed=2629523937738736296 [6, 7, 8, 11, 12, 13, 15]
Iter#110 New set #90 of size 7 (1.2 its/hit = 0.000s/hit): seed=18007812336843874151 [0, 1, 2, 4, 7, 9, 11]
Iter#124 New set #100 of size 7 (1.2 its/hit = 0.000s/hit): seed=12854875132389974867 [1, 2, 4, 6, 7, 12, 13]
Iter#239 New set #200 of size 7 (1.2 its/hit = 0.000s/hit): seed=4228049583349024168 [6, 7, 8, 11, 12, 13, 15]
Iter#364 New set #300 of size 7 (1.2 its/hit = 0.000s/hit): seed=8391659668456915580 [1, 2, 3, 4, 7, 8, 10]
Iter#476 New set #400 of size 7 (1.2 its/hit = 0.000s/hit): seed=2364219796360818106 [1, 3, 8, 9, 10, 13, 14]
Iter#588 New set #500 of size 7 (1.2 its/hit = 0.000s/hit): seed=17071374268926668165 [0, 2, 9, 10, 11, 13, 14]
Iter#711 New set #600 of size 7 (1.2 its/hit = 0.000s/hit): seed=7697132901846844993 [0, 2, 8, 9, 11, 12, 15]
Iter#827 New set #700 of size 7 (1.2 its/hit = 0.000s/hit): seed=1677959592360592662 [0, 3, 5, 6, 7, 12, 13]
Iter#947 New set #800 of size 7 (1.2 its/hit = 0.000s/hit): seed=3411320225415146872 [0, 1, 3, 5, 6, 8, 10]
Iter#1065 New set #900 of size 7 (1.2 its/hit = 0.000s/hit): seed=1028996823897133637 [6, 7, 9, 10, 12, 13, 14]
Iter#1195 New set #1000 of size 7 (1.2 its/hit = 0.000s/hit): seed=8174163573456266372 [1, 2, 4, 5, 7, 14, 15]
Iter#2408 New set #2000 of size 7 (1.2 its/hit = 0.000s/hit): seed=14762974082480263150 [4, 5, 8, 11, 12, 14, 15]
Iter#3618 New set #3000 of size 7 (1.2 its/hit = 0.000s/hit): seed=16796140538171339375 [1, 2, 4, 5, 7, 14, 15]
Iter#4833 New set #4000 of size 7 (1.2 its/hit = 0.000s/hit): seed=6035544795584631981 [0, 2, 9, 10, 11, 13, 14]
Iter#6043 New set #5000 of size 7 (1.2 its/hit = 0.000s/hit): seed=3516132302238017518 [6, 7, 8, 11, 12, 13, 15]
Iter#7259 New set #6000 of size 7 (1.2 its/hit = 0.000s/hit): seed=6949227622861395702 [1, 2, 4, 6, 7, 12, 13]
Iter#8470 New set #7000 of size 7 (1.2 its/hit = 0.000s/hit): seed=15457661238232565368 [0, 2, 3, 5, 6, 9, 11]
Iter#9671 New set #8000 of size 7 (1.2 its/hit = 0.000s/hit): seed=17990014537053814842 [6, 7, 9, 10, 12, 13, 14]
Iter#10867 New set #9000 of size 7 (1.2 its/hit = 0.000s/hit): seed=6557734681137378374 [0, 3, 4, 5, 6, 14, 15]
Iter#12095 New set #10000 of size 7 (1.2 its/hit = 0.000s/hit): seed=8204933747470374163 [6, 7, 9, 10, 12, 13, 14]
Iter#24174 New set #20000 of size 7 (1.2 its/hit = 0.000s/hit): seed=14461394214617607572 [0, 3, 4, 5, 6, 14, 15]
Iter#36230 New set #30000 of size 7 (1.2 its/hit = 0.000s/hit): seed=11038917003395073053 [1, 2, 3, 4, 7, 8, 10]
Iter#48381 New set #40000 of size 7 (1.2 its/hit = 0.000s/hit): seed=13451195501686990060 [0, 2, 8, 9, 11, 12, 15]
Iter#60470 New set #50000 of size 7 (1.2 its/hit = 0.000s/hit): seed=5205041240723696331 [1, 2, 3, 4, 7, 8, 10]
