[*] Computing DDT
[+] DDT Computed
DDT took 41.471µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=18085084542952552374 [0, 1, 5, 8, 10, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=5093320824947392430 [1, 2, 8, 9, 10, 14, 15]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=17752196287749188324 [0, 1, 3, 4, 7, 12, 14]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=13945042439016253496 [0, 3, 4, 5, 7, 10, 11]
Iter#9 New set #4 of size 7 (2.2 its/hit = 0.000s/hit): seed=951374292727427000 [1, 2, 4, 5, 9, 10, 11]
Iter#12 New set #5 of size 7 (2.4 its/hit = 0.000s/hit): seed=9902748010124601206 [1, 2, 4, 5, 9, 10, 11]
Iter#14 New set #6 of size 7 (2.3 its/hit = 0.000s/hit): seed=3395080121615405714 [1, 2, 8, 9, 10, 14, 15]
Iter#15 New set #7 of size 7 (2.1 its/hit = 0.000s/hit): seed=12586296560639389360 [0, 5, 8, 9, 13, 14, 15]
Iter#16 New set #8 of size 7 (2.0 its/hit = 0.000s/hit): seed=11441272243832273337 [0, 3, 4, 5, 7, 8, 13]
Iter#17 New set #9 of size 7 (1.9 its/hit = 0.000s/hit): seed=1056524712230682830 [0, 1, 3, 4, 7, 12, 14]
Iter#18 New set #10 of size 7 (1.8 its/hit = 0.000s/hit): seed=17020926873222652209 [1, 3, 8, 9, 12, 14, 15]
Iter#50 New set #20 of size 7 (2.5 its/hit = 0.000s/hit): seed=4135578289421342276 [0, 3, 4, 5, 7, 10, 11]
Iter#69 New set #30 of size 7 (2.3 its/hit = 0.000s/hit): seed=9907874621332694485 [1, 2, 4, 5, 9, 10, 11]
Iter#95 New set #40 of size 7 (2.4 its/hit = 0.000s/hit): seed=17914351314232687587 [0, 3, 4, 5, 7, 8, 13]
Iter#117 New set #50 of size 7 (2.3 its/hit = 0.000s/hit): seed=11510705821931655978 [1, 2, 8, 9, 10, 14, 15]
Iter#129 New set #60 of size 7 (2.2 its/hit = 0.000s/hit): seed=5829578569244067061 [1, 2, 3, 9, 10, 12, 14]
Iter#155 New set #70 of size 7 (2.2 its/hit = 0.000s/hit): seed=18055337672754720656 [0, 3, 4, 5, 7, 8, 13]
Iter#187 New set #80 of size 7 (2.3 its/hit = 0.000s/hit): seed=10990094554937313679 [0, 1, 3, 4, 7, 12, 14]
Iter#221 New set #90 of size 7 (2.5 its/hit = 0.000s/hit): seed=5573982883903229058 [1, 2, 3, 9, 10, 12, 14]
Iter#260 New set #100 of size 7 (2.6 its/hit = 0.000s/hit): seed=12688093623049250757 [0, 5, 8, 9, 13, 14, 15]
Iter#515 New set #200 of size 7 (2.6 its/hit = 0.000s/hit): seed=1902216411750175099 [1, 2, 4, 5, 9, 10, 11]
Iter#785 New set #300 of size 7 (2.6 its/hit = 0.000s/hit): seed=3606250762535975316 [0, 3, 4, 5, 7, 10, 11]
Iter#1033 New set #400 of size 7 (2.6 its/hit = 0.000s/hit): seed=12385509258978889653 [0, 1, 3, 4, 7, 12, 14]
Iter#1290 New set #500 of size 7 (2.6 its/hit = 0.000s/hit): seed=1014070595492251807 [0, 1, 3, 4, 7, 12, 14]
Iter#1533 New set #600 of size 7 (2.6 its/hit = 0.000s/hit): seed=16001104292559663794 [1, 2, 8, 9, 10, 14, 15]
Iter#1767 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=3151305137348311925 [1, 2, 8, 9, 10, 14, 15]
Iter#2036 New set #800 of size 7 (2.5 its/hit = 0.000s/hit): seed=3805732562608156504 [1, 3, 8, 9, 12, 14, 15]
Iter#2329 New set #900 of size 7 (2.6 its/hit = 0.000s/hit): seed=4111840126942594711 [0, 1, 3, 4, 7, 12, 14]
Iter#2564 New set #1000 of size 7 (2.6 its/hit = 0.000s/hit): seed=5924072220078934524 [0, 3, 4, 5, 7, 10, 11]
Iter#5017 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17720651311781142465 [0, 4, 5, 8, 10, 11, 13]
Iter#7514 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13004727967210470316 [0, 3, 4, 5, 7, 8, 13]
Iter#10020 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11278759000454101031 [1, 2, 4, 5, 9, 10, 11]
