[*] Computing DDT
[+] DDT Computed
DDT took 32.671µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=5668779059002112065 [1, 3, 7, 8, 13, 14]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=13783075122851251934 [3, 4, 5, 8, 9, 10]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=5029299802580149421 [1, 4, 5, 7, 8, 9, 14]
Iter#5 New set #2 of size 7 (2.5 its/hit = 0.000s/hit): seed=4184666117939262827 [1, 2, 4, 5, 8, 9, 10]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=17315227544113343217 [2, 3, 5, 6, 12, 13, 15]
Iter#10 New set #4 of size 7 (2.5 its/hit = 0.000s/hit): seed=15650918742838593543 [1, 2, 4, 5, 8, 9, 10]
Iter#11 New set #5 of size 7 (2.2 its/hit = 0.000s/hit): seed=4408189659980207123 [1, 2, 7, 8, 9, 10, 14]
Iter#12 New set #6 of size 7 (2.0 its/hit = 0.000s/hit): seed=7869124012407294080 [1, 2, 4, 5, 8, 9, 10]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=13909725046703552072 [2, 3, 6, 11, 12, 13, 14]
Iter#14 New set #8 of size 7 (1.8 its/hit = 0.000s/hit): seed=5286782999513299372 [1, 4, 5, 7, 8, 9, 14]
Iter#16 New set #9 of size 7 (1.8 its/hit = 0.000s/hit): seed=12211361405166290009 [2, 3, 5, 6, 12, 13, 15]
Iter#18 New set #10 of size 7 (1.8 its/hit = 0.000s/hit): seed=14844268564089407206 [1, 2, 4, 5, 8, 9, 10]
Iter#46 New set #20 of size 7 (2.3 its/hit = 0.000s/hit): seed=2115961882056532952 [2, 3, 6, 11, 12, 13, 14]
Iter#77 New set #30 of size 7 (2.6 its/hit = 0.000s/hit): seed=4167571890448694706 [1, 4, 5, 7, 8, 9, 14]
Iter#106 New set #40 of size 7 (2.7 its/hit = 0.000s/hit): seed=14890496750423654292 [1, 2, 4, 5, 8, 9, 10]
Iter#127 New set #50 of size 7 (2.5 its/hit = 0.000s/hit): seed=3627897378883408158 [4, 5, 6, 8, 9, 12, 15]
Iter#158 New set #60 of size 7 (2.6 its/hit = 0.000s/hit): seed=15847866531085034725 [2, 3, 6, 11, 12, 13, 14]
Iter#182 New set #70 of size 7 (2.6 its/hit = 0.000s/hit): seed=6997818241567736751 [3, 5, 6, 11, 12, 14, 15]
Iter#213 New set #80 of size 7 (2.7 its/hit = 0.000s/hit): seed=10562222210754400239 [4, 5, 6, 8, 9, 12, 15]
Iter#243 New set #90 of size 7 (2.7 its/hit = 0.000s/hit): seed=260888438651037671 [1, 4, 5, 7, 8, 9, 14]
Iter#267 New set #100 of size 7 (2.7 its/hit = 0.000s/hit): seed=13503901826190792703 [1, 2, 3, 9, 10, 12, 13]
Iter#495 New set #200 of size 7 (2.5 its/hit = 0.000s/hit): seed=17164475525513399977 [3, 5, 6, 11, 12, 14, 15]
Iter#739 New set #300 of size 7 (2.5 its/hit = 0.000s/hit): seed=16754329598785032353 [2, 3, 5, 6, 12, 13, 15]
Iter#970 New set #400 of size 7 (2.4 its/hit = 0.000s/hit): seed=8505635147579637671 [1, 3, 6, 7, 8, 11, 14]
Iter#1237 New set #500 of size 7 (2.5 its/hit = 0.000s/hit): seed=11585345571375788669 [1, 2, 3, 9, 10, 12, 13]
Iter#1478 New set #600 of size 7 (2.5 its/hit = 0.000s/hit): seed=17708553473904429993 [1, 2, 7, 8, 9, 10, 14]
Iter#1732 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=13316890138518810797 [2, 3, 6, 11, 12, 13, 14]
Iter#1978 New set #800 of size 7 (2.5 its/hit = 0.000s/hit): seed=14482804823351328369 [1, 3, 6, 7, 8, 11, 14]
Iter#2201 New set #900 of size 7 (2.4 its/hit = 0.000s/hit): seed=10294602859298031185 [1, 2, 3, 9, 10, 12, 13]
Iter#2462 New set #1000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1620507448728377466 [3, 5, 6, 11, 12, 14, 15]
Iter#4981 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11794631805230871684 [2, 3, 6, 11, 12, 13, 14]
Iter#7366 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10516817313296520851 [1, 2, 4, 5, 8, 9, 10]
Iter#9743 New set #4000 of size 7 (2.4 its/hit = 0.000s/hit): seed=13620077135889687447 [1, 4, 5, 7, 8, 9, 14]
Iter#12248 New set #5000 of size 7 (2.4 its/hit = 0.000s/hit): seed=5705680028773169911 [1, 2, 3, 9, 10, 12, 13]
Iter#14709 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11773693695148669830 [1, 2, 7, 8, 9, 10, 14]
Iter#17234 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3633478248303918770 [1, 3, 6, 7, 8, 11, 14]
