[*] Computing DDT
[+] DDT Computed
DDT took 62.312µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=15358091608471299101 [1, 5, 6, 11, 14, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=6542668984469538191 [1, 5, 6, 7, 11, 15]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=3110933053448601879 [3, 4, 5, 6, 8, 14]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=6464504588215827069 [3, 4, 7, 10, 12, 15]
Iter#5 New set #1 of size 7 (5.0 its/hit = 0.000s/hit): seed=8508830508503185233 [2, 3, 4, 7, 12, 13, 15]
Iter#6 New set #2 of size 7 (3.0 its/hit = 0.000s/hit): seed=1990505182980279281 [0, 4, 8, 9, 10, 11, 13]
Iter#11 New set #3 of size 7 (3.7 its/hit = 0.000s/hit): seed=10921356065971220841 [1, 3, 5, 8, 11, 14, 15]
Iter#12 New set #4 of size 7 (3.0 its/hit = 0.000s/hit): seed=14486654807818646184 [1, 5, 8, 9, 10, 11, 15]
Iter#13 New set #5 of size 7 (2.6 its/hit = 0.000s/hit): seed=5846549270777781742 [1, 4, 5, 7, 11, 12, 15]
Iter#16 New set #6 of size 7 (2.7 its/hit = 0.000s/hit): seed=17480369062456745213 [1, 5, 8, 9, 10, 11, 15]
Iter#17 New set #7 of size 7 (2.4 its/hit = 0.000s/hit): seed=11773232029552360681 [1, 5, 8, 9, 10, 11, 15]
Iter#19 New set #8 of size 7 (2.4 its/hit = 0.000s/hit): seed=11834211740797325350 [0, 4, 7, 9, 12, 13, 15]
Iter#21 New set #9 of size 7 (2.3 its/hit = 0.000s/hit): seed=1829809587196730204 [2, 3, 4, 7, 12, 13, 15]
Iter#25 New set #10 of size 7 (2.5 its/hit = 0.000s/hit): seed=17122749246195596496 [2, 3, 5, 8, 12, 13, 14]
Iter#52 New set #20 of size 7 (2.6 its/hit = 0.000s/hit): seed=3342198006962408464 [0, 4, 8, 9, 10, 11, 13]
Iter#72 New set #30 of size 7 (2.4 its/hit = 0.000s/hit): seed=5389591994464980820 [3, 5, 8, 9, 10, 11, 14]
Iter#99 New set #40 of size 7 (2.5 its/hit = 0.000s/hit): seed=3988423993282623247 [0, 4, 8, 9, 10, 11, 13]
Iter#117 New set #50 of size 7 (2.3 its/hit = 0.000s/hit): seed=10757483315803089207 [0, 4, 8, 9, 10, 11, 13]
Iter#145 New set #60 of size 7 (2.4 its/hit = 0.000s/hit): seed=16390102969554435624 [0, 4, 7, 9, 12, 13, 15]
Iter#172 New set #70 of size 7 (2.5 its/hit = 0.000s/hit): seed=10585369902905606920 [0, 4, 8, 9, 10, 11, 13]
Iter#202 New set #80 of size 7 (2.5 its/hit = 0.000s/hit): seed=16531038638885330096 [0, 2, 3, 4, 9, 12, 13]
Iter#228 New set #90 of size 7 (2.5 its/hit = 0.000s/hit): seed=7937144623049585410 [1, 3, 5, 8, 11, 14, 15]
