[*] Computing DDT
[+] DDT Computed
DDT took 56.762µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=16227601947588557429 [3, 6, 7, 8, 9, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=2792021830615823534 [1, 6, 9, 10, 11, 12]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=3381240667877014743 [2, 5, 6, 7, 8, 9]
Iter#4 New set #1 of size 7 (4.0 its/hit = 0.000s/hit): seed=11420460105858618609 [1, 4, 5, 6, 11, 12, 13]
Iter#10 New set #2 of size 7 (5.0 its/hit = 0.000s/hit): seed=16153768215745539421 [0, 4, 5, 10, 12, 13, 14]
Iter#11 New set #3 of size 7 (3.7 its/hit = 0.000s/hit): seed=7345568171056578831 [0, 4, 5, 10, 12, 13, 14]
Iter#12 New set #4 of size 7 (3.0 its/hit = 0.000s/hit): seed=10585374189250950255 [1, 4, 5, 6, 11, 12, 13]
Iter#14 New set #5 of size 7 (2.8 its/hit = 0.000s/hit): seed=6461023639251538879 [4, 5, 8, 10, 12, 13, 15]
Iter#15 New set #6 of size 7 (2.5 its/hit = 0.000s/hit): seed=17377036039775739147 [0, 2, 4, 7, 10, 11, 14]
Iter#16 New set #7 of size 7 (2.3 its/hit = 0.000s/hit): seed=6283700155447164179 [0, 4, 8, 10, 13, 14, 15]
Iter#17 New set #8 of size 7 (2.1 its/hit = 0.000s/hit): seed=14220868419501551781 [2, 6, 7, 8, 9, 11, 14]
Iter#19 New set #9 of size 7 (2.1 its/hit = 0.000s/hit): seed=6977122248953455182 [6, 7, 8, 9, 10, 13, 15]
Iter#21 New set #10 of size 7 (2.1 its/hit = 0.000s/hit): seed=5860551416556930927 [0, 4, 5, 10, 12, 13, 14]
Iter#47 New set #20 of size 7 (2.3 its/hit = 0.000s/hit): seed=12843687567092109495 [1, 4, 5, 6, 11, 12, 13]
Iter#73 New set #30 of size 7 (2.4 its/hit = 0.000s/hit): seed=17715393081507277489 [0, 2, 4, 7, 10, 11, 14]
Iter#99 New set #40 of size 7 (2.5 its/hit = 0.000s/hit): seed=60110643633169560 [1, 6, 7, 8, 9, 11, 12]
Iter#130 New set #50 of size 7 (2.6 its/hit = 0.000s/hit): seed=12720045007656017817 [0, 4, 8, 10, 13, 14, 15]
Iter#153 New set #60 of size 7 (2.5 its/hit = 0.000s/hit): seed=11017018563597397670 [2, 6, 7, 8, 9, 11, 14]
Iter#176 New set #70 of size 7 (2.5 its/hit = 0.000s/hit): seed=480898283397240563 [6, 7, 8, 9, 10, 13, 15]
Iter#194 New set #80 of size 7 (2.4 its/hit = 0.000s/hit): seed=8996410563457033354 [1, 2, 6, 7, 11, 12, 14]
Iter#231 New set #90 of size 7 (2.6 its/hit = 0.000s/hit): seed=201606138225643138 [1, 4, 5, 6, 11, 12, 13]
Iter#256 New set #100 of size 7 (2.6 its/hit = 0.000s/hit): seed=9194379774699291890 [0, 4, 8, 10, 13, 14, 15]
Iter#490 New set #200 of size 7 (2.5 its/hit = 0.000s/hit): seed=12751205070059787477 [2, 6, 7, 8, 9, 11, 14]
Iter#726 New set #300 of size 7 (2.4 its/hit = 0.000s/hit): seed=2607029791866604644 [1, 2, 6, 7, 11, 12, 14]
Iter#952 New set #400 of size 7 (2.4 its/hit = 0.000s/hit): seed=633688319259333226 [0, 2, 4, 7, 10, 11, 14]
Iter#1208 New set #500 of size 7 (2.4 its/hit = 0.000s/hit): seed=4311676367230985116 [1, 2, 6, 7, 11, 12, 14]
Iter#1467 New set #600 of size 7 (2.4 its/hit = 0.000s/hit): seed=11562456203259808592 [6, 7, 8, 9, 10, 13, 15]
Iter#1677 New set #700 of size 7 (2.4 its/hit = 0.000s/hit): seed=4953224595684619635 [1, 6, 7, 8, 9, 11, 12]
Iter#1921 New set #800 of size 7 (2.4 its/hit = 0.000s/hit): seed=5031577322696326233 [0, 2, 4, 7, 10, 11, 14]
Iter#2143 New set #900 of size 7 (2.4 its/hit = 0.000s/hit): seed=2473171760567520427 [0, 4, 5, 10, 12, 13, 14]
Iter#2381 New set #1000 of size 7 (2.4 its/hit = 0.000s/hit): seed=12246585930332028966 [2, 6, 7, 8, 9, 11, 14]
Iter#4927 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1965567958706071645 [6, 7, 8, 9, 10, 13, 15]
Iter#7352 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6173513499686426792 [1, 6, 7, 8, 9, 11, 12]
Iter#9907 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12503360389690276362 [1, 2, 6, 7, 11, 12, 14]
Iter#12348 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3386308276499046008 [0, 2, 4, 7, 10, 11, 14]
