[*] Computing DDT
[+] DDT Computed
DDT took 42.971µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=10754809079023016287 [0, 3, 4, 8, 11, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=13252231857421737503 [2, 3, 7, 9, 12, 14, 15]
Iter#5 New set #2 of size 7 (2.5 its/hit = 0.000s/hit): seed=5604345150052396090 [2, 3, 7, 9, 12, 14, 15]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=6320968188530008115 [0, 2, 3, 8, 11, 14, 15]
Iter#8 New set #4 of size 7 (2.0 its/hit = 0.000s/hit): seed=8837324805040684387 [0, 2, 3, 8, 11, 14, 15]
Iter#9 New set #5 of size 7 (1.8 its/hit = 0.000s/hit): seed=9288849003319235024 [0, 4, 5, 10, 12, 13, 15]
Iter#10 New set #6 of size 7 (1.7 its/hit = 0.000s/hit): seed=14696650907466139721 [2, 3, 7, 9, 12, 14, 15]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=798523217414097556 [0, 3, 5, 8, 10, 11, 15]
Iter#18 New set #8 of size 7 (2.2 its/hit = 0.000s/hit): seed=2583858969229316126 [0, 3, 5, 8, 10, 11, 15]
Iter#19 New set #9 of size 7 (2.1 its/hit = 0.000s/hit): seed=9387658208440798927 [2, 4, 5, 7, 9, 12, 13]
Iter#20 New set #10 of size 7 (2.0 its/hit = 0.000s/hit): seed=12982842757523946181 [0, 4, 5, 10, 12, 13, 15]
Iter#44 New set #20 of size 7 (2.2 its/hit = 0.000s/hit): seed=18423235311118003462 [0, 3, 4, 6, 8, 9, 11]
Iter#76 New set #30 of size 7 (2.5 its/hit = 0.000s/hit): seed=11413747825228614708 [0, 2, 3, 8, 11, 14, 15]
Iter#103 New set #40 of size 7 (2.6 its/hit = 0.000s/hit): seed=13063407641056459630 [4, 5, 6, 9, 11, 12, 13]
Iter#131 New set #50 of size 7 (2.6 its/hit = 0.000s/hit): seed=2882306524883121360 [0, 2, 3, 5, 10, 14, 15]
Iter#152 New set #60 of size 7 (2.5 its/hit = 0.000s/hit): seed=4464631094420179821 [4, 5, 6, 9, 11, 12, 13]
Iter#185 New set #70 of size 7 (2.6 its/hit = 0.000s/hit): seed=17869296550343474789 [4, 5, 6, 9, 11, 12, 13]
Iter#212 New set #80 of size 7 (2.7 its/hit = 0.000s/hit): seed=7448745458997311847 [2, 4, 5, 7, 9, 12, 13]
Iter#238 New set #90 of size 7 (2.6 its/hit = 0.000s/hit): seed=8773775450037363925 [0, 2, 3, 8, 11, 14, 15]
Iter#266 New set #100 of size 7 (2.7 its/hit = 0.000s/hit): seed=14560052230488093244 [4, 5, 6, 9, 11, 12, 13]
Iter#529 New set #200 of size 7 (2.6 its/hit = 0.000s/hit): seed=2975522946548557654 [4, 5, 6, 9, 11, 12, 13]
Iter#796 New set #300 of size 7 (2.7 its/hit = 0.000s/hit): seed=1549152749902399105 [0, 2, 3, 8, 11, 14, 15]
Iter#1021 New set #400 of size 7 (2.6 its/hit = 0.000s/hit): seed=4104139945906236994 [0, 3, 5, 8, 10, 11, 15]
Iter#1274 New set #500 of size 7 (2.5 its/hit = 0.000s/hit): seed=6476912252438345354 [0, 4, 5, 10, 12, 13, 15]
Iter#1498 New set #600 of size 7 (2.5 its/hit = 0.000s/hit): seed=13301385589007718016 [0, 3, 5, 8, 10, 11, 15]
Iter#1747 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=9684543787057851937 [4, 5, 6, 9, 11, 12, 13]
Iter#2011 New set #800 of size 7 (2.5 its/hit = 0.000s/hit): seed=1395436889570123413 [0, 3, 4, 6, 8, 9, 11]
Iter#2285 New set #900 of size 7 (2.5 its/hit = 0.000s/hit): seed=15129122195279592933 [0, 3, 4, 6, 8, 9, 11]
Iter#2540 New set #1000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2357185373822887040 [0, 3, 4, 6, 8, 9, 11]
Iter#5057 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6726689890311686157 [0, 2, 3, 5, 10, 14, 15]
Iter#7536 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15590101941899777467 [0, 2, 3, 8, 11, 14, 15]
Iter#10091 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16525726423891861395 [0, 2, 3, 5, 10, 14, 15]
Iter#12580 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16330338974718292859 [2, 4, 6, 7, 9, 11, 12]
Iter#15103 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3467480365072802311 [2, 4, 6, 7, 9, 11, 12]
Iter#17545 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9939574844813793702 [0, 4, 5, 10, 12, 13, 15]
Iter#20146 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5459480754019207291 [0, 4, 5, 10, 12, 13, 15]
Iter#22576 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10294402714423031699 [0, 2, 3, 5, 10, 14, 15]
Iter#25127 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11515853995187520180 [0, 3, 4, 6, 8, 9, 11]
Iter#49978 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17867057086166310104 [0, 3, 4, 6, 8, 9, 11]
Iter#75026 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11952453038053441429 [0, 3, 4, 6, 8, 9, 11]
Iter#100124 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2780740707861405120 [2, 4, 5, 7, 9, 12, 13]
Iter#125299 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5669180161846201564 [0, 2, 3, 8, 11, 14, 15]
Iter#150090 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3372404087239253795 [0, 2, 3, 8, 11, 14, 15]
Iter#174864 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2820184403036675797 [2, 4, 6, 7, 9, 11, 12]
Iter#199741 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6487222273160369079 [2, 3, 7, 9, 12, 14, 15]
Iter#224741 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5866273829362997434 [2, 4, 5, 7, 9, 12, 13]
Iter#249538 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7382689386152375029 [0, 2, 3, 5, 10, 14, 15]
Iter#499000 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4618830637282757181 [0, 3, 4, 6, 8, 9, 11]
Iter#747408 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=553379540901509611 [4, 5, 6, 9, 11, 12, 13]
Iter#996534 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7547780754014841533 [0, 4, 5, 10, 12, 13, 15]
Iter#1244871 New set #500000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9472719640131988049 [2, 4, 5, 7, 9, 12, 13]
Iter#1493083 New set #600000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15112087851451941024 [0, 3, 5, 8, 10, 11, 15]
Iter#1741026 New set #700000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5686776824904552740 [2, 4, 6, 7, 9, 11, 12]
Iter#1990130 New set #800000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12927117778234787465 [0, 2, 3, 5, 10, 14, 15]
Iter#2239479 New set #900000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12117810617163040503 [2, 3, 7, 9, 12, 14, 15]
Iter#2488405 New set #1000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16660625922412931415 [0, 4, 5, 10, 12, 13, 15]
Iter#4978320 New set #2000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9636752777675936292 [0, 2, 3, 5, 10, 14, 15]
Iter#7468853 New set #3000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12913209188579196481 [0, 4, 5, 10, 12, 13, 15]
Iter#9957969 New set #4000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3283153837307461650 [2, 4, 5, 7, 9, 12, 13]
Iter#12448025 New set #5000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1654046476749645498 [4, 5, 6, 9, 11, 12, 13]
Iter#14935872 New set #6000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=441581428070236395 [0, 3, 5, 8, 10, 11, 15]
Iter#17425233 New set #7000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=519446423948218568 [0, 4, 5, 10, 12, 13, 15]
Iter#19912934 New set #8000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11740571156315884455 [2, 4, 5, 7, 9, 12, 13]
Iter#22403396 New set #9000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2730943980174738398 [0, 3, 5, 8, 10, 11, 15]
Iter#24890825 New set #10000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9135127207162718741 [0, 3, 4, 6, 8, 9, 11]
Iter#49784487 New set #20000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14327968714143378271 [0, 3, 4, 6, 8, 9, 11]
Iter#74675799 New set #30000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14520618579181927018 [4, 5, 6, 9, 11, 12, 13]
Iter#99559313 New set #40000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11018967472125331663 [0, 2, 3, 5, 10, 14, 15]
Iter#124438656 New set #50000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13901287055905653816 [2, 4, 6, 7, 9, 11, 12]
Iter#149330906 New set #60000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1805773486385914542 [0, 3, 5, 8, 10, 11, 15]
