[*] Computing DDT
[+] DDT Computed
DDT took 46.593µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=7498279800657717918 [4, 6, 7, 8, 11, 12]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=15714164072984020001 [4, 5, 7, 8, 11, 14]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=6627334128450762635 [0, 4, 10, 12, 13, 15]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=17212197930122952739 [2, 4, 7, 8, 9, 11]
Iter#5 New set #1 of size 7 (5.0 its/hit = 0.000s/hit): seed=2053153648348891962 [0, 1, 5, 9, 10, 11, 12]
Iter#7 New set #2 of size 7 (3.5 its/hit = 0.000s/hit): seed=13763514421679955430 [0, 1, 4, 7, 8, 10, 11]
Iter#9 New set #3 of size 7 (3.0 its/hit = 0.000s/hit): seed=15832407305336654845 [4, 6, 7, 8, 11, 14, 15]
Iter#14 New set #4 of size 7 (3.5 its/hit = 0.000s/hit): seed=12186285247393796304 [2, 6, 7, 9, 13, 14, 15]
Iter#16 New set #5 of size 7 (3.2 its/hit = 0.000s/hit): seed=17198885328856155886 [0, 2, 5, 6, 9, 12, 13]
Iter#32 New set #6 of size 7 (5.3 its/hit = 0.000s/hit): seed=13836346963467090692 [2, 6, 7, 9, 13, 14, 15]
Iter#38 New set #7 of size 7 (5.4 its/hit = 0.000s/hit): seed=18128556212850785026 [0, 1, 5, 9, 10, 11, 12]
Iter#45 New set #8 of size 7 (5.6 its/hit = 0.000s/hit): seed=10566523393403580121 [0, 1, 4, 7, 8, 10, 11]
Iter#46 New set #9 of size 7 (5.1 its/hit = 0.000s/hit): seed=1903858981636137525 [4, 6, 7, 8, 11, 14, 15]
Iter#47 New set #10 of size 7 (4.7 its/hit = 0.000s/hit): seed=7762525446399794245 [0, 2, 5, 6, 9, 12, 13]
Iter#86 New set #20 of size 7 (4.3 its/hit = 0.000s/hit): seed=6670418391993962722 [0, 2, 5, 6, 9, 12, 13]
Iter#144 New set #30 of size 7 (4.8 its/hit = 0.000s/hit): seed=18106051491712546757 [4, 6, 7, 8, 11, 14, 15]
Iter#186 New set #40 of size 7 (4.7 its/hit = 0.000s/hit): seed=1611302758906439153 [4, 6, 7, 8, 11, 14, 15]
Iter#235 New set #50 of size 7 (4.7 its/hit = 0.000s/hit): seed=6463728367639294270 [0, 1, 5, 9, 10, 11, 12]
Iter#256 New set #60 of size 7 (4.3 its/hit = 0.000s/hit): seed=4698402067254131024 [2, 6, 7, 9, 13, 14, 15]
Iter#291 New set #70 of size 7 (4.2 its/hit = 0.000s/hit): seed=16602812494725571890 [0, 1, 5, 9, 10, 11, 12]
Iter#324 New set #80 of size 7 (4.1 its/hit = 0.000s/hit): seed=8158348062441339079 [0, 1, 5, 9, 10, 11, 12]
Iter#354 New set #90 of size 7 (3.9 its/hit = 0.000s/hit): seed=2206659802208691615 [2, 6, 7, 9, 13, 14, 15]
Iter#402 New set #100 of size 7 (4.0 its/hit = 0.000s/hit): seed=4973778555562768010 [4, 6, 7, 8, 11, 14, 15]
Iter#799 New set #200 of size 7 (4.0 its/hit = 0.000s/hit): seed=18112559134486147259 [2, 6, 7, 9, 13, 14, 15]
Iter#1158 New set #300 of size 7 (3.9 its/hit = 0.000s/hit): seed=17602329498185435548 [4, 6, 7, 8, 11, 14, 15]
