[*] Computing DDT
[+] DDT Computed
DDT took 36.501µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=13011364546111877072 [0, 1, 2, 4, 8, 11]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=12187338632019915144 [3, 5, 6, 7, 8, 12]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=8550641401567781349 [0, 1, 4, 6, 10, 12]
Iter#4 New set #1 of size 7 (4.0 its/hit = 0.000s/hit): seed=16716019228598483115 [1, 2, 5, 8, 10, 11, 13]
Iter#10 New set #2 of size 7 (5.0 its/hit = 0.000s/hit): seed=15725432954666315900 [2, 4, 5, 7, 9, 10, 13]
Iter#12 New set #3 of size 7 (4.0 its/hit = 0.000s/hit): seed=5758825704784291699 [1, 2, 3, 8, 11, 14, 15]
Iter#15 New set #4 of size 7 (3.8 its/hit = 0.000s/hit): seed=1629703046492416568 [0, 4, 6, 7, 9, 10, 12]
Iter#19 New set #5 of size 7 (3.8 its/hit = 0.000s/hit): seed=15761076509197489173 [0, 2, 5, 6, 10, 12, 13]
Iter#21 New set #6 of size 7 (3.5 its/hit = 0.000s/hit): seed=3332483577395896399 [0, 2, 5, 6, 10, 12, 13]
Iter#22 New set #7 of size 7 (3.1 its/hit = 0.000s/hit): seed=11003553693112987698 [2, 3, 7, 8, 12, 14, 15]
Iter#23 New set #8 of size 7 (2.9 its/hit = 0.000s/hit): seed=2904633047047115372 [1, 2, 3, 8, 11, 14, 15]
Iter#24 New set #9 of size 7 (2.7 its/hit = 0.000s/hit): seed=1084689664970146391 [0, 3, 6, 7, 8, 10, 12]
Iter#27 New set #10 of size 7 (2.7 its/hit = 0.000s/hit): seed=15110501184483629410 [2, 3, 5, 10, 13, 14, 15]
Iter#42 New set #20 of size 7 (2.1 its/hit = 0.000s/hit): seed=13968038932252977308 [3, 4, 7, 8, 9, 10, 12]
Iter#58 New set #30 of size 7 (1.9 its/hit = 0.000s/hit): seed=11914266743372207098 [3, 4, 7, 8, 9, 10, 12]
Iter#73 New set #40 of size 7 (1.8 its/hit = 0.000s/hit): seed=6637376584173508720 [3, 4, 7, 8, 9, 10, 12]
Iter#98 New set #50 of size 7 (2.0 its/hit = 0.000s/hit): seed=16409804189701302466 [1, 2, 3, 8, 11, 14, 15]
Iter#135 New set #60 of size 7 (2.2 its/hit = 0.000s/hit): seed=13930255235868306715 [0, 3, 6, 7, 8, 10, 12]
Iter#169 New set #70 of size 7 (2.4 its/hit = 0.000s/hit): seed=17292178815590971754 [0, 2, 5, 6, 10, 12, 13]
Iter#186 New set #80 of size 7 (2.3 its/hit = 0.000s/hit): seed=14490165187156438517 [1, 2, 3, 8, 11, 14, 15]
Iter#210 New set #90 of size 7 (2.3 its/hit = 0.000s/hit): seed=15001572860892192670 [2, 4, 5, 7, 9, 10, 13]
Iter#228 New set #100 of size 7 (2.3 its/hit = 0.000s/hit): seed=13239331406623020495 [2, 3, 5, 10, 13, 14, 15]
Iter#466 New set #200 of size 7 (2.3 its/hit = 0.000s/hit): seed=1968188369948482671 [0, 4, 6, 7, 9, 10, 12]
Iter#675 New set #300 of size 7 (2.2 its/hit = 0.000s/hit): seed=2362528361258449194 [2, 3, 7, 8, 12, 14, 15]
Iter#910 New set #400 of size 7 (2.3 its/hit = 0.000s/hit): seed=17777819269230455426 [2, 4, 5, 7, 9, 10, 13]
Iter#1125 New set #500 of size 7 (2.2 its/hit = 0.000s/hit): seed=5056392609249923642 [2, 3, 7, 8, 12, 14, 15]
Iter#1342 New set #600 of size 7 (2.2 its/hit = 0.000s/hit): seed=13490153652172653436 [2, 3, 5, 10, 13, 14, 15]
Iter#1580 New set #700 of size 7 (2.3 its/hit = 0.000s/hit): seed=13599893524109430234 [0, 4, 6, 7, 9, 10, 12]
Iter#1807 New set #800 of size 7 (2.3 its/hit = 0.000s/hit): seed=15172399126050632835 [1, 2, 5, 8, 10, 11, 13]
Iter#2025 New set #900 of size 7 (2.2 its/hit = 0.000s/hit): seed=2216190144304614830 [1, 2, 3, 8, 11, 14, 15]
Iter#2253 New set #1000 of size 7 (2.3 its/hit = 0.000s/hit): seed=16245984797780365561 [0, 2, 5, 6, 10, 12, 13]
Iter#4445 New set #2000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10873851614596746573 [1, 2, 5, 8, 10, 11, 13]
Iter#6639 New set #3000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1313493100774752211 [0, 4, 6, 7, 9, 10, 12]
Iter#8869 New set #4000 of size 7 (2.2 its/hit = 0.000s/hit): seed=5859594865262441343 [2, 3, 5, 10, 13, 14, 15]
Iter#11077 New set #5000 of size 7 (2.2 its/hit = 0.000s/hit): seed=8223697805199128975 [3, 4, 7, 8, 9, 10, 12]
Iter#13231 New set #6000 of size 7 (2.2 its/hit = 0.000s/hit): seed=5796102231702716747 [0, 4, 6, 7, 9, 10, 12]
Iter#15480 New set #7000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12530327138463265424 [2, 4, 5, 7, 9, 10, 13]
Iter#17689 New set #8000 of size 7 (2.2 its/hit = 0.000s/hit): seed=16755011477226551555 [1, 2, 3, 8, 11, 14, 15]
Iter#19834 New set #9000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1144996116640534448 [3, 4, 7, 8, 9, 10, 12]
Iter#22087 New set #10000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13522556436254016115 [0, 3, 6, 7, 8, 10, 12]
Iter#44237 New set #20000 of size 7 (2.2 its/hit = 0.000s/hit): seed=6791137788381676842 [3, 4, 7, 8, 9, 10, 12]
Iter#66361 New set #30000 of size 7 (2.2 its/hit = 0.000s/hit): seed=8440868141873624487 [0, 4, 6, 7, 9, 10, 12]
Iter#88240 New set #40000 of size 7 (2.2 its/hit = 0.000s/hit): seed=8337429439402346152 [3, 4, 7, 8, 9, 10, 12]
Iter#110540 New set #50000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13782982746630055876 [0, 4, 6, 7, 9, 10, 12]
Iter#132465 New set #60000 of size 7 (2.2 its/hit = 0.000s/hit): seed=17221379953849693003 [1, 2, 3, 8, 11, 14, 15]
Iter#154524 New set #70000 of size 7 (2.2 its/hit = 0.000s/hit): seed=1588848850852359774 [2, 4, 5, 7, 9, 10, 13]
Iter#176489 New set #80000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15685780229469591864 [1, 2, 5, 8, 10, 11, 13]
Iter#198666 New set #90000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13808191317636300099 [2, 4, 5, 7, 9, 10, 13]
Iter#220725 New set #100000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12851795140967512176 [3, 4, 7, 8, 9, 10, 12]
Iter#441507 New set #200000 of size 7 (2.2 its/hit = 0.000s/hit): seed=6322311826982658678 [1, 2, 3, 8, 11, 14, 15]
Iter#661884 New set #300000 of size 7 (2.2 its/hit = 0.000s/hit): seed=7963400904483806407 [0, 2, 5, 6, 10, 12, 13]
Iter#883423 New set #400000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12257078191053483661 [1, 2, 5, 8, 10, 11, 13]
Iter#1104135 New set #500000 of size 7 (2.2 its/hit = 0.000s/hit): seed=8418218431359097435 [2, 4, 5, 7, 9, 10, 13]
Iter#1324037 New set #600000 of size 7 (2.2 its/hit = 0.000s/hit): seed=12920971802381789117 [2, 3, 5, 10, 13, 14, 15]
Iter#1543914 New set #700000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10257616595305981278 [0, 2, 5, 6, 10, 12, 13]
Iter#1764602 New set #800000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10514294961740170768 [1, 2, 3, 8, 11, 14, 15]
Iter#1984825 New set #900000 of size 7 (2.2 its/hit = 0.000s/hit): seed=17773565379228489794 [1, 2, 5, 8, 10, 11, 13]
Iter#2204365 New set #1000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15138663171345031166 [1, 2, 3, 7, 8, 11, 12]
Iter#4408039 New set #2000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=17105822634034856160 [0, 3, 6, 7, 8, 10, 12]
Iter#6612728 New set #3000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=7333210538017826636 [1, 2, 3, 8, 11, 14, 15]
Iter#8819773 New set #4000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=908261286039462251 [1, 2, 3, 7, 8, 11, 12]
Iter#11025594 New set #5000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=244679261068407272 [2, 3, 5, 10, 13, 14, 15]
Iter#13228940 New set #6000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=14722779633386856980 [1, 2, 3, 7, 8, 11, 12]
Iter#15432300 New set #7000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15443215077141801353 [0, 4, 6, 7, 9, 10, 12]
Iter#17634737 New set #8000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=14564329374995043585 [3, 4, 7, 8, 9, 10, 12]
Iter#19839404 New set #9000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=5621897569060052452 [2, 4, 5, 7, 9, 10, 13]
Iter#22043263 New set #10000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=13068030291626451737 [0, 4, 6, 7, 9, 10, 12]
Iter#44096274 New set #20000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=18365792590331267972 [2, 4, 5, 7, 9, 10, 13]
Iter#66140867 New set #30000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=3911864512782567696 [1, 2, 3, 7, 8, 11, 12]
Iter#88182060 New set #40000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=3241434240918562490 [1, 2, 3, 7, 8, 11, 12]
Iter#110217058 New set #50000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=8420834896347546048 [2, 4, 5, 7, 9, 10, 13]
Iter#132277792 New set #60000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=10707902423486139448 [0, 3, 6, 7, 8, 10, 12]
Iter#154322061 New set #70000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=6232088119379811419 [2, 3, 5, 10, 13, 14, 15]
Iter#176371954 New set #80000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=7011271244243430536 [0, 2, 5, 6, 10, 12, 13]
Iter#198425506 New set #90000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=16091805729070685891 [3, 4, 7, 8, 9, 10, 12]
Iter#220479020 New set #100000000 of size 7 (2.2 its/hit = 0.000s/hit): seed=11603118053900564463 [0, 2, 5, 6, 10, 12, 13]
