[*] Computing DDT
[+] DDT Computed
DDT took 28.771µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=11848904159272724360 [1, 3, 4, 7, 9, 10]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=1725660759726306017 [0, 3, 6, 7, 8, 10]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=6668712601977341889 [1, 2, 5, 8, 10, 11, 14]
Iter#5 New set #2 of size 7 (2.5 its/hit = 0.000s/hit): seed=9565800747409173104 [2, 4, 6, 7, 9, 10, 13]
Iter#8 New set #3 of size 7 (2.7 its/hit = 0.000s/hit): seed=10088157427221847900 [0, 2, 5, 6, 9, 12, 13]
Iter#9 New set #4 of size 7 (2.2 its/hit = 0.000s/hit): seed=15293329514917981434 [2, 3, 6, 9, 13, 14, 15]
Iter#13 New set #5 of size 7 (2.6 its/hit = 0.000s/hit): seed=7462406763430798724 [1, 2, 6, 8, 9, 11, 13]
Iter#14 New set #6 of size 7 (2.3 its/hit = 0.000s/hit): seed=6134512405805313076 [1, 4, 5, 7, 9, 10, 14]
Iter#17 New set #7 of size 7 (2.4 its/hit = 0.000s/hit): seed=4596351212747528236 [1, 2, 3, 8, 11, 14, 15]
Iter#19 New set #8 of size 7 (2.4 its/hit = 0.000s/hit): seed=7599245129668714506 [1, 4, 5, 7, 9, 10, 14]
Iter#20 New set #9 of size 7 (2.2 its/hit = 0.000s/hit): seed=12705984420946104461 [2, 4, 6, 7, 9, 10, 13]
Iter#21 New set #10 of size 7 (2.1 its/hit = 0.000s/hit): seed=12843449527081536199 [1, 4, 5, 7, 9, 10, 14]
Iter#39 New set #20 of size 7 (2.0 its/hit = 0.000s/hit): seed=4121394785667276800 [1, 4, 5, 7, 9, 10, 14]
Iter#64 New set #30 of size 7 (2.1 its/hit = 0.000s/hit): seed=12404994302161515437 [1, 2, 3, 5, 10, 14, 15]
Iter#83 New set #40 of size 7 (2.1 its/hit = 0.000s/hit): seed=5184206635207877093 [0, 2, 5, 6, 9, 12, 13]
Iter#120 New set #50 of size 7 (2.4 its/hit = 0.000s/hit): seed=12037529833488906560 [0, 4, 5, 7, 9, 10, 12]
