[*] Computing DDT
[+] DDT Computed
DDT took 40.391µs
Iter#1 New set #1 of size 5 (1.0 its/hit = 0.000s/hit): seed=15443241780334383450 [3, 4, 6, 7, 13]
Iter#2 New set #1 of size 6 (2.0 its/hit = 0.000s/hit): seed=1156856042138434632 [3, 5, 6, 11, 13, 15]
Iter#3 New set #1 of size 7 (3.0 its/hit = 0.000s/hit): seed=9680401197960167875 [1, 2, 6, 8, 12, 13, 14]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=11094958927332871686 [1, 2, 6, 8, 12, 13, 14]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=13215643000100121739 [1, 2, 3, 5, 11, 13, 14]
Iter#12 New set #4 of size 7 (3.0 its/hit = 0.000s/hit): seed=9496889966272716093 [0, 5, 8, 9, 10, 14, 15]
Iter#13 New set #5 of size 7 (2.6 its/hit = 0.000s/hit): seed=6219558984347812801 [1, 2, 8, 9, 13, 14, 15]
Iter#15 New set #6 of size 7 (2.5 its/hit = 0.000s/hit): seed=9662357774515700067 [1, 2, 8, 9, 13, 14, 15]
Iter#16 New set #7 of size 7 (2.3 its/hit = 0.000s/hit): seed=5190506996735432776 [1, 2, 8, 9, 13, 14, 15]
Iter#22 New set #8 of size 7 (2.8 its/hit = 0.000s/hit): seed=17673535628380729173 [1, 2, 6, 8, 12, 13, 14]
Iter#23 New set #9 of size 7 (2.6 its/hit = 0.000s/hit): seed=4567588317592833978 [0, 3, 5, 7, 11, 12, 13]
Iter#27 New set #10 of size 7 (2.7 its/hit = 0.000s/hit): seed=6822597389402366375 [0, 2, 6, 7, 8, 11, 12]
Iter#38 New set #20 of size 7 (1.9 its/hit = 0.000s/hit): seed=16138815616472375921 [0, 2, 6, 7, 8, 11, 12]
Iter#55 New set #30 of size 7 (1.8 its/hit = 0.000s/hit): seed=8869260284811100042 [1, 2, 8, 9, 13, 14, 15]
Iter#77 New set #40 of size 7 (1.9 its/hit = 0.000s/hit): seed=13703420914041823758 [0, 3, 5, 10, 11, 13, 15]
Iter#107 New set #50 of size 7 (2.1 its/hit = 0.000s/hit): seed=16265665466812111071 [1, 2, 3, 5, 11, 13, 14]
Iter#145 New set #60 of size 7 (2.4 its/hit = 0.000s/hit): seed=3685829145116849736 [1, 2, 8, 9, 13, 14, 15]
Iter#165 New set #70 of size 7 (2.4 its/hit = 0.000s/hit): seed=6930802570567584193 [1, 2, 8, 9, 13, 14, 15]
Iter#192 New set #80 of size 7 (2.4 its/hit = 0.000s/hit): seed=14117251752319593116 [1, 2, 6, 8, 12, 13, 14]
Iter#225 New set #90 of size 7 (2.5 its/hit = 0.000s/hit): seed=10068135970125134439 [0, 2, 6, 7, 8, 11, 12]
Iter#257 New set #100 of size 7 (2.6 its/hit = 0.000s/hit): seed=1314621228672028587 [0, 5, 8, 9, 10, 14, 15]
Iter#507 New set #200 of size 7 (2.5 its/hit = 0.000s/hit): seed=2341008228711541290 [0, 5, 8, 9, 10, 14, 15]
Iter#757 New set #300 of size 7 (2.5 its/hit = 0.000s/hit): seed=12902126269136562118 [0, 5, 8, 9, 10, 14, 15]
Iter#990 New set #400 of size 7 (2.5 its/hit = 0.000s/hit): seed=9741506106840747578 [0, 3, 5, 10, 11, 13, 15]
Iter#1222 New set #500 of size 7 (2.4 its/hit = 0.000s/hit): seed=5484887049381372622 [0, 2, 6, 7, 8, 11, 12]
Iter#1459 New set #600 of size 7 (2.4 its/hit = 0.000s/hit): seed=5889284183719416301 [0, 5, 7, 10, 11, 12, 15]
Iter#1730 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=10839560868830875760 [0, 5, 8, 9, 10, 14, 15]
Iter#2027 New set #800 of size 7 (2.5 its/hit = 0.000s/hit): seed=11069028503164342231 [0, 3, 5, 10, 11, 13, 15]
Iter#2254 New set #900 of size 7 (2.5 its/hit = 0.000s/hit): seed=16728218923455774628 [0, 3, 5, 7, 11, 12, 13]
Iter#2501 New set #1000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7139608006913517470 [0, 5, 7, 10, 11, 12, 15]
Iter#5040 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6733749558845445472 [1, 2, 3, 5, 11, 13, 14]
Iter#7492 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4020732101568227334 [0, 2, 6, 7, 8, 11, 12]
Iter#9939 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4149665149996171455 [1, 2, 8, 9, 13, 14, 15]
Iter#12400 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16271885587493873756 [0, 5, 7, 10, 11, 12, 15]
Iter#14802 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18045083803190690811 [0, 5, 8, 9, 10, 14, 15]
Iter#17281 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4544424735179388792 [1, 2, 6, 8, 12, 13, 14]
Iter#19824 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13792504414687479721 [0, 3, 5, 10, 11, 13, 15]
Iter#22252 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12964833683871276423 [0, 3, 5, 10, 11, 13, 15]
Iter#24830 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4777185334014149370 [1, 2, 3, 5, 11, 13, 14]
Iter#49650 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=681468924231130791 [1, 2, 8, 9, 13, 14, 15]
Iter#74248 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2989905290371524511 [1, 2, 6, 8, 12, 13, 14]
Iter#99249 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14292384506292763949 [1, 2, 8, 9, 13, 14, 15]
Iter#124134 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10623224832289546715 [0, 5, 7, 10, 11, 12, 15]
Iter#149035 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18110339801290527055 [0, 2, 6, 7, 8, 11, 12]
Iter#173951 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8136658632327178885 [0, 3, 5, 10, 11, 13, 15]
Iter#199123 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4755497455683288759 [1, 2, 3, 5, 11, 13, 14]
Iter#223609 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4251149011911365110 [0, 5, 8, 9, 10, 14, 15]
Iter#248661 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15979052966941551842 [1, 2, 6, 8, 12, 13, 14]
Iter#497165 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1346969666636804492 [0, 5, 8, 9, 10, 14, 15]
Iter#746093 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13786822225478125051 [2, 6, 8, 9, 12, 14, 15]
Iter#994609 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3018742464270915757 [2, 6, 8, 9, 12, 14, 15]
Iter#1243328 New set #500000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5749901450118098298 [0, 3, 5, 7, 11, 12, 13]
Iter#1492057 New set #600000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16448679592024086091 [1, 2, 6, 8, 12, 13, 14]
Iter#1741057 New set #700000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12296444745348161428 [0, 3, 5, 10, 11, 13, 15]
Iter#1990736 New set #800000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2567804130980240297 [1, 2, 3, 5, 11, 13, 14]
Iter#2239254 New set #900000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7618840531155204205 [0, 5, 8, 9, 10, 14, 15]
Iter#2489171 New set #1000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1722245743962606122 [0, 5, 7, 10, 11, 12, 15]
Iter#4976951 New set #2000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5786732589630318473 [1, 2, 6, 8, 12, 13, 14]
Iter#7465355 New set #3000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1798147325548732 [0, 3, 5, 7, 11, 12, 13]
Iter#9951738 New set #4000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1638484913674071668 [0, 2, 6, 7, 8, 11, 12]
Iter#12436793 New set #5000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4453011937832183875 [0, 5, 7, 10, 11, 12, 15]
Iter#14923539 New set #6000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1859989092689922498 [0, 5, 7, 10, 11, 12, 15]
Iter#17415232 New set #7000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11222144895629237174 [0, 3, 5, 10, 11, 13, 15]
Iter#19905213 New set #8000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15151966405696189969 [1, 2, 3, 5, 11, 13, 14]
Iter#22395337 New set #9000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3481039717353024266 [2, 6, 8, 9, 12, 14, 15]
Iter#24888323 New set #10000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3009740780867549161 [0, 5, 7, 10, 11, 12, 15]
Iter#49775477 New set #20000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=60381799148961145 [0, 3, 5, 10, 11, 13, 15]
Iter#74662429 New set #30000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18290736855370904259 [1, 2, 6, 8, 12, 13, 14]
Iter#99542340 New set #40000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=335119561801248648 [2, 6, 8, 9, 12, 14, 15]
Iter#124430414 New set #50000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10383117544447896109 [1, 2, 3, 5, 11, 13, 14]
Iter#149304126 New set #60000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13205796304535549128 [0, 5, 8, 9, 10, 14, 15]
Iter#174195552 New set #70000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10434895056454966763 [0, 5, 8, 9, 10, 14, 15]
Iter#199083202 New set #80000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16458795388945275214 [1, 2, 6, 8, 12, 13, 14]
Iter#223959430 New set #90000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13248894664142871730 [0, 3, 5, 7, 11, 12, 13]
Iter#248858353 New set #100000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5447216907207704012 [1, 2, 8, 9, 13, 14, 15]
