[*] Computing DDT
[+] DDT Computed
DDT took 43.281µs
Iter#1 New set #1 of size 5 (1.0 its/hit = 0.000s/hit): seed=18121146979384335851 [1, 4, 12, 13, 15]
Iter#2 New set #1 of size 6 (2.0 its/hit = 0.000s/hit): seed=1917660722505121263 [2, 3, 5, 6, 8, 9]
Iter#3 New set #2 of size 6 (1.5 its/hit = 0.000s/hit): seed=17488926568405818307 [1, 3, 8, 11, 12, 13]
Iter#4 New set #3 of size 6 (1.3 its/hit = 0.000s/hit): seed=4894535847689200155 [1, 6, 7, 10, 11, 15]
Iter#5 New set #1 of size 7 (5.0 its/hit = 0.000s/hit): seed=9196873952412513952 [0, 1, 3, 5, 7, 9, 14]
Iter#9 New set #2 of size 7 (4.5 its/hit = 0.000s/hit): seed=5627953894220396025 [0, 1, 3, 5, 7, 9, 14]
Iter#11 New set #3 of size 7 (3.7 its/hit = 0.000s/hit): seed=15316878934343463924 [0, 6, 7, 9, 10, 11, 14]
Iter#13 New set #4 of size 7 (3.2 its/hit = 0.000s/hit): seed=3732988998429055984 [0, 4, 6, 7, 9, 12, 14]
Iter#15 New set #5 of size 7 (3.0 its/hit = 0.000s/hit): seed=8300285963908448857 [0, 1, 3, 5, 7, 9, 14]
Iter#16 New set #6 of size 7 (2.7 its/hit = 0.000s/hit): seed=10089778004046298256 [0, 6, 7, 9, 10, 11, 14]
Iter#19 New set #7 of size 7 (2.7 its/hit = 0.000s/hit): seed=5621343206008026708 [0, 4, 6, 7, 9, 12, 14]
Iter#22 New set #8 of size 7 (2.8 its/hit = 0.000s/hit): seed=6544250055202208862 [0, 4, 6, 7, 9, 12, 14]
Iter#25 New set #9 of size 7 (2.8 its/hit = 0.000s/hit): seed=6019266775007635902 [4, 6, 7, 10, 11, 12, 14]
Iter#30 New set #10 of size 7 (3.0 its/hit = 0.000s/hit): seed=6465824321025138364 [0, 6, 7, 9, 10, 11, 14]
Iter#67 New set #20 of size 7 (3.3 its/hit = 0.000s/hit): seed=1474219337792616586 [1, 2, 3, 5, 7, 8, 9]
Iter#108 New set #30 of size 7 (3.6 its/hit = 0.000s/hit): seed=13007018455826689284 [4, 6, 7, 10, 11, 12, 14]
Iter#153 New set #40 of size 7 (3.8 its/hit = 0.000s/hit): seed=562308272296019241 [4, 6, 7, 10, 11, 12, 14]
Iter#187 New set #50 of size 7 (3.7 its/hit = 0.000s/hit): seed=541738322378809667 [1, 3, 5, 6, 7, 10, 11]
Iter#214 New set #60 of size 7 (3.6 its/hit = 0.000s/hit): seed=13573132475353301826 [4, 6, 7, 10, 11, 12, 14]
Iter#247 New set #70 of size 7 (3.5 its/hit = 0.000s/hit): seed=13476038635488502221 [0, 1, 3, 5, 7, 9, 14]
Iter#273 New set #80 of size 7 (3.4 its/hit = 0.000s/hit): seed=289576459181836241 [0, 6, 7, 9, 10, 11, 14]
Iter#306 New set #90 of size 7 (3.4 its/hit = 0.000s/hit): seed=4415235858845618692 [0, 4, 6, 7, 9, 12, 14]
