[*] Computing DDT
[+] DDT Computed
DDT took 30.061µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=9210306343043568698 [0, 5, 7, 10, 11, 15]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=16726206209506635999 [0, 1, 2, 3, 5, 10, 15]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=14995652046916216185 [0, 1, 2, 3, 6, 11, 13]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=13081536610499234899 [0, 1, 2, 3, 5, 10, 15]
Iter#5 New set #4 of size 7 (1.2 its/hit = 0.000s/hit): seed=3636903342425891614 [0, 5, 6, 10, 11, 13, 15]
Iter#6 New set #5 of size 7 (1.2 its/hit = 0.000s/hit): seed=11454867578026929792 [0, 1, 2, 3, 4, 8, 12]
Iter#7 New set #6 of size 7 (1.2 its/hit = 0.000s/hit): seed=7535020053740912496 [0, 6, 7, 9, 11, 13, 14]
Iter#8 New set #7 of size 7 (1.1 its/hit = 0.000s/hit): seed=3345520387116715377 [0, 1, 2, 3, 6, 11, 13]
Iter#11 New set #8 of size 7 (1.4 its/hit = 0.000s/hit): seed=4186732463870929041 [0, 1, 2, 3, 5, 10, 15]
Iter#13 New set #9 of size 7 (1.4 its/hit = 0.000s/hit): seed=10178352790312478167 [0, 4, 7, 8, 9, 12, 14]
Iter#16 New set #10 of size 7 (1.6 its/hit = 0.000s/hit): seed=11558975911500264695 [0, 4, 6, 8, 11, 12, 13]
Iter#33 New set #20 of size 7 (1.6 its/hit = 0.000s/hit): seed=7016482469724145528 [0, 1, 2, 3, 7, 9, 14]
Iter#51 New set #30 of size 7 (1.7 its/hit = 0.000s/hit): seed=17776929228177207124 [0, 5, 7, 9, 10, 14, 15]
Iter#70 New set #40 of size 7 (1.8 its/hit = 0.000s/hit): seed=6905681902082166517 [0, 1, 2, 3, 5, 10, 15]
Iter#90 New set #50 of size 7 (1.8 its/hit = 0.000s/hit): seed=7754244031717553062 [0, 1, 2, 3, 7, 9, 14]
Iter#105 New set #60 of size 7 (1.8 its/hit = 0.000s/hit): seed=511130860362016718 [0, 1, 2, 3, 6, 11, 13]
Iter#128 New set #70 of size 7 (1.8 its/hit = 0.000s/hit): seed=8653676076881500992 [0, 6, 7, 9, 11, 13, 14]
Iter#144 New set #80 of size 7 (1.8 its/hit = 0.000s/hit): seed=1660198262309322181 [0, 4, 5, 8, 10, 12, 15]
Iter#162 New set #90 of size 7 (1.8 its/hit = 0.000s/hit): seed=549089627975024738 [0, 1, 2, 3, 7, 9, 14]
Iter#182 New set #100 of size 7 (1.8 its/hit = 0.000s/hit): seed=11089966848055060812 [0, 1, 2, 3, 5, 10, 15]
Iter#388 New set #200 of size 7 (1.9 its/hit = 0.000s/hit): seed=15295874071983614153 [0, 4, 7, 8, 9, 12, 14]
