[*] Computing DDT
[+] DDT Computed
DDT took 80.853µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=7049662477340586578 [0, 1, 7, 8, 12, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=10949192390164082648 [1, 2, 3, 6, 7, 8, 10]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=9208060903048454829 [4, 5, 7, 8, 9, 13, 15]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=16062222402661733727 [0, 2, 4, 5, 8, 9, 11]
Iter#5 New set #4 of size 7 (1.2 its/hit = 0.000s/hit): seed=1355484118220910736 [0, 2, 3, 6, 7, 9, 11]
Iter#6 New set #5 of size 7 (1.2 its/hit = 0.000s/hit): seed=3130421747430161260 [2, 3, 5, 6, 7, 13, 15]
Iter#7 New set #6 of size 7 (1.2 its/hit = 0.000s/hit): seed=15809396701927265388 [0, 1, 5, 7, 12, 13, 15]
Iter#9 New set #7 of size 7 (1.3 its/hit = 0.000s/hit): seed=12440308217528763267 [0, 1, 3, 8, 10, 12, 13]
Iter#11 New set #8 of size 7 (1.4 its/hit = 0.000s/hit): seed=18293205009143558808 [4, 5, 7, 8, 9, 13, 15]
Iter#12 New set #9 of size 7 (1.3 its/hit = 0.000s/hit): seed=4013085783839136965 [2, 3, 5, 6, 7, 13, 15]
Iter#13 New set #10 of size 7 (1.3 its/hit = 0.000s/hit): seed=5704162705593566259 [0, 1, 5, 7, 12, 13, 15]
Iter#25 New set #20 of size 7 (1.2 its/hit = 0.000s/hit): seed=17548757884972503491 [2, 3, 5, 6, 7, 13, 15]
Iter#36 New set #30 of size 7 (1.2 its/hit = 0.000s/hit): seed=13023168612590102638 [1, 3, 8, 10, 11, 14, 15]
Iter#46 New set #40 of size 7 (1.1 its/hit = 0.000s/hit): seed=3046595898270229942 [0, 1, 5, 7, 12, 13, 15]
Iter#58 New set #50 of size 7 (1.2 its/hit = 0.000s/hit): seed=11527439715704102566 [4, 5, 6, 8, 9, 12, 14]
Iter#73 New set #60 of size 7 (1.2 its/hit = 0.000s/hit): seed=2799930180448315922 [0, 1, 4, 6, 12, 13, 14]
Iter#86 New set #70 of size 7 (1.2 its/hit = 0.000s/hit): seed=2801516325414572219 [0, 1, 3, 8, 10, 12, 13]
Iter#97 New set #80 of size 7 (1.2 its/hit = 0.000s/hit): seed=5828893291877350857 [0, 1, 2, 9, 11, 12, 13]
Iter#107 New set #90 of size 7 (1.2 its/hit = 0.000s/hit): seed=14959959894673014657 [0, 1, 2, 9, 11, 12, 13]
Iter#123 New set #100 of size 7 (1.2 its/hit = 0.000s/hit): seed=15981230429969724382 [1, 2, 3, 6, 7, 8, 10]
Iter#245 New set #200 of size 7 (1.2 its/hit = 0.000s/hit): seed=17338500171205695591 [0, 1, 2, 9, 11, 12, 13]
Iter#357 New set #300 of size 7 (1.2 its/hit = 0.000s/hit): seed=13506502557743157506 [5, 7, 10, 11, 13, 14, 15]
Iter#480 New set #400 of size 7 (1.2 its/hit = 0.000s/hit): seed=8667628555186439652 [4, 6, 10, 11, 12, 14, 15]
Iter#594 New set #500 of size 7 (1.2 its/hit = 0.000s/hit): seed=1420753593536186913 [1, 2, 3, 6, 7, 8, 10]
Iter#715 New set #600 of size 7 (1.2 its/hit = 0.000s/hit): seed=15020417167510038809 [4, 5, 6, 8, 9, 12, 14]
Iter#837 New set #700 of size 7 (1.2 its/hit = 0.000s/hit): seed=5516500003805672585 [0, 1, 2, 9, 11, 12, 13]
Iter#958 New set #800 of size 7 (1.2 its/hit = 0.000s/hit): seed=7701304059259153241 [0, 2, 9, 10, 11, 14, 15]
Iter#1080 New set #900 of size 7 (1.2 its/hit = 0.000s/hit): seed=14471521930347583001 [0, 1, 4, 6, 12, 13, 14]
Iter#1205 New set #1000 of size 7 (1.2 its/hit = 0.000s/hit): seed=7052861271418637852 [0, 1, 4, 6, 12, 13, 14]
Iter#2414 New set #2000 of size 7 (1.2 its/hit = 0.000s/hit): seed=494255565971911225 [0, 1, 5, 7, 12, 13, 15]
Iter#3625 New set #3000 of size 7 (1.2 its/hit = 0.000s/hit): seed=10300347541497524768 [0, 2, 4, 5, 8, 9, 11]
Iter#4860 New set #4000 of size 7 (1.2 its/hit = 0.000s/hit): seed=7307699333726362393 [4, 6, 10, 11, 12, 14, 15]
Iter#6070 New set #5000 of size 7 (1.2 its/hit = 0.000s/hit): seed=5418830921048688167 [1, 3, 4, 5, 8, 9, 10]
Iter#7266 New set #6000 of size 7 (1.2 its/hit = 0.000s/hit): seed=615023613667840999 [1, 3, 8, 10, 11, 14, 15]
Iter#8462 New set #7000 of size 7 (1.2 its/hit = 0.000s/hit): seed=8715258381649004173 [0, 1, 5, 7, 12, 13, 15]
Iter#9657 New set #8000 of size 7 (1.2 its/hit = 0.000s/hit): seed=17637741609201950100 [4, 5, 6, 8, 9, 12, 14]
Iter#10844 New set #9000 of size 7 (1.2 its/hit = 0.000s/hit): seed=5663673088668085703 [0, 1, 5, 7, 12, 13, 15]
