[*] Computing DDT
[+] DDT Computed
DDT took 42.111µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=3943479877079725167 [0, 4, 6, 7, 8, 13]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=10214117230237061453 [3, 4, 8, 10, 11, 14, 15]
Iter#3 New set #2 of size 7 (1.5 its/hit = 0.000s/hit): seed=13525665906765901540 [2, 4, 7, 9, 11, 12, 13]
Iter#4 New set #3 of size 7 (1.3 its/hit = 0.000s/hit): seed=11339327661308842699 [1, 2, 3, 5, 7, 9, 12]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=11340579138970906347 [5, 6, 9, 10, 11, 14, 15]
Iter#7 New set #5 of size 7 (1.4 its/hit = 0.000s/hit): seed=4111312610517724128 [1, 2, 3, 5, 7, 9, 12]
Iter#9 New set #6 of size 7 (1.5 its/hit = 0.000s/hit): seed=2619111587615317796 [1, 3, 5, 6, 7, 9, 10]
Iter#13 New set #7 of size 7 (1.9 its/hit = 0.000s/hit): seed=412647227682697158 [1, 2, 3, 5, 7, 9, 12]
Iter#15 New set #8 of size 7 (1.9 its/hit = 0.000s/hit): seed=11094733474033272078 [1, 3, 4, 5, 7, 8, 15]
Iter#16 New set #9 of size 7 (1.8 its/hit = 0.000s/hit): seed=1075702510611916793 [1, 3, 4, 5, 7, 8, 15]
Iter#17 New set #10 of size 7 (1.7 its/hit = 0.000s/hit): seed=4774882974668606225 [2, 4, 10, 11, 13, 14, 15]
Iter#40 New set #20 of size 7 (2.0 its/hit = 0.000s/hit): seed=2106105685556519289 [3, 4, 8, 10, 11, 14, 15]
Iter#59 New set #30 of size 7 (2.0 its/hit = 0.000s/hit): seed=27505291125636960 [1, 3, 5, 6, 7, 9, 10]
Iter#81 New set #40 of size 7 (2.0 its/hit = 0.000s/hit): seed=426765790877982668 [1, 2, 3, 5, 7, 9, 12]
Iter#105 New set #50 of size 7 (2.1 its/hit = 0.000s/hit): seed=12297666911844556810 [1, 3, 5, 6, 7, 9, 10]
Iter#133 New set #60 of size 7 (2.2 its/hit = 0.000s/hit): seed=17682848771828232552 [2, 4, 7, 9, 11, 12, 13]
Iter#161 New set #70 of size 7 (2.3 its/hit = 0.000s/hit): seed=10590532322783441995 [1, 3, 4, 5, 7, 8, 15]
Iter#188 New set #80 of size 7 (2.3 its/hit = 0.000s/hit): seed=14352513261933882858 [1, 3, 5, 6, 7, 9, 10]
Iter#203 New set #90 of size 7 (2.3 its/hit = 0.000s/hit): seed=6836605751527761226 [2, 3, 4, 8, 11, 13, 15]
Iter#230 New set #100 of size 7 (2.3 its/hit = 0.000s/hit): seed=10030893002109296450 [1, 2, 3, 5, 7, 9, 12]
Iter#485 New set #200 of size 7 (2.4 its/hit = 0.000s/hit): seed=15627450908507580766 [2, 4, 7, 9, 11, 12, 13]
Iter#693 New set #300 of size 7 (2.3 its/hit = 0.000s/hit): seed=6727738633450837764 [2, 5, 6, 7, 9, 10, 12]
Iter#936 New set #400 of size 7 (2.3 its/hit = 0.000s/hit): seed=1550286262840148887 [2, 5, 6, 7, 9, 10, 12]
Iter#1191 New set #500 of size 7 (2.4 its/hit = 0.000s/hit): seed=8768307079108819340 [2, 4, 7, 9, 11, 12, 13]
Iter#1457 New set #600 of size 7 (2.4 its/hit = 0.000s/hit): seed=6565276015643380468 [5, 6, 9, 10, 11, 14, 15]
Iter#1721 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=9144456084978589403 [1, 3, 5, 6, 7, 9, 10]
Iter#1946 New set #800 of size 7 (2.4 its/hit = 0.000s/hit): seed=17154493119067784730 [1, 2, 3, 5, 7, 9, 12]
Iter#2180 New set #900 of size 7 (2.4 its/hit = 0.000s/hit): seed=12225430419467700133 [2, 4, 10, 11, 13, 14, 15]
Iter#2470 New set #1000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18437251705265660036 [1, 2, 3, 5, 7, 9, 12]
Iter#4932 New set #2000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16133924481871563624 [1, 2, 3, 5, 7, 9, 12]
Iter#7469 New set #3000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2497515743288646650 [2, 4, 7, 9, 11, 12, 13]
Iter#9838 New set #4000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10550096725486175843 [2, 4, 7, 9, 11, 12, 13]
Iter#12283 New set #5000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12963113294434569603 [3, 4, 8, 10, 11, 14, 15]
Iter#14792 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16782591290960397778 [1, 2, 3, 5, 7, 9, 12]
Iter#17207 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6450449328211419764 [2, 4, 7, 9, 11, 12, 13]
Iter#19639 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16311664406019738757 [2, 4, 7, 9, 11, 12, 13]
Iter#22152 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10492514522894881808 [2, 5, 6, 7, 9, 10, 12]
Iter#24683 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=346232904783169257 [2, 3, 4, 8, 11, 13, 15]
Iter#49351 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10453455046995754989 [2, 5, 6, 7, 9, 10, 12]
Iter#73784 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9374714622662962036 [5, 6, 9, 10, 11, 14, 15]
Iter#98607 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14233241149419055003 [1, 3, 5, 6, 7, 9, 10]
Iter#123399 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10478675223818149777 [2, 5, 6, 7, 9, 10, 12]
Iter#148151 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5126709424461861682 [2, 5, 6, 7, 9, 10, 12]
Iter#172946 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6020259560787845548 [3, 4, 8, 10, 11, 14, 15]
Iter#198144 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12499877215504704080 [1, 2, 3, 5, 7, 9, 12]
Iter#222799 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7428500514333894188 [1, 2, 3, 5, 7, 9, 12]
Iter#248043 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2893068085440776409 [2, 5, 6, 7, 9, 10, 12]
Iter#496266 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6975584804243907974 [1, 3, 4, 5, 7, 8, 15]
Iter#745834 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15728528874427043844 [5, 6, 9, 10, 11, 14, 15]
Iter#995257 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9034940660610196587 [2, 5, 6, 7, 9, 10, 12]
Iter#1243760 New set #500000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13358457706290661472 [2, 4, 7, 9, 11, 12, 13]
