[*] Computing DDT
[+] DDT Computed
DDT took 34.171µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=12064041559756014971 [0, 2, 5, 8, 11, 12]
Iter#3 New set #2 of size 6 (1.5 its/hit = 0.000s/hit): seed=13165727713843483444 [0, 2, 4, 5, 11, 12]
Iter#4 New set #3 of size 6 (1.3 its/hit = 0.000s/hit): seed=17106995349598077639 [2, 3, 6, 7, 9, 15]
Iter#5 New set #4 of size 6 (1.2 its/hit = 0.000s/hit): seed=3350799422644150464 [1, 2, 5, 10, 11, 12]
Iter#6 New set #5 of size 6 (1.2 its/hit = 0.000s/hit): seed=12549668793789758305 [1, 3, 8, 11, 12, 13]
Iter#7 New set #6 of size 6 (1.2 its/hit = 0.000s/hit): seed=2036271857892785911 [2, 3, 5, 6, 7, 9]
Iter#8 New set #7 of size 6 (1.1 its/hit = 0.000s/hit): seed=5899439805932862848 [2, 3, 6, 7, 9, 15]
Iter#9 New set #1 of size 7 (9.0 its/hit = 0.000s/hit): seed=8600319858636999379 [2, 3, 5, 6, 7, 11, 12]
Iter#13 New set #2 of size 7 (6.5 its/hit = 0.000s/hit): seed=8516283066895121060 [1, 2, 4, 5, 9, 11, 12]
Iter#14 New set #3 of size 7 (4.7 its/hit = 0.000s/hit): seed=12587350066504074086 [0, 6, 8, 9, 10, 13, 14]
Iter#17 New set #4 of size 7 (4.2 its/hit = 0.000s/hit): seed=11096140625860772418 [0, 6, 8, 9, 10, 13, 14]
Iter#22 New set #5 of size 7 (4.4 its/hit = 0.000s/hit): seed=14410394195987387827 [0, 2, 3, 6, 7, 8, 14]
Iter#27 New set #6 of size 7 (4.5 its/hit = 0.000s/hit): seed=1281957503873056889 [2, 3, 5, 6, 7, 11, 12]
Iter#31 New set #7 of size 7 (4.4 its/hit = 0.000s/hit): seed=10581819267001251877 [1, 4, 9, 10, 12, 13, 14]
Iter#32 New set #8 of size 7 (4.0 its/hit = 0.000s/hit): seed=12160648533735570087 [0, 2, 3, 6, 7, 8, 14]
Iter#38 New set #9 of size 7 (4.2 its/hit = 0.000s/hit): seed=15281223276246721128 [0, 2, 3, 6, 7, 8, 14]
Iter#42 New set #10 of size 7 (4.2 its/hit = 0.000s/hit): seed=4310654251215257427 [2, 3, 5, 6, 7, 11, 12]
Iter#93 New set #20 of size 7 (4.7 its/hit = 0.000s/hit): seed=16938920282376279443 [2, 3, 5, 6, 7, 11, 12]
