[*] Computing DDT
[+] DDT Computed
DDT took 51.001µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=1694315831391011024 [4, 6, 7, 9, 12, 14]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=15590259137127955252 [0, 2, 9, 10, 11, 14, 15]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=8138662388776715150 [0, 2, 9, 10, 11, 14, 15]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=4510372612585401837 [0, 1, 2, 9, 11, 12, 13]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=9577376645761508328 [2, 3, 4, 6, 7, 12, 14]
Iter#8 New set #5 of size 7 (1.6 its/hit = 0.000s/hit): seed=13338597463177876900 [0, 2, 3, 6, 7, 9, 11]
Iter#9 New set #6 of size 7 (1.5 its/hit = 0.000s/hit): seed=17421662912725194836 [0, 2, 3, 6, 7, 9, 11]
Iter#11 New set #7 of size 7 (1.6 its/hit = 0.000s/hit): seed=15450372760738128161 [4, 5, 6, 8, 9, 12, 14]
Iter#12 New set #8 of size 7 (1.5 its/hit = 0.000s/hit): seed=5118288866660898287 [0, 2, 3, 6, 7, 9, 11]
Iter#14 New set #9 of size 7 (1.6 its/hit = 0.000s/hit): seed=17481715287829275660 [4, 5, 6, 8, 9, 12, 14]
Iter#15 New set #10 of size 7 (1.5 its/hit = 0.000s/hit): seed=5676813422000335347 [0, 1, 5, 7, 12, 13, 15]
Iter#29 New set #20 of size 7 (1.5 its/hit = 0.000s/hit): seed=14073977302215427742 [2, 3, 5, 6, 7, 13, 15]
Iter#43 New set #30 of size 7 (1.4 its/hit = 0.000s/hit): seed=8729876094647791975 [4, 5, 7, 8, 9, 13, 15]
Iter#53 New set #40 of size 7 (1.3 its/hit = 0.000s/hit): seed=135650764251653597 [1, 2, 3, 6, 7, 8, 10]
Iter#65 New set #50 of size 7 (1.3 its/hit = 0.000s/hit): seed=14226409567708018419 [1, 3, 4, 5, 8, 9, 10]
Iter#77 New set #60 of size 7 (1.3 its/hit = 0.000s/hit): seed=16373470448424144343 [0, 2, 9, 10, 11, 14, 15]
Iter#87 New set #70 of size 7 (1.2 its/hit = 0.000s/hit): seed=8701044237188087087 [2, 3, 4, 6, 7, 12, 14]
Iter#100 New set #80 of size 7 (1.2 its/hit = 0.000s/hit): seed=8147316669522939338 [0, 2, 9, 10, 11, 14, 15]
Iter#112 New set #90 of size 7 (1.2 its/hit = 0.000s/hit): seed=9787092792184348751 [4, 6, 10, 11, 12, 14, 15]
Iter#123 New set #100 of size 7 (1.2 its/hit = 0.000s/hit): seed=6340660624728739458 [0, 1, 4, 6, 12, 13, 14]
Iter#239 New set #200 of size 7 (1.2 its/hit = 0.000s/hit): seed=16710943513437730663 [0, 2, 3, 6, 7, 9, 11]
