[*] Computing DDT
[+] DDT Computed
DDT took 47.341µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=17685306228756931724 [1, 5, 7, 9, 13, 14]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=1779263277238851700 [0, 1, 4, 7, 10, 14]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=12060420509131781165 [0, 3, 6, 7, 11, 14]
Iter#4 New set #1 of size 7 (4.0 its/hit = 0.000s/hit): seed=15922779537474698538 [1, 2, 5, 7, 8, 9, 13]
Iter#5 New set #2 of size 7 (2.5 its/hit = 0.000s/hit): seed=11154995279967562154 [0, 4, 10, 12, 13, 14, 15]
Iter#6 New set #3 of size 7 (2.0 its/hit = 0.000s/hit): seed=3050540068712338326 [2, 7, 8, 12, 13, 14, 15]
Iter#14 New set #4 of size 7 (3.5 its/hit = 0.000s/hit): seed=1984824031412346662 [2, 7, 8, 12, 13, 14, 15]
Iter#17 New set #5 of size 7 (3.4 its/hit = 0.000s/hit): seed=13759157466119285125 [0, 4, 10, 12, 13, 14, 15]
Iter#21 New set #6 of size 7 (3.5 its/hit = 0.000s/hit): seed=18349529414912370135 [0, 4, 10, 12, 13, 14, 15]
Iter#24 New set #7 of size 7 (3.4 its/hit = 0.000s/hit): seed=13734738744646453307 [1, 5, 9, 12, 13, 14, 15]
Iter#38 New set #8 of size 7 (4.8 its/hit = 0.000s/hit): seed=6374249013654355081 [0, 3, 4, 6, 10, 11, 14]
Iter#39 New set #9 of size 7 (4.3 its/hit = 0.000s/hit): seed=4057877121629504805 [0, 4, 10, 12, 13, 14, 15]
Iter#41 New set #10 of size 7 (4.1 its/hit = 0.000s/hit): seed=7389537788812956360 [1, 5, 9, 12, 13, 14, 15]
Iter#77 New set #20 of size 7 (3.8 its/hit = 0.000s/hit): seed=16425887345502880365 [3, 6, 11, 12, 13, 14, 15]
Iter#109 New set #30 of size 7 (3.6 its/hit = 0.000s/hit): seed=1144044746061332371 [0, 4, 10, 12, 13, 14, 15]
Iter#150 New set #40 of size 7 (3.8 its/hit = 0.000s/hit): seed=17949464298903808403 [1, 5, 9, 12, 13, 14, 15]
Iter#185 New set #50 of size 7 (3.7 its/hit = 0.000s/hit): seed=8079211358157147669 [0, 3, 4, 6, 10, 11, 14]
Iter#211 New set #60 of size 7 (3.5 its/hit = 0.000s/hit): seed=15800991055825674807 [1, 2, 5, 7, 8, 9, 13]
Iter#237 New set #70 of size 7 (3.4 its/hit = 0.000s/hit): seed=7952022441547438827 [3, 6, 11, 12, 13, 14, 15]
Iter#266 New set #80 of size 7 (3.3 its/hit = 0.000s/hit): seed=5746011974321521774 [1, 5, 9, 12, 13, 14, 15]
Iter#315 New set #90 of size 7 (3.5 its/hit = 0.000s/hit): seed=16045505988049228613 [1, 2, 5, 7, 8, 9, 13]
Iter#350 New set #100 of size 7 (3.5 its/hit = 0.000s/hit): seed=13663069529022059060 [3, 6, 11, 12, 13, 14, 15]
Iter#678 New set #200 of size 7 (3.4 its/hit = 0.000s/hit): seed=3635279935206655935 [1, 5, 9, 12, 13, 14, 15]
Iter#995 New set #300 of size 7 (3.3 its/hit = 0.000s/hit): seed=13760498025942087165 [3, 6, 11, 12, 13, 14, 15]
Iter#1301 New set #400 of size 7 (3.3 its/hit = 0.000s/hit): seed=6106426321482418020 [0, 3, 4, 6, 10, 11, 14]
Iter#1660 New set #500 of size 7 (3.3 its/hit = 0.000s/hit): seed=6055404732947776666 [0, 3, 4, 6, 10, 11, 14]
Iter#1974 New set #600 of size 7 (3.3 its/hit = 0.000s/hit): seed=13224563863409808271 [0, 3, 4, 6, 10, 11, 14]
Iter#2269 New set #700 of size 7 (3.2 its/hit = 0.000s/hit): seed=10396042823885804796 [0, 3, 4, 6, 10, 11, 14]
Iter#2608 New set #800 of size 7 (3.3 its/hit = 0.000s/hit): seed=27502067818826067 [1, 2, 5, 7, 8, 9, 13]
Iter#2936 New set #900 of size 7 (3.3 its/hit = 0.000s/hit): seed=6171229856118546268 [3, 6, 11, 12, 13, 14, 15]
Iter#3267 New set #1000 of size 7 (3.3 its/hit = 0.000s/hit): seed=15152676993476700118 [1, 5, 9, 12, 13, 14, 15]
Iter#6556 New set #2000 of size 7 (3.3 its/hit = 0.000s/hit): seed=12443122240711416270 [0, 3, 4, 6, 10, 11, 14]
Iter#9904 New set #3000 of size 7 (3.3 its/hit = 0.000s/hit): seed=16672499528282471996 [0, 4, 10, 12, 13, 14, 15]
Iter#13157 New set #4000 of size 7 (3.3 its/hit = 0.000s/hit): seed=9043796614463320735 [0, 4, 10, 12, 13, 14, 15]
Iter#16349 New set #5000 of size 7 (3.3 its/hit = 0.000s/hit): seed=1442290698781448841 [1, 5, 9, 12, 13, 14, 15]
