[*] Computing DDT
[+] DDT Computed
DDT took 37.501µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=12390487833998966952 [2, 4, 5, 9, 11, 14]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=3730356507875660141 [1, 4, 7, 8, 9, 12, 14]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=3405917600995083085 [1, 3, 7, 8, 11, 14, 15]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=1482092215843187985 [1, 4, 6, 9, 12, 13, 15]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=9295308232879450073 [1, 4, 6, 9, 12, 13, 15]
Iter#7 New set #5 of size 7 (1.4 its/hit = 0.000s/hit): seed=4136789849886328918 [1, 2, 5, 7, 8, 9, 14]
Iter#15 New set #6 of size 7 (2.5 its/hit = 0.000s/hit): seed=4408072027123047886 [1, 4, 7, 8, 9, 12, 14]
Iter#18 New set #7 of size 7 (2.6 its/hit = 0.000s/hit): seed=14078913222994480503 [0, 3, 5, 6, 7, 11, 15]
Iter#19 New set #8 of size 7 (2.4 its/hit = 0.000s/hit): seed=3019952777403352804 [0, 2, 3, 5, 6, 9, 14]
Iter#20 New set #9 of size 7 (2.2 its/hit = 0.000s/hit): seed=7478091031765156703 [1, 4, 6, 9, 12, 13, 15]
Iter#21 New set #10 of size 7 (2.1 its/hit = 0.000s/hit): seed=11996054920209370007 [0, 3, 5, 6, 7, 11, 15]
Iter#35 New set #20 of size 7 (1.8 its/hit = 0.000s/hit): seed=2965753548026064264 [0, 3, 5, 6, 7, 11, 15]
Iter#58 New set #30 of size 7 (1.9 its/hit = 0.000s/hit): seed=11319909449219432661 [1, 2, 4, 5, 9, 12, 14]
Iter#74 New set #40 of size 7 (1.9 its/hit = 0.000s/hit): seed=6448779027764664418 [0, 3, 4, 5, 6, 13, 15]
Iter#96 New set #50 of size 7 (1.9 its/hit = 0.000s/hit): seed=5851337700623188274 [1, 2, 5, 7, 8, 9, 14]
Iter#132 New set #60 of size 7 (2.2 its/hit = 0.000s/hit): seed=9740152411707911798 [1, 4, 7, 8, 9, 12, 14]
Iter#171 New set #70 of size 7 (2.4 its/hit = 0.000s/hit): seed=3261996758641327119 [0, 3, 4, 5, 6, 13, 15]
Iter#192 New set #80 of size 7 (2.4 its/hit = 0.000s/hit): seed=1325204656068055599 [0, 2, 3, 5, 6, 9, 14]
Iter#213 New set #90 of size 7 (2.4 its/hit = 0.000s/hit): seed=3672250475610340701 [0, 3, 5, 6, 7, 11, 15]
Iter#249 New set #100 of size 7 (2.5 its/hit = 0.000s/hit): seed=749528731333046387 [1, 2, 4, 5, 9, 12, 14]
Iter#471 New set #200 of size 7 (2.4 its/hit = 0.000s/hit): seed=12801378439494275885 [0, 2, 3, 5, 6, 9, 14]
Iter#749 New set #300 of size 7 (2.5 its/hit = 0.000s/hit): seed=5272922858435857662 [1, 3, 7, 8, 11, 14, 15]
Iter#996 New set #400 of size 7 (2.5 its/hit = 0.000s/hit): seed=11937321333625841577 [1, 4, 6, 9, 12, 13, 15]
Iter#1233 New set #500 of size 7 (2.5 its/hit = 0.000s/hit): seed=7065531322901297702 [0, 3, 5, 6, 7, 11, 15]
Iter#1490 New set #600 of size 7 (2.5 its/hit = 0.000s/hit): seed=3722139977890405607 [3, 4, 6, 7, 11, 13, 15]
Iter#1727 New set #700 of size 7 (2.5 its/hit = 0.000s/hit): seed=3209455724984091227 [1, 4, 7, 8, 9, 12, 14]
Iter#1942 New set #800 of size 7 (2.4 its/hit = 0.000s/hit): seed=16891403439364421481 [1, 2, 4, 5, 9, 12, 14]
Iter#2171 New set #900 of size 7 (2.4 its/hit = 0.000s/hit): seed=17312529305294282341 [1, 3, 7, 8, 11, 14, 15]
Iter#2402 New set #1000 of size 7 (2.4 its/hit = 0.000s/hit): seed=798575290755395566 [0, 3, 4, 5, 6, 13, 15]
Iter#4770 New set #2000 of size 7 (2.4 its/hit = 0.000s/hit): seed=6139309230354320822 [3, 4, 6, 7, 11, 13, 15]
Iter#7204 New set #3000 of size 7 (2.4 its/hit = 0.000s/hit): seed=4839930813625335334 [1, 4, 6, 9, 12, 13, 15]
Iter#9733 New set #4000 of size 7 (2.4 its/hit = 0.000s/hit): seed=3467896704747684076 [0, 3, 5, 6, 7, 11, 15]
Iter#12191 New set #5000 of size 7 (2.4 its/hit = 0.000s/hit): seed=7128675333863207161 [1, 4, 6, 9, 12, 13, 15]
Iter#14706 New set #6000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5544741854690645451 [1, 3, 7, 8, 11, 14, 15]
Iter#17169 New set #7000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12587052973418198302 [0, 3, 5, 6, 7, 11, 15]
Iter#19630 New set #8000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16006606376776239126 [0, 2, 3, 5, 6, 9, 14]
Iter#22090 New set #9000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10457374562621274951 [1, 4, 7, 8, 9, 12, 14]
Iter#24541 New set #10000 of size 7 (2.5 its/hit = 0.000s/hit): seed=18137069062151761679 [1, 4, 6, 9, 12, 13, 15]
Iter#49396 New set #20000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11946609399993127126 [1, 3, 7, 8, 11, 14, 15]
Iter#74014 New set #30000 of size 7 (2.5 its/hit = 0.000s/hit): seed=656783656341455926 [0, 2, 3, 5, 6, 9, 14]
Iter#98782 New set #40000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9364325613080208383 [1, 2, 5, 7, 8, 9, 14]
Iter#123546 New set #50000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5947405774130418044 [1, 3, 7, 8, 11, 14, 15]
Iter#148459 New set #60000 of size 7 (2.5 its/hit = 0.000s/hit): seed=11641899314006432600 [1, 2, 5, 7, 8, 9, 14]
Iter#173458 New set #70000 of size 7 (2.5 its/hit = 0.000s/hit): seed=792963495820149733 [1, 4, 7, 8, 9, 12, 14]
Iter#198595 New set #80000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13055731568547976329 [0, 3, 5, 6, 7, 11, 15]
Iter#223497 New set #90000 of size 7 (2.5 its/hit = 0.000s/hit): seed=359351565733191489 [1, 4, 7, 8, 9, 12, 14]
Iter#248597 New set #100000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14633564850120872240 [1, 4, 7, 8, 9, 12, 14]
Iter#499200 New set #200000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12184960058172969314 [1, 4, 6, 9, 12, 13, 15]
Iter#748118 New set #300000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13101557101870209044 [1, 4, 6, 9, 12, 13, 15]
Iter#997122 New set #400000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16545640838950353153 [1, 4, 6, 9, 12, 13, 15]
