[*] Computing DDT
[+] DDT Computed
DDT took 34.761µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=8281384139347116882 [0, 1, 2, 7, 9, 12]
Iter#4 New set #2 of size 6 (2.0 its/hit = 0.000s/hit): seed=15167430871350195799 [2, 5, 6, 7, 10, 13]
Iter#5 New set #1 of size 7 (5.0 its/hit = 0.000s/hit): seed=9342267932440538955 [4, 7, 8, 10, 11, 14, 15]
Iter#6 New set #2 of size 7 (3.0 its/hit = 0.000s/hit): seed=3593752441349151309 [2, 4, 7, 8, 9, 11, 12]
Iter#8 New set #3 of size 7 (2.7 its/hit = 0.000s/hit): seed=7483995343541326488 [2, 5, 10, 11, 13, 14, 15]
Iter#9 New set #4 of size 7 (2.2 its/hit = 0.000s/hit): seed=7376573558807415252 [2, 5, 7, 9, 10, 12, 13]
Iter#10 New set #5 of size 7 (2.0 its/hit = 0.000s/hit): seed=6277269234019279938 [4, 7, 8, 10, 11, 14, 15]
Iter#18 New set #6 of size 7 (3.0 its/hit = 0.000s/hit): seed=18159586082193717788 [2, 5, 10, 11, 13, 14, 15]
Iter#22 New set #7 of size 7 (3.1 its/hit = 0.000s/hit): seed=14189994663174969595 [2, 5, 7, 9, 10, 12, 13]
Iter#24 New set #8 of size 7 (3.0 its/hit = 0.000s/hit): seed=5270020835317044638 [0, 2, 4, 6, 7, 9, 12]
Iter#25 New set #9 of size 7 (2.8 its/hit = 0.000s/hit): seed=12622002353519036444 [2, 5, 10, 11, 13, 14, 15]
Iter#26 New set #10 of size 7 (2.6 its/hit = 0.000s/hit): seed=11948239678593093551 [1, 3, 8, 10, 11, 14, 15]
Iter#43 New set #20 of size 7 (2.2 its/hit = 0.000s/hit): seed=16734263262385207552 [1, 3, 4, 7, 8, 10, 11]
Iter#66 New set #30 of size 7 (2.2 its/hit = 0.000s/hit): seed=15329148896225118459 [1, 3, 8, 10, 11, 14, 15]
Iter#91 New set #40 of size 7 (2.3 its/hit = 0.000s/hit): seed=7183094900661617091 [4, 7, 8, 10, 11, 14, 15]
Iter#108 New set #50 of size 7 (2.2 its/hit = 0.000s/hit): seed=6693182322962889355 [0, 2, 4, 5, 6, 10, 13]
Iter#120 New set #60 of size 7 (2.0 its/hit = 0.000s/hit): seed=847170728803059185 [2, 5, 7, 9, 10, 12, 13]
Iter#133 New set #70 of size 7 (1.9 its/hit = 0.000s/hit): seed=1767130792478710259 [0, 2, 4, 5, 6, 10, 13]
Iter#148 New set #80 of size 7 (1.9 its/hit = 0.000s/hit): seed=11209452391248212361 [2, 5, 10, 11, 13, 14, 15]
Iter#172 New set #90 of size 7 (1.9 its/hit = 0.000s/hit): seed=16047380639745240430 [2, 4, 7, 8, 9, 11, 12]
Iter#196 New set #100 of size 7 (2.0 its/hit = 0.000s/hit): seed=4016969662546205824 [0, 2, 4, 6, 7, 8, 11]
Iter#392 New set #200 of size 7 (2.0 its/hit = 0.000s/hit): seed=12806349809312434087 [2, 5, 7, 9, 10, 12, 13]
Iter#605 New set #300 of size 7 (2.0 its/hit = 0.000s/hit): seed=11050991002600467924 [2, 4, 7, 8, 9, 11, 12]
Iter#850 New set #400 of size 7 (2.1 its/hit = 0.000s/hit): seed=14773887172327220715 [4, 7, 8, 10, 11, 14, 15]
Iter#1076 New set #500 of size 7 (2.2 its/hit = 0.000s/hit): seed=1193347893518297963 [1, 2, 3, 5, 8, 10, 13]
Iter#1298 New set #600 of size 7 (2.2 its/hit = 0.000s/hit): seed=10775872912935828957 [1, 3, 8, 10, 11, 14, 15]
Iter#1514 New set #700 of size 7 (2.2 its/hit = 0.000s/hit): seed=11156498892701265435 [1, 3, 4, 7, 8, 10, 11]
Iter#1732 New set #800 of size 7 (2.2 its/hit = 0.000s/hit): seed=8950692650113880272 [1, 3, 8, 10, 11, 14, 15]
Iter#1963 New set #900 of size 7 (2.2 its/hit = 0.000s/hit): seed=9287498209842807680 [0, 2, 4, 5, 6, 10, 13]
Iter#2165 New set #1000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15226297922812200710 [2, 5, 10, 11, 13, 14, 15]
Iter#4435 New set #2000 of size 7 (2.2 its/hit = 0.000s/hit): seed=3414218140407467685 [0, 2, 4, 6, 7, 9, 12]
Iter#6595 New set #3000 of size 7 (2.2 its/hit = 0.000s/hit): seed=14085815785322363990 [0, 2, 4, 6, 7, 9, 12]
Iter#8872 New set #4000 of size 7 (2.2 its/hit = 0.000s/hit): seed=3286309898958707461 [2, 5, 7, 9, 10, 12, 13]
Iter#11029 New set #5000 of size 7 (2.2 its/hit = 0.000s/hit): seed=525472933026329651 [0, 2, 4, 6, 7, 9, 12]
Iter#13270 New set #6000 of size 7 (2.2 its/hit = 0.000s/hit): seed=4514860919153593681 [0, 2, 4, 6, 7, 8, 11]
Iter#15404 New set #7000 of size 7 (2.2 its/hit = 0.000s/hit): seed=4281133215511022959 [2, 5, 10, 11, 13, 14, 15]
Iter#17682 New set #8000 of size 7 (2.2 its/hit = 0.000s/hit): seed=614745007443205174 [2, 5, 10, 11, 13, 14, 15]
Iter#19881 New set #9000 of size 7 (2.2 its/hit = 0.000s/hit): seed=15407749536245651533 [2, 5, 7, 9, 10, 12, 13]
Iter#22094 New set #10000 of size 7 (2.2 its/hit = 0.000s/hit): seed=5380315062444344185 [1, 3, 4, 7, 8, 10, 11]
