[*] Computing DDT
[+] DDT Computed
DDT took 48.942µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=5678783452647342250 [0, 1, 3, 7, 12, 14]
Iter#2 New set #1 of size 7 (2.0 its/hit = 0.000s/hit): seed=123723562137841466 [0, 4, 10, 11, 12, 13, 15]
Iter#4 New set #2 of size 7 (2.0 its/hit = 0.000s/hit): seed=13723854384220952144 [0, 1, 3, 5, 6, 12, 14]
Iter#5 New set #3 of size 7 (1.7 its/hit = 0.000s/hit): seed=16614486261343064668 [0, 3, 5, 6, 7, 8, 10]
Iter#6 New set #4 of size 7 (1.5 its/hit = 0.000s/hit): seed=2800463200858115405 [1, 2, 6, 7, 9, 13, 15]
Iter#7 New set #5 of size 7 (1.4 its/hit = 0.000s/hit): seed=1543160907308712772 [0, 3, 5, 6, 7, 8, 10]
Iter#10 New set #6 of size 7 (1.7 its/hit = 0.000s/hit): seed=10743556142518570803 [0, 2, 4, 8, 11, 14, 15]
Iter#11 New set #7 of size 7 (1.6 its/hit = 0.000s/hit): seed=8502436544673936292 [1, 3, 7, 9, 12, 14, 15]
Iter#12 New set #8 of size 7 (1.5 its/hit = 0.000s/hit): seed=8464733844617540993 [0, 2, 3, 5, 6, 9, 13]
Iter#13 New set #9 of size 7 (1.4 its/hit = 0.000s/hit): seed=982530147254501934 [0, 2, 3, 5, 6, 9, 13]
Iter#14 New set #10 of size 7 (1.4 its/hit = 0.000s/hit): seed=10478840969935797308 [0, 2, 3, 5, 6, 9, 13]
Iter#27 New set #20 of size 7 (1.4 its/hit = 0.000s/hit): seed=8999784244259433571 [0, 2, 4, 8, 11, 14, 15]
Iter#40 New set #30 of size 7 (1.3 its/hit = 0.000s/hit): seed=14960052854261589213 [5, 7, 8, 10, 11, 12, 13]
Iter#50 New set #40 of size 7 (1.2 its/hit = 0.000s/hit): seed=13141885400737475422 [5, 7, 8, 10, 11, 12, 13]
Iter#62 New set #50 of size 7 (1.2 its/hit = 0.000s/hit): seed=11342585837696797588 [0, 3, 5, 6, 7, 8, 10]
Iter#74 New set #60 of size 7 (1.2 its/hit = 0.000s/hit): seed=10714579549509089370 [2, 4, 6, 8, 9, 13, 14]
Iter#85 New set #70 of size 7 (1.2 its/hit = 0.000s/hit): seed=4730001407314881985 [1, 2, 6, 7, 9, 13, 15]
Iter#96 New set #80 of size 7 (1.2 its/hit = 0.000s/hit): seed=13632763606421167297 [2, 4, 6, 8, 9, 13, 14]
Iter#107 New set #90 of size 7 (1.2 its/hit = 0.000s/hit): seed=5485056586557530367 [1, 5, 7, 8, 9, 10, 15]
Iter#118 New set #100 of size 7 (1.2 its/hit = 0.000s/hit): seed=336528082576823672 [0, 3, 5, 6, 7, 8, 10]
Iter#237 New set #200 of size 7 (1.2 its/hit = 0.000s/hit): seed=11012310364584129315 [0, 4, 10, 11, 12, 13, 15]
Iter#356 New set #300 of size 7 (1.2 its/hit = 0.000s/hit): seed=7348418188772067868 [0, 3, 4, 5, 6, 11, 15]
Iter#484 New set #400 of size 7 (1.2 its/hit = 0.000s/hit): seed=18068601537471700297 [0, 2, 4, 8, 11, 14, 15]
Iter#611 New set #500 of size 7 (1.2 its/hit = 0.000s/hit): seed=3661067895289202183 [1, 2, 6, 7, 9, 13, 15]
Iter#739 New set #600 of size 7 (1.2 its/hit = 0.000s/hit): seed=2421154377835311381 [1, 3, 7, 9, 12, 14, 15]
Iter#867 New set #700 of size 7 (1.2 its/hit = 0.000s/hit): seed=8324451775915681793 [0, 2, 4, 8, 11, 14, 15]
Iter#985 New set #800 of size 7 (1.2 its/hit = 0.000s/hit): seed=5439429064490557630 [2, 6, 9, 10, 11, 12, 13]
Iter#1108 New set #900 of size 7 (1.2 its/hit = 0.000s/hit): seed=16005988471083647251 [2, 4, 5, 7, 8, 10, 14]
Iter#1226 New set #1000 of size 7 (1.2 its/hit = 0.000s/hit): seed=2799861100756317288 [2, 4, 5, 7, 8, 10, 14]
Iter#2454 New set #2000 of size 7 (1.2 its/hit = 0.000s/hit): seed=2869924204853808804 [0, 3, 4, 5, 6, 11, 15]
Iter#3648 New set #3000 of size 7 (1.2 its/hit = 0.000s/hit): seed=12707911739559399382 [1, 2, 3, 4, 8, 12, 14]
Iter#4880 New set #4000 of size 7 (1.2 its/hit = 0.000s/hit): seed=4940745844424946888 [1, 3, 10, 11, 12, 13, 14]
Iter#6100 New set #5000 of size 7 (1.2 its/hit = 0.000s/hit): seed=6634902731235287980 [1, 2, 3, 4, 8, 12, 14]
Iter#7320 New set #6000 of size 7 (1.2 its/hit = 0.000s/hit): seed=1400069762980863756 [0, 2, 3, 5, 6, 9, 13]
Iter#8546 New set #7000 of size 7 (1.2 its/hit = 0.000s/hit): seed=18216920364105233595 [5, 7, 8, 10, 11, 12, 13]
Iter#9758 New set #8000 of size 7 (1.2 its/hit = 0.000s/hit): seed=2800915683100100894 [5, 7, 8, 10, 11, 12, 13]
Iter#10959 New set #9000 of size 7 (1.2 its/hit = 0.000s/hit): seed=14885421654780336376 [1, 2, 3, 4, 8, 12, 14]
Iter#12169 New set #10000 of size 7 (1.2 its/hit = 0.000s/hit): seed=15672056912080938763 [2, 4, 6, 8, 9, 13, 14]
Iter#24199 New set #20000 of size 7 (1.2 its/hit = 0.000s/hit): seed=2737852713231233995 [0, 4, 10, 11, 12, 13, 15]
Iter#36275 New set #30000 of size 7 (1.2 its/hit = 0.000s/hit): seed=11137495266199504988 [0, 4, 10, 11, 12, 13, 15]
Iter#48315 New set #40000 of size 7 (1.2 its/hit = 0.000s/hit): seed=7765277791552104121 [2, 4, 6, 8, 9, 13, 14]
Iter#60308 New set #50000 of size 7 (1.2 its/hit = 0.000s/hit): seed=8580400020293239306 [0, 1, 3, 5, 6, 12, 14]
Iter#72340 New set #60000 of size 7 (1.2 its/hit = 0.000s/hit): seed=6139410497677225060 [0, 4, 10, 11, 12, 13, 15]
Iter#84405 New set #70000 of size 7 (1.2 its/hit = 0.000s/hit): seed=11566824431516373770 [0, 3, 5, 6, 7, 8, 10]
Iter#96570 New set #80000 of size 7 (1.2 its/hit = 0.000s/hit): seed=4074352680827223557 [0, 1, 3, 5, 6, 12, 14]
Iter#108606 New set #90000 of size 7 (1.2 its/hit = 0.000s/hit): seed=13105652051674729106 [0, 2, 3, 5, 6, 9, 13]
Iter#120649 New set #100000 of size 7 (1.2 its/hit = 0.000s/hit): seed=5414007222222334480 [2, 4, 5, 7, 8, 10, 14]
Iter#241413 New set #200000 of size 7 (1.2 its/hit = 0.000s/hit): seed=9879051797467623200 [0, 3, 4, 5, 6, 11, 15]
Iter#362101 New set #300000 of size 7 (1.2 its/hit = 0.000s/hit): seed=11663419829551225061 [1, 5, 7, 8, 9, 10, 15]
Iter#482865 New set #400000 of size 7 (1.2 its/hit = 0.000s/hit): seed=8215130257407122843 [1, 2, 3, 4, 8, 12, 14]
Iter#603250 New set #500000 of size 7 (1.2 its/hit = 0.000s/hit): seed=15170031925896155656 [5, 7, 8, 10, 11, 12, 13]
Iter#723864 New set #600000 of size 7 (1.2 its/hit = 0.000s/hit): seed=10186211688281048712 [0, 2, 4, 8, 11, 14, 15]
Iter#844532 New set #700000 of size 7 (1.2 its/hit = 0.000s/hit): seed=7824145504916765467 [1, 2, 3, 4, 8, 12, 14]
Iter#965119 New set #800000 of size 7 (1.2 its/hit = 0.000s/hit): seed=15701608980633704341 [1, 2, 3, 4, 8, 12, 14]
Iter#1085814 New set #900000 of size 7 (1.2 its/hit = 0.000s/hit): seed=14015847944659101062 [0, 2, 4, 8, 11, 14, 15]
Iter#1206574 New set #1000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=9356781071144546557 [0, 1, 3, 5, 6, 12, 14]
Iter#2413494 New set #2000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=6298888979369011659 [0, 3, 4, 5, 6, 11, 15]
Iter#3621045 New set #3000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=12988042688642194427 [0, 3, 4, 5, 6, 11, 15]
Iter#4828503 New set #4000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=17390972858946326151 [1, 2, 6, 7, 9, 13, 15]
Iter#6035776 New set #5000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=4036835063548860325 [2, 4, 5, 7, 8, 10, 14]
Iter#7243291 New set #6000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=8536029254672598093 [0, 3, 5, 6, 7, 8, 10]
Iter#8450543 New set #7000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=14127060019490331823 [1, 3, 7, 9, 12, 14, 15]
Iter#9657122 New set #8000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=15132847880369179991 [1, 2, 3, 4, 8, 12, 14]
Iter#10863777 New set #9000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=13512441660151349882 [0, 2, 3, 5, 6, 9, 13]
Iter#12071019 New set #10000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=11371473150963554498 [0, 1, 3, 5, 6, 12, 14]
Iter#24141927 New set #20000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=17805902078676412030 [2, 4, 6, 8, 9, 13, 14]
Iter#36209125 New set #30000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=3363976623968228729 [2, 4, 5, 7, 8, 10, 14]
Iter#48278456 New set #40000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=15917730080286495435 [0, 1, 3, 5, 6, 12, 14]
Iter#60346365 New set #50000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=11213399186391342863 [0, 4, 10, 11, 12, 13, 15]
Iter#72413102 New set #60000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=3281458446704317625 [1, 2, 3, 4, 8, 12, 14]
Iter#84478572 New set #70000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=14716023433498593673 [1, 5, 7, 8, 9, 10, 15]
Iter#96546591 New set #80000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=6770448579663743857 [2, 4, 6, 8, 9, 13, 14]
Iter#108614120 New set #90000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=11468197614408189504 [0, 1, 3, 5, 6, 12, 14]
Iter#120683785 New set #100000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=1281591057456089111 [1, 3, 7, 9, 12, 14, 15]
Iter#241374134 New set #200000000 of size 7 (1.2 its/hit = 0.000s/hit): seed=1784449060864336797 [1, 5, 7, 8, 9, 10, 15]
