[*] Computing DDT
[+] DDT Computed
DDT took 35.031µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=18363854862145367999 [0, 8, 9, 11, 14, 15]
Iter#2 New set #2 of size 6 (1.0 its/hit = 0.000s/hit): seed=2326689301416652479 [3, 5, 7, 8, 11, 12]
Iter#3 New set #3 of size 6 (1.0 its/hit = 0.000s/hit): seed=17681380100329968221 [6, 8, 9, 13, 14, 15]
Iter#4 New set #4 of size 6 (1.0 its/hit = 0.000s/hit): seed=15316982879774860635 [2, 4, 5, 7, 12, 13]
Iter#5 New set #5 of size 6 (1.0 its/hit = 0.000s/hit): seed=13597614409029566781 [3, 8, 9, 13, 14, 15]
Iter#6 New set #6 of size 6 (1.0 its/hit = 0.000s/hit): seed=11900739652266431848 [1, 2, 6, 11, 12, 14]
Iter#7 New set #1 of size 7 (7.0 its/hit = 0.000s/hit): seed=8956693182390248958 [1, 5, 6, 9, 10, 11, 12]
Iter#10 New set #2 of size 7 (5.0 its/hit = 0.000s/hit): seed=7104476514029483599 [0, 2, 3, 7, 8, 10, 12]
Iter#15 New set #3 of size 7 (5.0 its/hit = 0.000s/hit): seed=6557692809198428861 [1, 5, 6, 9, 10, 11, 12]
Iter#19 New set #4 of size 7 (4.8 its/hit = 0.000s/hit): seed=13131517682071841140 [1, 4, 5, 6, 11, 12, 13]
Iter#22 New set #5 of size 7 (4.4 its/hit = 0.000s/hit): seed=7401996149199687577 [0, 2, 5, 6, 8, 9, 10]
Iter#24 New set #6 of size 7 (4.0 its/hit = 0.000s/hit): seed=8335650977833525365 [1, 3, 6, 7, 8, 11, 12]
Iter#28 New set #7 of size 7 (4.0 its/hit = 0.000s/hit): seed=1161328997444891340 [3, 7, 8, 9, 12, 14, 15]
Iter#30 New set #8 of size 7 (3.8 its/hit = 0.000s/hit): seed=17780863417394767666 [1, 4, 5, 6, 11, 12, 13]
Iter#34 New set #9 of size 7 (3.8 its/hit = 0.000s/hit): seed=16175503148168859694 [1, 4, 5, 6, 11, 12, 13]
Iter#36 New set #10 of size 7 (3.6 its/hit = 0.000s/hit): seed=2839288020499956859 [0, 2, 5, 6, 8, 9, 10]
Iter#54 New set #20 of size 7 (2.7 its/hit = 0.000s/hit): seed=17658368996909258854 [1, 3, 6, 7, 8, 11, 12]
Iter#75 New set #30 of size 7 (2.5 its/hit = 0.000s/hit): seed=7145006828924096685 [4, 5, 6, 9, 10, 12, 13]
Iter#94 New set #40 of size 7 (2.3 its/hit = 0.000s/hit): seed=756257263327658893 [1, 3, 6, 7, 8, 11, 12]
Iter#110 New set #50 of size 7 (2.2 its/hit = 0.000s/hit): seed=7749939834079763959 [4, 5, 6, 9, 10, 12, 13]
Iter#132 New set #60 of size 7 (2.2 its/hit = 0.000s/hit): seed=12207385928829187625 [3, 4, 5, 7, 8, 12, 13]
Iter#151 New set #70 of size 7 (2.2 its/hit = 0.000s/hit): seed=18069179848132041101 [1, 5, 6, 9, 10, 11, 12]
Iter#166 New set #80 of size 7 (2.1 its/hit = 0.000s/hit): seed=3008298504623312786 [0, 2, 3, 7, 8, 10, 12]
Iter#183 New set #90 of size 7 (2.0 its/hit = 0.000s/hit): seed=1033444573897215252 [5, 6, 8, 9, 10, 14, 15]
Iter#199 New set #100 of size 7 (2.0 its/hit = 0.000s/hit): seed=5262620123396935200 [0, 2, 8, 9, 10, 14, 15]
